,SYMBOL,tp,wp,mp,tmp,smp,yp
401,IVP,152.0,149.1,148.7,85.25,115.8,129.75
402,IZMO,71.0,67.95,74.0,47.3,96.7,90.15
403,J&KBANK,40.75,39.7,29.3,90.1,40.4,46.0
404,JAGRAN,67.65,66.5,68.2,142.15,64.15,65.7
405,JAGSNPHARM,338.75,339.55,373.1,29.2,162.3,162.95
406,JAIBALAJI,43.6,43.05,42.5,8.0,55.4,64.65
407,JAICORPLTD,169.45,175.7,209.05,53.25,137.45,124.85
408,JAMNAAUTO,107.05,112.6,111.0,227.8,98.0,104.1
409,JAYAGROGN,192.55,194.05,200.5,109.8,252.25,235.05
410,JAYBARMARU,183.55,197.0,185.95,135.75,208.8,187.5
411,JAYSREETEA,94.9,93.25,96.75,63.0,108.55,103.7
412,JBCHEPHARM,1992.05,1973.5,2000.0,277.45,1789.75,1661.45
413,JBFIND,11.65,11.3,11.25,223.45,23.5,20.5
414,JBMA,416.75,406.9,418.85,195.25,619.9,703.1
415,JINDALPHOT,386.4,394.6,357.4,145.3,164.75,297.9
416,JINDALPOLY,862.75,842.35,906.85,443.15,1051.25,1030.55
417,JINDALSAW,82.85,77.8,83.7,63.85,124.8,109.3
418,JINDALSTEL,494.05,459.85,446.3,60.65,452.1,398.5
419,JINDRILL,318.25,308.9,274.2,128.15,158.85,141.2
420,JINDWORLD,368.9,317.75,265.95,167.05,115.7,146.85
421,JISLJALEQS,37.1,35.65,37.75,64.15,49.3,45.9
422,JKCEMENT,2801.95,2712.65,2569.25,653.35,3451.05,3677.45
423,JKIL,273.5,270.4,292.0,791.3,175.2,178.7
424,JKLAKSHMI,665.15,552.9,578.6,372.9,620.7,651.5
425,JKPAPER,394.85,414.8,391.85,41.85,250.35,224.95
426,JKTYRE,170.45,174.4,179.15,101.95,158.95,142.95
427,JMA,70.3,71.05,74.35,189.8,69.15,69.05
428,JMCPROJECT,116.2,110.5,93.75,210.0,115.0,103.9
429,JMFINANCIL,77.2,68.45,70.6,43.5,94.15,82.2
430,JOCIL,190.25,190.45,194.55,134.95,226.4,216.95
431,JPASSOCIAT,9.75,9.5,10.65,11.3,9.55,8.8
432,JPPOWER,7.65,7.5,8.15,7.0,5.65,4.7
433,JSL,164.6,141.55,131.05,38.25,185.45,184.25
434,JSWHL,4455.3,4220.9,4281.75,945.95,4736.5,4523.5
435,JSWSTEEL,710.0,673.95,666.05,889.25,715.8,671.35
436,JUBLFOOD,612.7,609.95,618.95,1601.35,4369.2,4003.75
437,JUNIORBEES,458.43,449.47,451.56,197.61,468.13,463.63
438,JUSTDIAL,635.3,629.35,575.15,983.55,912.05,785.55
439,JYOTHYLAB,194.35,197.95,196.25,317.95,163.05,158.7
440,KABRAEXTRU,453.0,394.5,378.4,84.9,246.85,252.2
441,KAJARIACER,1060.8,1081.25,1149.5,797.6,1331.05,1194.4
442,KAKATCEM,209.7,209.15,223.75,100.7,252.1,239.75
443,KALPATPOWR,497.0,475.35,428.65,254.15,441.95,420.05
444,KANANIIND,8.6,8.85,8.6,6.85,9.05,8.15
445,KANORICHEM,148.35,151.15,144.9,45.0,192.4,169.6
446,KANSAINER,453.1,486.0,475.6,241.2,596.9,596.55
447,KARURVYSYA,103.1,104.0,84.1,447.25,50.55,59.7
448,KAUSHALYA,4.7,4.45,4.75,4.75,2.65,2.45
449,KAYA,342.45,349.3,372.25,1021.1,558.0,493.2
450,KCP,135.0,121.15,116.7,69.85,139.0,140.95
451,KCPSUGIND,23.05,21.7,22.4,14.1,23.6,22.3
452,KEC,435.85,440.0,428.65,142.05,461.1,457.1
453,KEI,1564.2,1615.2,1414.7,96.55,997.6,1009.3
454,KICL,1854.05,1899.45,1765.1,1676.95,2106.85,1993.5
455,KILITCH,172.15,176.65,172.7,34.35,167.0,172.45
456,KIRIINDUS,494.9,525.8,492.25,90.05,526.2,490.0
457,KIRLOSENG,298.8,260.7,258.0,280.6,218.35,200.8
458,KIRLOSIND,1814.55,1767.4,1790.55,580.15,1621.35,1587.1
459,KITEX,208.05,205.9,215.65,846.85,165.2,160.65
460,KKCL,494.2,509.05,459.9,2149.85,1037.55,1198.8
461,KMSUGAR,25.95,25.3,27.3,2.05,27.25,26.25
462,KNRCON,230.25,222.6,231.75,560.9,307.65,284.75
463,KOKUYOCMLN,76.8,73.15,70.4,104.5,68.25,69.55
464,KOLTEPATIL,340.4,346.55,366.2,166.1,327.75,327.45
465,KOPRAN,181.35,180.5,164.25,51.35,210.1,226.8
466,KOTAKBANK,1882.6,1901.95,1825.4,648.1,2011.6,2074.7
467,KOTAKBKETF,422.29,418.65,397.02,174.27,401.03,391.27
468,KOTAKGOLD,44.04,43.44,44.55,236.55,41.25,42.72
469,KOTAKNIFTY,193.69,191.31,183.92,800.74,194.27,190.86
470,KOTAKPSUBK,367.14,343.53,299.22,317.72,276.97,284.56
471,KOTARISUG,41.75,45.0,48.75,5.85,35.0,34.05
472,KOTHARIPET,70.0,68.15,72.6,14.7,51.85,57.7
473,KOTHARIPRO,114.3,115.6,119.55,204.75,107.15,99.6
474,KPRMILL,549.05,551.9,550.0,812.6,480.7,532.55
475,KRBL,381.25,399.25,377.35,158.65,317.9,253.55
476,KSCL,481.45,485.9,437.1,423.95,553.2,523.35
477,KSL,302.05,298.85,302.45,127.8,402.65,361.7
478,KTKBANK,137.05,96.6,86.8,126.5,73.6,77.2
479,L&TFH,82.5,81.1,77.95,66.75,92.95,86.0
480,LAMBODHARA,94.0,92.6,101.85,793.75,88.2,88.25
481,LAOPALA,406.25,390.05,369.85,554.45,307.7,352.1
482,LAXMIMACH,13050.8,12879.5,12685.45,3584.55,9113.55,9780.75
483,LCCINFOTEC,2.55,2.5,2.7,0.35,1.85,2.2
484,LGBBROSLTD,728.8,762.85,726.0,439.35,518.95,533.8
485,LIBERTSHOE,298.05,287.25,337.45,191.6,179.7,172.35
486,LICHSGFIN,382.8,405.3,425.55,470.55,455.3,431.05
487,LINDEINDIA,3108.05,3071.7,3208.95,299.75,2585.8,2558.4
488,LIQUIDBEES,1000.0,999.99,1000.0,999.99,999.99,999.99
489,LOTUSEYE,70.15,68.35,78.85,12.9,42.7,45.4
490,LOVABLE,156.05,143.9,156.2,262.4,134.95,138.35
491,LPDC,6.05,6.15,6.35,2.75,4.6,5.4
492,LT,2017.65,2023.1,1924.55,1466.25,1788.45,1959.95
493,LUMAXIND,1527.25,1526.15,1672.4,429.75,1429.8,1381.0
494,LUMAXTECH,239.7,245.55,287.6,246.0,141.55,145.15
495,LUPIN,709.85,699.0,721.2,2034.0,936.45,948.25
496,LYKALABS,138.9,139.0,138.75,74.45,81.35,105.5
497,LYPSAGEMS,7.0,6.45,6.0,80.25,5.35,4.9
498,M&M,1351.3,1348.6,1238.85,1263.8,910.95,937.8
499,M&MFIN,219.0,202.0,200.85,239.35,187.45,198.5
500,MAANALU,201.4,175.1,167.35,31.0,143.0,134.7
501,MADHAV,43.8,41.65,47.45,45.6,60.55,55.75
502,MADRASFERT,49.5,48.6,51.95,12.3,30.85,28.8
503,MAGNUM,20.35,14.85,12.95,2.7,8.25,7.3
504,MAHABANK,23.3,20.3,18.25,34.0,21.95,20.85
505,MAHINDCIE,299.95,300.35,317.25,255.4,264.1,277.35
506,MAHLIFE,406.35,401.3,469.15,470.15,277.95,274.9
507,MAHSCOOTER,5192.9,5258.05,5053.7,963.0,4771.35,4436.85
508,MAHSEAMLES,806.05,782.35,803.05,144.4,516.55,530.55
509,MAITHANALL,1011.0,960.25,991.95,77.75,1178.05,1055.9
510,MALUPAPER,35.25,35.65,35.4,10.3,36.3,34.1
511,MANAKALUCO,22.1,21.4,21.55,4.2,21.85,17.8
512,MANAKCOAT,17.9,17.9,19.05,3.4,18.6,20.75
513,MANAKSIA,83.0,78.75,84.7,45.75,68.8,68.15
514,MANAKSTEEL,38.5,36.05,38.6,7.7,32.5,30.95
515,MANAPPURAM,106.95,105.3,102.2,24.05,197.4,218.45
516,MANGALAM,138.2,140.3,144.7,118.9,142.75,138.05
517,MANGCHEFER,85.75,94.1,127.65,42.9,74.35,69.15
518,MANGLMCEM,382.2,366.25,371.3,219.0,453.6,427.1
519,MANINDS,93.15,90.4,94.4,103.05,111.45,106.8
520,MANINFRA,82.2,82.45,89.7,36.1,114.05,135.2
521,MANUGRAPH,15.7,14.1,15.1,31.2,12.4,12.65
522,MARALOVER,59.0,62.95,65.9,26.4,83.05,83.55
523,MARICO,504.9,524.55,521.3,404.2,579.25,546.8
524,MARKSANS,51.0,49.3,47.25,103.85,69.15,59.45
525,MARUTI,9333.3,9527.6,8779.1,4685.6,7657.0,7479.85
526,MASTEK,1681.65,1688.4,1733.65,164.9,3315.8,2845.8
527,MAWANASUG,82.95,79.4,83.7,6.9,90.95,83.75
528,MAYURUNIQ,478.85,467.55,498.5,408.95,472.95,483.55
529,MBLINFRA,19.7,19.8,20.15,241.05,22.5,22.4
530,MCDOWELL-N,894.25,896.35,874.45,3094.3,883.5,958.6
531,MCLEODRUSS,28.5,27.55,29.3,154.2,29.4,30.2
532,MCX,1535.6,1536.35,1330.9,937.15,1978.25,1948.65
533,MEGASOFT,38.25,31.95,37.8,4.65,18.35,23.95
534,MENONBE,99.85,101.6,107.85,48.45,83.7,81.35
535,MHRIL,272.7,285.4,287.35,300.25,244.25,249.85
536,MINDACORP,204.95,194.75,210.6,71.85,132.65,167.05
537,MINDTREE,3505.4,3403.75,3277.0,1514.45,4706.4,4914.1
538,MIRCELECTR,16.75,18.45,18.3,13.7,21.1,25.95
539,MIRZAINT,300.1,303.25,345.1,108.7,63.7,79.35
540,MMFL,774.0,793.5,850.7,545.15,922.35,893.55
541,MMTC,36.2,34.45,36.35,41.65,51.15,42.1
542,MOHITIND,17.25,17.75,18.65,42.45,12.15,12.05
543,MOIL,159.4,154.25,153.85,197.15,171.5,176.65
544,MOLDTKPAC,936.5,910.0,889.1,213.55,706.1,716.95
545,MONTECARLO,724.15,719.45,776.3,438.0,390.85,548.05
546,MORARJEE,21.0,20.3,19.15,38.35,19.3,18.15
547,MOREPENLAB,28.85,26.65,27.1,13.85,53.7,51.25
548,MOTILALOFS,682.5,685.05,713.4,293.15,907.65,970.25
549,MPHASIS,1981.05,1978.5,2118.45,410.25,3356.7,3353.4
550,MPSLTD,766.25,676.1,653.9,785.0,682.2,719.75
551,MRF,94900.1,90767.0,82769.65,41935.95,84314.1,78174.85
552,MRO-TEK,64.6,64.8,67.35,19.35,65.25,52.25
553,MRPL,54.6,54.05,60.8,53.75,52.5,49.05
554,MSPL,10.1,9.2,9.7,10.55,9.95,8.9
555,MTEDUCARE,8.9,8.45,8.7,128.45,8.95,8.15
556,MTNL,21.3,20.85,22.35,16.0,19.65,18.4
557,MUKTAARTS,61.05,58.05,61.5,31.65,40.35,46.4
558,MUNJALAU,50.45,50.15,52.85,72.2,60.65,56.65
559,MUNJALSHOW,100.75,104.35,101.2,174.1,140.5,130.3
560,MURUDCERA,43.15,38.75,36.35,19.9,28.05,27.55
561,MUTHOOTCAP,318.2,307.15,258.65,142.05,407.05,391.7
562,MUTHOOTFIN,1113.25,1043.45,1058.4,164.2,1559.15,1691.35
563,NAGREEKEXP,36.9,35.1,38.8,24.95,33.7,41.15
564,NAHARCAP,342.5,326.55,356.65,68.25,287.95,339.8
565,NAHARINDUS,106.15,102.95,116.95,49.3,114.05,132.9
566,NAHARPOLY,316.4,306.6,343.2,37.0,247.5,272.95
567,NATCOPHARM,620.9,600.75,626.3,2471.5,890.15,828.7
568,NATHBIOGEN,170.25,163.7,168.75,77.75,322.05,286.5
569,NATIONALUM,75.9,70.2,72.35,35.15,121.7,101.45
570,NAUKRI,3942.65,3921.7,3920.2,798.45,7019.5,6406.5
571,NAVINFLUOR,4498.15,4551.75,4616.75,1214.75,3866.7,3531.95
572,NAVKARCORP,56.85,54.4,57.7,158.55,42.7,45.75
573,NAVNETEDUL,143.8,139.6,129.85,96.15,111.45,111.7
574,NBCC,34.1,32.45,32.0,959.5,49.35,47.3
575,NCC,71.95,74.65,73.35,74.8,81.9,80.05
576,NCLIND,181.8,181.65,179.8,108.55,242.15,232.3
577,NDL,28.35,27.55,29.15,129.0,75.6,86.1
578,NECLIFE,21.1,21.35,22.4,38.15,30.35,25.75
579,NELCAST,94.2,82.8,79.9,52.25,89.3,82.05
580,NESCO,593.4,577.9,576.55,1397.0,657.95,627.25
581,NESTLEIND,20480.25,20363.4,19321.0,6367.65,19438.45,19142.45
582,NETWORK18,65.4,64.15,68.2,48.85,83.75,85.7
583,NEULANDLAB,1495.35,1487.8,1482.05,902.85,1732.25,1644.85
584,NEXTMEDIA,5.5,5.3,5.5,13.45,5.9,5.45
585,NFL,52.65,49.75,49.9,24.9,59.05,55.7
586,NHPC,43.9,42.6,37.9,16.55,35.5,32.3
587,NIBL,22.15,23.25,23.85,61.65,28.6,24.25
588,NIFTYBEES,198.62,196.27,189.19,801.99,198.91,195.46
589,NIITLTD,331.4,278.95,320.4,73.5,361.2,362.0
590,NILKAMAL,2046.7,2083.25,2061.35,969.55,2647.6,2388.65
591,NIPPOBATRY,481.4,476.45,388.55,1063.3,1024.8,461.85
592,NITCO,23.8,23.5,22.85,30.7,24.55,24.1
593,NMDC,114.35,99.75,134.85,93.1,157.55,143.05
594,NOCIL,242.0,242.6,269.35,44.9,304.5,259.75
595,NOIDATOLL,8.3,8.1,8.3,24.65,7.15,6.95
596,NRBBEARING,179.85,168.65,176.2,119.25,144.8,138.75
597,NSIL,2452.1,2494.15,1605.4,639.9,1854.85,1687.55
598,NTPC,175.85,173.1,164.3,123.75,149.55,136.45
599,NUCLEUS,393.0,388.9,409.75,235.85,590.5,583.9
600,OBEROIRLTY,932.6,924.65,942.05,273.15,966.9,974.05
601,OFSS,3022.55,2912.85,2968.0,3945.8,4729.45,4450.3
602,OIL,195.6,193.0,188.05,423.35,235.55,221.9
603,OMAXAUTO,72.9,74.45,69.45,46.65,46.25,44.05
604,OMAXE,85.7,90.35,96.4,134.05,80.65,75.6
605,ONELIFECAP,14.65,15.75,14.95,49.55,19.1,18.35
606,ONGC,138.55,134.05,134.05,229.35,162.1,154.65
607,ONMOBILE,109.7,107.55,116.95,86.4,123.15,110.85
608,ONWARDTEC,263.75,266.1,265.9,74.1,225.15,220.15
609,ORBTEXP,185.7,180.2,162.85,392.5,81.4,77.4
610,ORICONENT,28.7,29.05,31.6,60.45,28.65,29.45
611,ORIENTABRA,30.25,29.15,31.95,28.15,29.6,27.6
612,ORIENTBELL,590.9,574.1,603.4,127.2,360.05,375.95
613,ORIENTCEM,136.75,130.0,127.75,157.75,160.35,176.1
614,ORIENTHOT,81.65,71.0,78.75,20.3,40.65,41.2
615,ORIENTPPR,41.5,41.9,34.9,25.85,34.05,36.8
616,PAGEIND,49981.4,49768.65,53453.2,13272.1,37543.15,40439.95
617,PANACEABIO,143.2,147.7,133.2,131.9,265.65,208.55
618,PANAMAPET,305.2,280.1,287.05,62.5,268.95,274.05
619,PARSVNATH,7.3,7.0,7.8,18.0,15.7,18.4
620,PATELENG,21.8,22.0,23.3,65.9,27.0,24.3
621,PATINTLOG,14.1,13.75,13.65,81.3,22.7,15.6
622,PEL,904.9,849.4,845.1,869.95,2816.75,2654.3
623,PENIND,58.95,59.7,47.1,47.85,31.3,31.0
624,PERSISTENT,3732.95,3693.05,3489.25,665.65,4128.5,4146.95
625,PETRONET,212.55,205.55,205.75,179.15,234.35,236.9
626,PFC,119.0,115.25,104.95,230.1,150.8,138.1
627,PFIZER,4472.5,4378.05,4438.9,2425.25,5497.85,5129.5
628,PFOCUS,75.1,76.0,73.25,52.25,91.65,78.35
629,PGEL,1021.45,1047.25,1030.1,189.95,538.35,525.45
630,PGHH,14088.4,14086.9,13853.05,6247.3,14058.2,14867.3
631,PGIL,426.3,412.55,461.35,194.75,306.85,292.6
632,PHOENIXLTD,1545.9,1427.85,1451.65,323.85,979.8,1082.8
633,PIDILITIND,2628.65,2584.4,2662.6,567.85,2501.8,2426.2
634,PIIND,3297.15,3241.95,3055.15,637.0,3329.85,2737.85
635,PILITA,8.05,7.75,8.05,15.0,7.3,6.95
636,PIONDIST,182.3,182.85,176.3,85.75,179.35,194.7
637,PIONEEREMB,43.75,42.2,44.9,30.65,61.25,55.1
638,PLASTIBLEN,202.2,200.55,221.45,328.3,258.0,247.65
639,PNB,41.85,42.65,36.65,133.25,46.0,41.75
640,PNBGILTS,61.0,60.8,61.9,26.65,69.75,68.55
641,PNCINFRA,262.45,258.0,269.3,498.65,371.65,338.5
642,POLYMED,962.4,921.35,1010.65,384.5,959.7,927.5
643,POLYPLEX,1794.9,1677.85,1899.35,226.55,1932.45,1711.4
644,PONNIERODE,286.5,291.2,256.75,156.1,243.15,235.95
645,POWERGRID,228.0,228.15,209.4,132.35,203.8,182.0
646,POWERMECH,1739.65,1769.65,2092.2,577.15,1086.8,991.8
647,PPAP,209.25,209.25,219.7,115.75,255.2,248.3
648,PRAENG,15.5,14.55,13.95,7.0,19.4,18.05
649,PRAKASH,52.4,51.65,52.85,27.35,75.05,68.15
650,PRAKASHSTL,5.1,5.25,5.45,108.8,2.45,3.35
651,PRECOT,200.8,204.15,236.85,58.7,254.9,330.8
652,PRECWIRE,108.6,86.9,91.4,131.15,261.1,312.2
653,PRESTIGE,463.75,442.0,467.6,215.5,450.5,510.55
654,PRIMESECU,107.95,105.55,99.05,4.45,113.3,118.4
655,PROZONINTU,21.35,21.35,22.65,30.8,29.35,29.8
656,PSB,18.4,16.5,15.6,37.2,19.2,17.6
657,PSUBNKBEES,40.99,38.27,33.7,340.02,30.87,31.7
658,PTL,31.75,31.85,30.65,63.9,50.75,52.95
659,PUNJABCHEM,1124.7,1254.15,1216.55,197.9,1511.5,1540.7
660,PURVA,93.75,94.25,95.5,62.1,139.05,156.8
661,PVP,8.0,8.05,9.3,6.65,6.1,4.75
662,PVR,1832.8,1775.0,1752.85,816.3,1718.8,1733.95
663,QGOLDHALF,43.51,42.91,44.24,1214.5,2035.65,2111.9
664,QNIFTY,1927.5,1907.09,1830.47,840.0,1928.65,1882.0
665,RADICO,1024.95,1041.85,1063.95,84.3,1118.9,1067.25
666,RAIN,176.5,167.3,171.55,37.55,252.0,210.25
667,RAJESHEXPO,762.8,691.6,606.6,562.6,635.2,646.95
668,RAJSREESUG,35.25,34.55,33.55,18.5,27.45,24.85
669,RAJTV,46.6,45.2,40.7,47.0,36.15,35.65
670,RALLIS,226.45,226.6,216.85,219.25,319.15,266.15
671,RAMANEWS,16.05,15.8,16.15,10.65,20.15,21.95
672,RAMASTEEL,144.65,159.0,108.05,874.55,277.65,264.35
673,RAMCOCEM,739.1,721.8,737.2,327.1,1022.0,1067.0
674,RAMCOIND,179.75,184.05,191.65,113.1,299.25,276.7
675,RAMCOSYS,251.9,245.5,267.55,755.9,475.0,399.55
676,RAMKY,279.75,284.35,211.45,28.95,156.3,148.85
677,RANASUG,22.85,21.85,24.85,2.45,29.6,27.4
678,RANEENGINE,228.3,231.1,234.1,500.0,296.05,268.55
679,RANEHOLDIN,878.95,916.8,829.85,601.55,596.15,620.6
680,RATNAMANI,1949.55,2061.4,1952.2,615.5,2222.0,2240.85
681,RAYMOND,1260.05,1197.15,1162.85,427.25,474.1,507.0
682,RBL,710.65,720.95,724.75,288.35,881.6,809.05
683,RCF,101.95,101.9,98.9,47.8,83.45,80.0
684,RECLTD,101.55,102.55,95.15,274.05,165.1,145.65
685,REDINGTON,159.3,136.7,144.15,110.15,154.25,149.7
686,REFEX,170.75,154.7,161.85,8.55,144.7,130.65
687,RELAXO,936.6,967.35,1010.7,529.55,1370.3,1376.8
688,RELIANCE,2606.6,2549.6,2432.35,862.3,2707.6,2593.1
689,RELIGARE,175.05,175.8,170.55,289.35,168.6,160.0
690,REMSONSIND,244.6,219.9,222.75,38.75,243.1,249.45
691,RENUKA,58.95,54.05,62.8,7.2,31.2,28.9
692,REPCOHOME,238.75,211.15,232.45,735.95,318.45,293.4
693,REPRO,440.8,445.95,464.55,378.7,635.6,602.2
694,RESPONIND,143.95,136.25,140.4,81.35,125.3,122.45
695,REVATHI,888.5,902.9,902.9,677.75,658.55,712.1
696,RICOAUTO,60.5,58.7,61.85,45.85,47.1,44.5
697,RIIL,1098.5,1098.1,1176.0,321.85,734.5,667.35
698,RKFORGE,237.25,229.6,211.55,601.0,1201.0,1019.4
699,RML,384.0,371.25,376.45,299.05,404.6,369.8
700,ROSSELLIND,285.25,284.65,283.05,94.45,164.9,144.75
701,RPGLIFE,874.35,836.45,789.65,170.55,659.9,670.5
702,RPPINFRA,36.05,36.65,36.7,115.25,63.85,58.3
703,RSSOFTWARE,27.6,27.75,27.6,140.0,35.6,34.95
704,RSWM,327.35,315.45,338.95,278.25,334.1,462.05
705,RSYSTEMS,242.0,234.55,241.45,69.95,215.55,236.5
706,RTNPOWER,4.3,4.2,4.6,6.75,4.4,4.0
707,RUBYMILLS,234.3,222.3,283.95,366.2,301.95,287.75
708,RUCHIRA,123.0,129.85,139.2,43.5,86.2,82.1
709,RUPA,310.45,314.0,320.6,313.05,484.55,445.3
710,RUSHIL,406.85,413.75,535.3,171.1,252.9,355.4
711,SADBHAV,12.35,12.35,13.85,296.45,55.2,48.6
712,SADBHIN,6.25,6.35,6.8,98.8,17.7,15.8
713,SAGCEM,205.55,200.7,199.7,380.45,292.75,274.3
714,SAIL,87.1,78.7,81.05,51.35,129.0,117.5
715,SAKHTISUG,22.15,20.25,23.15,15.1,15.25,15.45
716,SAKSOFT,98.4,102.7,103.9,133.45,1047.1,859.95
717,SAKUMA,16.2,15.35,14.75,34.05,10.6,12.9
718,SALSTEEL,13.25,11.8,13.85,1.8,9.95,10.0
719,SANDESH,775.4,760.0,763.45,661.4,793.95,804.45
720,SANGAMIND,293.65,277.4,273.95,261.95,222.2,275.9
721,SANGHVIMOV,221.75,223.75,238.5,318.7,196.55,208.9
722,SANOFI,5624.25,5612.75,5919.5,4125.05,8251.75,8290.35
723,SARDAEN,890.9,842.05,858.05,98.2,853.7,818.3
724,SARLAPOLY,45.5,46.5,49.1,518.0,55.6,58.0
725,SASKEN,894.25,900.95,842.15,234.4,1408.45,1307.5
726,SATIN,149.95,143.25,129.15,218.7,77.7,73.6
727,SBIN,614.15,573.8,530.2,237.15,497.95,511.35
728,SCHNEIDER,168.95,174.4,190.15,166.75,121.85,114.05
729,SCI,126.95,130.0,116.75,75.5,142.95,133.7
730,SDBL,114.95,108.6,131.95,198.75,44.3,39.05
731,SELAN,318.35,288.3,311.45,212.05,162.15,142.05
732,SEPOWER,18.3,18.8,18.9,5.2,11.65,15.1
733,SESHAPAPER,319.7,329.45,287.15,225.5,182.7,173.95
734,SHAKTIPUMP,478.05,480.95,513.05,140.2,797.35,662.5
735,SHALPAINTS,157.8,162.05,168.85,102.85,96.35,96.1
736,SHANTIGEAR,388.75,388.75,349.15,90.85,163.3,159.2
737,SHARDACROP,399.45,374.3,463.45,282.4,315.1,324.55
738,SHARDAMOTR,780.2,759.2,812.15,905.0,657.9,683.25
739,SHARIABEES,415.44,411.81,402.08,181.44,455.58,448.04
740,SHILPAMED,313.35,314.85,365.75,934.9,618.85,566.8
741,SHOPERSTOP,774.8,749.55,752.1,377.1,279.5,379.35
742,SHREECEM,23406.1,22740.5,21283.75,11740.05,28191.3,29388.9
743,SHREEPUSHK,235.2,230.9,248.15,63.05,236.1,225.3
744,SHREYANIND,146.7,150.1,126.65,38.5,129.35,131.0
745,SHREYAS,327.5,318.35,347.4,447.0,374.2,276.9
746,SHRIRAMCIT,1915.6,1824.4,1724.2,1705.95,2251.25,2093.8
747,SHYAMCENT,23.35,22.1,23.4,9.35,13.9,13.85
748,SIEMENS,2935.4,2925.6,2819.6,1325.95,2265.9,2384.65
749,SILINV,310.4,316.2,328.0,66.0,331.85,303.85
750,SIMPLEXINF,59.85,54.0,60.85,290.5,42.6,40.8
751,SIYSIL,534.9,439.2,483.0,985.6,436.35,451.9
752,SJVN,38.55,35.05,32.7,25.05,32.55,29.7
753,SKFINDIA,4508.15,4398.4,4724.2,1251.15,3272.6,3923.05
754,SKIPPER,70.35,67.55,73.8,144.4,80.3,79.35
755,SMARTLINK,169.45,168.25,134.05,104.1,114.25,115.4
756,SMLISUZU,729.7,779.4,860.35,1180.75,734.9,783.4
757,SMSPHARMA,89.55,89.45,90.35,652.75,148.2,137.9
758,SNOWMAN,38.65,36.1,36.9,94.7,43.55,41.85
759,SOBHA,631.15,627.05,658.9,278.65,829.2,895.35
760,SOLARINDS,4087.9,3901.85,4139.3,3499.95,2697.35,2575.95
761,SONATSOFTW,530.05,523.45,515.45,151.5,925.6,862.75
762,SOTL,297.5,301.3,301.45,543.95,1467.45,1282.35
763,SOUTHBANK,15.15,13.7,9.95,22.65,10.7,9.3
764,SPARC,254.65,258.3,218.7,384.95,297.3,264.4
765,SPECIALITY,205.6,189.2,226.7,160.7,92.45,109.8
766,SPIC,61.0,52.15,56.35,16.9,51.0,48.8
767,SPLIL,79.45,72.35,60.55,18.35,46.5,51.1
768,SPMLINFRA,30.1,32.35,31.25,82.45,11.05,12.2
769,SREEL,228.15,217.35,225.85,150.0,183.5,182.1
770,SRF,2425.9,2558.65,2560.4,1123.6,2333.3,2154.9
771,SRHHYPOLTD,699.5,686.55,792.55,54.7,347.95,340.1
772,SRTRANSFIN,1289.15,1229.15,1199.1,925.05,1395.2,1622.4
773,STAR,327.6,309.45,337.65,1221.1,580.2,508.5
774,STARPAPER,198.55,213.2,194.85,25.7,150.6,146.1
775,STCINDIA,84.55,82.6,88.6,158.5,113.6,101.55
776,STERTOOLS,254.75,251.2,214.85,330.0,203.85,195.05
777,SUBROS,326.55,329.75,385.8,77.75,357.4,361.05
778,SUDARSCHEM,415.7,411.45,441.55,103.4,661.2,585.1
779,SUMEETINDS,5.7,5.7,6.3,10.95,8.6,8.3
780,SUMMITSEC,605.4,620.75,620.45,293.95,762.95,728.5
781,SUNCLAYLTD,4904.8,4794.45,4461.0,1873.5,3720.8,4398.55
782,SUNDARAM,3.0,2.8,2.95,1.95,1.95,2.3
783,SUNDARMFIN,2362.35,2351.4,2201.1,1535.6,2463.1,2424.4
784,SUNDRMBRAK,348.45,345.25,349.75,237.05,415.05,402.4
785,SUNDRMFAST,1003.85,936.45,931.75,152.35,932.7,823.95
786,SUNFLAG,86.35,81.7,85.3,18.5,86.8,81.55
787,SUNPHARMA,1028.35,1016.9,955.15,868.4,835.9,806.5
788,SUNTECK,399.7,389.35,412.5,221.6,497.45,487.9
789,SUNTV,552.25,522.85,540.5,359.25,550.15,562.35
790,SUPERHOUSE,218.95,219.65,237.3,154.65,180.65,185.25
791,SUPERSPIN,10.1,10.15,11.0,7.6,12.8,12.85
792,SUPRAJIT,330.3,325.1,333.35,132.65,391.95,380.65
793,SUPREMEIND,2358.6,2170.3,2014.85,618.5,2596.0,2299.0
794,SURANAT&P,11.05,11.3,11.55,4.65,10.45,8.75
795,SURYALAXMI,64.05,54.25,66.35,95.7,66.35,59.9
796,SURYAROSNI,438.0,417.35,471.35,131.3,696.15,639.95
797,SUTLEJTEX,62.6,65.05,68.3,430.0,68.4,77.8
798,SUVEN,61.1,60.75,72.7,266.7,114.1,101.45
799,SUZLON,8.15,7.95,7.65,20.85,7.4,7.1
800,SWANENERGY,213.45,226.5,223.2,73.15,132.6,126.1
801,SWARAJENG,1599.8,1593.55,1614.3,881.05,1754.75,1772.55
802,SWELECTES,321.65,312.8,343.2,413.95,258.35,251.65
803,SYMPHONY,842.35,837.6,881.15,1839.35,1085.75,1038.6
804,SYNGENE,625.7,631.3,564.1,321.95,613.15,554.65
805,TAINWALCHM,92.0,94.8,94.55,45.05,75.9,75.3
806,TAJGVK,201.2,193.1,209.85,68.95,155.6,147.9
