,SYMBOL,LOW_x,LOW_y,Value
1475,WINDLAS,307.1,360.0,0.8530555555555556
979,OAL,760.0,891.1,0.8528784648187633
1450,VIVIMEDLAB,17.05,20.0,0.8525
1039,PLASTIBLEN,231.25,271.55,0.8515927085251335
251,CENTURYTEX,776.0,911.65,0.8512038611309165
1469,WELSPUNIND,136.15,160.1,0.8504059962523424
17,ABCAPITAL,96.35,113.3,0.850397175639894
938,NETF,181.0,213.01,0.8497253650063378
718,KANSAINER,535.1,630.0,0.8493650793650794
1004,PALASHSECU,70.35,83.0,0.847590361445783
1332,TCIFINANCE,5.0,5.9,0.847457627118644
61,ALPHAGEO,360.3,425.6,0.8465695488721804
109,ASAHISONG,292.8,347.0,0.8438040345821326
778,LASA,61.6,73.05,0.8432580424366872
196,BHARATRAS,10110.0,11999.0,0.8425702141845154
535,HIL,4255.0,5053.0,0.8420740154363744
1146,SAKSOFT,899.65,1070.0,0.8407943925233645
612,INDIAMART,6872.9,8175.55,0.8406651540263346
316,DEEPINDS,123.95,147.5,0.8403389830508475
1419,VARDHACRLC,51.65,61.5,0.8398373983739837
121,ASTERDM,176.0,209.6,0.8396946564885497
1030,PHILIPCARB,219.05,262.2,0.8354309687261633
958,NIITLTD,295.6,355.0,0.8326760563380282
1275,SUDARSCHEM,550.25,661.0,0.8324508320726173
1109,REPCOHOME,262.15,315.05,0.8320901444215203
807,LXCHEM,431.6,519.0,0.8315992292870906
779,LAURUSLABS,488.1,587.25,0.8311621966794381
847,MARINE,29.15,35.15,0.829302987197724
1193,SHALBY,145.0,176.05,0.823629650667424
1415,VAIBHAVGBL,571.0,694.05,0.8227072977451193
769,KRSNAA,626.0,767.0,0.8161668839634941
845,MARATHON,84.2,103.7,0.8119575699132112
1176,SECURKLOUD,150.0,185.0,0.8108108108108109
150,BAJAJELEC,1081.7,1340.0,0.8072388059701493
684,JKIL,148.9,184.6,0.8066088840736728
1273,SUBEXLTD,41.15,51.15,0.804496578690127
11,AARTISURF,1169.9,1455.0,0.8040549828178695
68,AMIORG,1015.0,1271.2,0.7984581497797356
707,JUSTDIAL,783.0,986.15,0.7939968564619987
1180,SERVOTECH,19.0,23.95,0.7933194154488518
136,AWHCL,287.05,362.0,0.7929558011049724
541,HINDOILEXP,166.5,210.75,0.7900355871886121
1129,RPSGVENT,731.55,938.05,0.7798624806780022
1042,PNBHOUSING,479.0,615.0,0.7788617886178861
588,ICIL,228.85,295.35,0.7748434061283223
1268,STEL,146.95,190.05,0.7732175743225466
1293,SURYAROSNI,583.55,755.55,0.77235126728873
155,BALAMINES,3399.0,4451.7,0.7635285396590067
1239,SOLARA,1217.0,1614.0,0.7540272614622057
1006,PANACEABIO,204.1,271.25,0.7524423963133641
1012,PATINTLOG,16.15,21.55,0.7494199535962877
1299,SUVIDHAA,11.95,16.45,0.7264437689969605
431,GAYAPROJ,36.25,51.05,0.7100881488736533
6,AAKASH,172.1,243.1,0.7079391197038256
960,NIPPOBATRY,483.0,970.0,0.4979381443298969
1296,SUULD,236.3,512.95,0.4606686811580076
1448,VISHWARAJ,35.55,144.05,0.24678930926761536
36,AFFLE,1005.0,5203.15,0.193152225094414
1258,SRF,2087.1,10880.15,0.19182639945221344
647,IRCTC,639.45,3755.55,0.17026800335503456
567,ICICI500,24.9,247.16,0.10074445703188217
