,SYMBOL,tp,wp,mp,tmp,smp,yp,Value
74,ARIHANT,58.4,58.7,26.3,27.15,17.7,16.15,19.586468091711822
1102,TCI,688.15,581.5,423.3,446.25,278.75,227.95,18.485654850924828
42,ALLSEC,569.95,468.05,417.2,435.5,335.35,238.6,17.927774290305543
686,MAHSEAMLES,512.0,512.7,322.4,314.7,290.75,242.15,17.43934783383823
1042,SPTL,6.65,5.55,4.85,4.9,3.15,2.3,17.30349059439154
1163,UJJIVAN,180.0,157.35,153.15,227.6,203.0,223.6,17.301909950517228
880,PRECWIRE,300.1,257.35,226.9,223.15,193.7,129.3,17.298083538812396
1148,TTKPRESTIG,11073.65,9648.15,8878.4,8652.65,7418.7,5999.7,17.14787032064383
82,ASAHIINDIA,422.4,352.7,357.45,364.1,301.75,221.45,17.137394932018626
726,MINDACORP,167.3,139.15,132.95,134.55,108.4,68.6,17.119464232163843
859,PIONDIST,196.35,167.65,173.45,126.65,108.0,104.55,17.044319184269362
717,MCDOWELL-N,973.6,834.45,865.15,643.05,543.45,544.2,17.019321920991793
136,BBL,1612.8,1350.0,1321.25,1405.65,1128.6,720.15,16.957814038748424
494,IFBAGRO,719.6,632.8,566.05,592.35,416.65,358.2,16.933899123349505
407,GTNTEX,8.8,7.65,7.15,9.4,5.7,5.15,16.884546476390653
786,NETWORK18,82.25,81.5,54.3,49.15,40.6,33.3,16.869168021606473
95,ASTRAMICRO,240.0,206.85,206.1,174.75,116.7,110.75,16.631374558697203
601,KDDL,571.45,470.1,442.25,367.5,303.15,156.85,16.528312757349987
619,KKCL,1215.0,1192.35,916.5,887.1,878.5,719.25,16.498810644152055
1145,TRITURBINE,201.35,169.75,173.9,120.45,99.65,71.25,16.49649088723087
268,DIXON,5306.1,5161.1,4844.6,4235.05,4119.5,10015.05,16.480340123663662
750,MUKTAARTS,48.4,42.95,42.0,39.65,29.5,27.15,16.46881429992733
1152,TVSMOTOR,671.3,625.9,563.95,568.7,625.85,479.85,16.45855687911223
960,SANGHVIMOV,224.6,185.6,188.0,197.8,126.65,79.55,16.3868062320492
641,KUANTUM,89.25,75.75,79.2,88.6,68.55,42.5,16.323984257906602
649,LGBBROSLTD,556.25,493.15,452.85,514.05,286.65,250.15,16.27961532175855
1173,UNIVASTU,64.8,66.1,44.75,51.55,40.35,31.75,16.25963888002583
1149,TTL,87.65,84.75,63.85,69.6,49.6,39.0,16.217829221882468
820,ORIENTALTL,10.2,9.75,8.45,9.9,7.15,7.75,16.21121541816331
180,CANBK,214.65,193.35,176.85,156.8,143.45,92.05,16.20738794131327
367,GLAXO,1597.6,1462.4,1469.3,1691.8,1464.2,1400.55,16.16473505486429
1000,SHOPERSTOP,353.55,351.3,263.8,253.0,193.95,176.55,16.16002911706232
1183,UTISXN50,49.75,48.97,49.05,45.76,41.21,308.09,16.15635221927444
1214,VOLTAMP,1621.75,1418.25,1524.45,1639.95,1101.9,1015.65,16.146139809047718
1169,UNIDT,456.95,451.45,345.6,363.65,282.95,245.35,16.126920063737693
511,INDIGO,2179.3,2021.2,1976.05,1662.55,1662.95,1423.15,16.07598848960315
1193,VBL,921.45,824.3,910.2,792.75,993.4,694.3,16.07555757862059
375,GNFC,497.35,441.45,425.2,372.95,374.15,208.45,16.062318748639157
162,BLUEDART,6998.75,6236.3,6419.7,5577.25,5405.4,3723.15,16.048676599372307
430,HDFCMFGETF,42.32,42.63,41.27,42.61,41.86,4665.85,16.038616233707778
626,KOTAKGOLD,41.69,41.95,40.6,41.82,410.45,457.95,15.978113207500117
1179,UTIBANKETF,39.83,41.24,37.24,35.84,32.66,268.64,15.968906082467111
1038,SPENCERS,135.5,120.55,129.45,102.2,69.15,73.6,15.95862936738385
59,ANUP,1064.15,954.4,946.0,1000.6,583.0,565.3,15.955468689408708
539,ISFT,142.4,128.65,127.4,115.15,84.75,73.4,15.95408166619435
329,FINPIPE,222.85,226.35,216.0,169.5,157.2,568.4,15.926620841660666
9,ABB,2079.7,1845.6,1858.9,1636.45,1380.6,937.85,15.915663722968322
521,INFIBEAM,44.9,44.9,41.75,42.1,38.4,84.2,15.910499665751631
399,GREENPLY,229.75,207.85,181.45,203.3,201.9,88.2,15.90981763126845
431,HDFCNIFETF,192.54,195.97,187.96,173.16,155.9,1289.46,15.909408935666447
432,HDFCSENETF,647.94,659.99,634.99,577.28,522.06,4342.57,15.892586617557761
388,GOLDSHARE,41.4,41.95,41.1,41.65,42.05,4618.8,15.890422119840935
2,A2ZINFRA,4.9,4.7,4.25,4.9,4.05,3.75,15.883571130579893
1180,UTINEXT50,44.17,44.34,44.29,41.3,36.12,292.0,15.86633722681345
196,CENTUM,571.0,525.65,483.1,512.95,390.0,278.35,15.834285657723274
27,AGROPHOS,17.85,16.0,15.65,15.0,11.6,8.05,15.831734095013198
370,GMBREW,758.85,742.95,609.6,574.85,400.9,387.65,15.800693782324432
648,LEMONTREE,55.0,52.8,45.6,41.0,35.55,27.6,15.796078212498369
163,BLUESTARCO,990.35,928.95,909.4,841.35,828.75,658.15,15.778383150902531
402,GRSE,220.2,221.6,186.85,199.65,174.8,190.6,15.7768812573487
311,ESABINDIA,2467.8,2325.35,2183.95,1925.1,1809.95,1391.5,15.770876153777031
57,ANSALAPI,13.1,12.95,8.95,9.5,5.5,4.3,15.766701610534138
1069,SUNTV,590.2,568.2,520.95,559.85,490.35,435.45,15.750670185028408
1101,TBZ,97.45,90.1,80.05,83.9,63.45,42.1,15.749355950397613
519,INDUSINDBK,1229.1,1154.9,1104.05,1020.55,924.95,738.65,15.749172864571683
172,BSL,81.2,74.9,63.05,68.75,45.95,29.75,15.7321345017264
706,MARUTI,7615.55,7297.35,7162.3,7102.9,6666.65,6907.6,15.722148606665266
