,SYMBOL,tp,wp,mp,tmp,smp,yp,Value
74,ARIHANT,58.4,58.7,26.3,27.15,17.7,16.15,17.43545520036744
1102,TCI,688.15,581.5,423.3,446.25,278.75,227.95,16.943582021793176
42,ALLSEC,569.95,468.05,417.2,435.5,335.35,238.6,16.619048687550087
1163,UJJIVAN,180.0,157.35,153.15,227.6,203.0,223.6,16.511048790587527
82,ASAHIINDIA,422.4,352.7,357.45,364.1,301.75,221.45,15.977274086097175
880,PRECWIRE,300.1,257.35,226.9,223.15,193.7,129.3,15.953248226242378
407,GTNTEX,8.8,7.65,7.15,9.4,5.7,5.15,15.948376263624695
1042,SPTL,6.65,5.55,4.85,4.9,3.15,2.3,15.946347737248681
726,MINDACORP,167.3,139.15,132.95,134.55,108.4,68.6,15.87606029310773
1148,TTKPRESTIG,11073.65,9648.15,8878.4,8652.65,7418.7,5999.7,15.86807164624928
686,MAHSEAMLES,512.0,512.7,322.4,314.7,290.75,242.15,15.812401535776585
136,BBL,1612.8,1350.0,1321.25,1405.65,1128.6,720.15,15.810444494409507
494,IFBAGRO,719.6,632.8,566.05,592.35,416.65,358.2,15.719076805463121
717,MCDOWELL-N,973.6,834.45,865.15,643.05,543.45,544.2,15.50528724250645
859,PIONDIST,196.35,167.65,173.45,126.65,108.0,104.55,15.493983613799564
641,KUANTUM,89.25,75.75,79.2,88.6,68.55,42.5,15.31664791479148
1152,TVSMOTOR,671.3,625.9,563.95,568.7,625.85,479.85,15.278145414368076
95,ASTRAMICRO,240.0,206.85,206.1,174.75,116.7,110.75,15.25798400075729
960,SANGHVIMOV,224.6,185.6,188.0,197.8,126.65,79.55,15.251315837711484
750,MUKTAARTS,48.4,42.95,42.0,39.65,29.5,27.15,15.248133341541454
268,DIXON,5306.1,5161.1,4844.6,4235.05,4119.5,10015.05,15.22743874115342
367,GLAXO,1597.6,1462.4,1469.3,1691.8,1464.2,1400.55,15.22041539533007
649,LGBBROSLTD,556.25,493.15,452.85,514.05,286.65,250.15,15.197522140161427
786,NETWORK18,82.25,81.5,54.3,49.15,40.6,33.3,15.195719394953372
820,ORIENTALTL,10.2,9.75,8.45,9.9,7.15,7.75,15.180912387860278
1214,VOLTAMP,1621.75,1418.25,1524.45,1639.95,1101.9,1015.65,15.157237708373916
619,KKCL,1215.0,1192.35,916.5,887.1,878.5,719.25,15.129179260993448
1183,UTISXN50,49.75,48.97,49.05,45.76,41.21,308.09,15.069158163330384
430,HDFCMFGETF,42.32,42.63,41.27,42.61,41.86,4665.85,15.045422147812445
1173,UNIVASTU,64.8,66.1,44.75,51.55,40.35,31.75,15.002606872266373
626,KOTAKGOLD,41.69,41.95,40.6,41.82,410.45,457.95,14.981221767997488
601,KDDL,571.45,470.1,442.25,367.5,303.15,156.85,14.973346770955429
1149,TTL,87.65,84.75,63.85,69.6,49.6,39.0,14.958490141422695
64,APLAPOLLO,831.75,807.5,848.85,1725.75,1306.15,3256.2,14.944149303849795
