SYMBOL,LOW_x,LOW_y,Value
PAGEIND,36714.35,32009.4,1.14698651021262
BHARATGEAR,159.15,138.85,1.14620093626215
KAYA,481.65,420.35,1.14583085523968
OMINFRAL,31.55,27.55,1.14519056261343
JSLHISAR,320.65,280,1.14517857142857
MAXVIL,123.8,108.2,1.14417744916821
MACPOWER,191,167.05,1.14337024842861
RELAXO,1300,1138,1.14235500878735
APTECHT,338.1,296.1,1.14184397163121
IIFL,303.25,265.65,1.14153961980049
GRSE,216.15,189.4,1.14123548046463
HINDCOPPER,124.3,109,1.14036697247706
ARIHANTSUP,167.05,146.5,1.14027303754266
TCNSBRANDS,725.85,636.6,1.14019792648445
MOLDTKPAC,651,572.05,1.13801241150249
IFBAGRO,640,562.45,1.1378789225709
PERSISTENT,3901,3429.4,1.13751676678136
NOIDATOLL,6.65,5.85,1.13675213675214
FIEMIND,1210,1065.45,1.13567037402037
LYKALABS,88.05,77.55,1.13539651837524
IGPL,818.55,721,1.13529819694868
JINDALSTEL,406.8,358.4,1.13504464285714
KOTAKPSUBK,265,233.5,1.13490364025696
ROLEXRINGS,1141.4,1008,1.13234126984127
INOXWIND,111.1,98.2,1.13136456211813
MADHUCON,5.2,4.6,1.1304347826087
ORIENTALTL,8.8,7.8,1.12820512820513
VMART,3920,3474.7,1.12815494862866
ABFRL,247.3,219.25,1.12793614595211
SWELECTES,241.55,214.2,1.12768440709617
BEML,1565,1390.15,1.12577779376326
POWERMECH,980.1,872.05,1.12390344590333
ASAHIINDIA,400,356.05,1.12343771942143
SCI,126.5,112.65,1.12294718153573
IDBI,49.5,44.1,1.12244897959184
GEEKAYWIRE,89.05,79.35,1.12224322621298
TATVA,2461,2193.35,1.1220279481159
PFS,19.15,17.1,1.11988304093567
ENDURANCE,1755,1570,1.11783439490446
ICICIBANK,783.9,701.3,1.11778126336803
WEBELSOLAR,73.15,65.5,1.11679389312977
SUNCLAYLTD,3693.6,3312,1.11521739130435
RVNL,33.5,30.05,1.11480865224626
VETO,111.55,100.1,1.11438561438561
BEARDSELL,14.2,12.75,1.11372549019608
GREENPLY,199.95,179.55,1.11361737677527
SHRIRAMEPC,6.4,5.75,1.11304347826087
MORARJEE,17.25,15.5,1.11290322580645
ARMANFIN,893.05,802.55,1.11276555977821
LOVABLE,125.25,112.6,1.11234458259325
SBIN,488.4,439.1,1.11227510817581
TITAN,2346.55,2110.05,1.11208265206986
JUBLINDS,546.55,492,1.11087398373984
KALYANKJIL,75.65,68.1,1.11086637298091
INOXLEISUR,407,367,1.10899182561308
BATAINDIA,1929.6,1740.25,1.10880620600488
ORTINLAB,29.6,26.7,1.10861423220974
ARVINDFASN,295.1,266.3,1.10814870446864
SRTRANSFIN,1425,1286,1.10808709175739
COUNCODOS,3.1,2.8,1.10714285714286
GMRINFRA,39.3,35.5,1.10704225352113
GTPL,257.9,233,1.1068669527897
GROBTEA,1011.9,915.55,1.10523728906122
GANGAFORGE,15.85,14.35,1.10452961672474
PFOCUS,77.5,70.2,1.1039886039886
BLBLIMITED,10.3,9.35,1.10160427807487
VSSL,253.1,229.8,1.10139251523064
MONTECARLO,376.9,342.4,1.10075934579439
CUB,164,149,1.1006711409396
DBL,591.1,537.25,1.10023266635645
SHRENIK,1.65,1.5,1.1
UCOBANK,14.35,13.05,1.09961685823755
MRPL,48.65,44.25,1.09943502824859
ORBTEXP,77,70.05,1.09921484653819
NITIRAJ,45.55,41.45,1.09891435464415
DIXON,4750,4325,1.09826589595376
ANIKINDS,19.2,17.5,1.09714285714286
ENERGYDEV,9.65,8.8,1.09659090909091
BRIGADE,427.8,390.25,1.09622037155669
VENUSREM,490,447.05,1.09607426462364
INDNIPPON,381.75,348.4,1.0957233065442
LYPSAGEMS,4.6,4.2,1.0952380952381
HINDCON,66.25,60.5,1.09504132231405
HONDAPOWER,1276.05,1165.4,1.09494594130771
AHLADA,145,132.5,1.09433962264151
COMPUSOFT,15.1,13.8,1.09420289855072
PIONDIST,177.8,162.5,1.09415384615385
LAXMIMACH,8665.1,7919.9,1.09409209712244
MAHABANK,19.8,18.1,1.0939226519337
SUNTV,540.35,494,1.09382591093117
INDTERRAIN,42.4,38.8,1.09278350515464
KAMDHENU,220.6,201.95,1.09234959148304
VTL,1935.3,1771.75,1.09230986312967
JBMA,567.5,519.65,1.09208120850573
BASML,60.25,55.2,1.09148550724638
NATIONALUM,96.15,88.1,1.09137343927355
AMRUTANJAN,895,820.1,1.09133032557005
HLEGLAS,6390.45,5858.9,1.09072522145795
MOTILALOFS,906.85,832,1.08996394230769
URJA,6.7,6.15,1.08943089430894
FINEORG,3251,2984.35,1.08934943957646
MAFANG,56.9,52.25,1.088995215311
MBLINFRA,19.6,18,1.08888888888889
TRIGYN,114.7,105.35,1.08875177978168
MENONBE,76.25,70.05,1.08850820842256
MTARTECH,1513.55,1391,1.08810208483106
CUBEXTUB,22.3,20.5,1.08780487804878
ABB,1954.3,1797.1,1.08747426409215
IEX,641.2,590,1.08677966101695
PAR,208.3,191.75,1.08631029986962
RUSHIL,267.5,246.3,1.08607389362566
JMCPROJECT,107,98.55,1.0857432775241
DMART,4561.15,4202,1.08547120418848
NAHARCAP,280.1,258.1,1.08523827973654
BYKE,34.15,31.5,1.08412698412698
SUTLEJTEX,68.25,63,1.08333333333333
GLOBALVECT,54.1,49.95,1.08308308308308
COSMOFILMS,1490.15,1376.15,1.08283980670712
MINDTREE,4457,4118.45,1.08220325607935
CHOLAFIN,588.75,544.1,1.08206212093365
STEELXIND,73,67.5,1.08148148148148
KAMATHOTEL,56.45,52.2,1.08141762452107
KEC,472.5,437,1.0812356979405
CYIENT,1054,975.25,1.08074852601897
ASHOKLEY,136.35,126.2,1.08042789223455
KIOCL,259,239.75,1.08029197080292
DPABHUSHAN,222,205.5,1.08029197080292
NPBET,201.11,186.2,1.08007518796992
USHAMART,85.9,79.55,1.07982401005657
INDIAGLYCO,833.5,771.95,1.0797331433383
INFIBEAM,44.8,41.5,1.07951807228916
BIRLACORPN,1391.2,1288.85,1.07941187880669
RAJESHEXPO,632.5,586,1.07935153583618
MCDOWELL-N,881.5,817.05,1.07888134141117
M&M,862,799,1.07884856070088
BANKINDIA,56.85,52.7,1.07874762808349
EIDPARRY,446.1,413.9,1.07779656921962
GICHSGFIN,155.2,144,1.07777777777778
KHAICHEM,61.4,57,1.07719298245614
VSTTILLERS,2812.3,2611,1.07709689774033
EIHOTEL,135.75,126.1,1.07652656621729
NLCINDIA,61.5,57.15,1.0761154855643
CENTUM,520,483.25,1.07604759441283
VISHNU,765,711,1.07594936708861
MINDTECK,90,83.65,1.07591153616258
RVHL,26.55,24.7,1.0748987854251
SIRCA,360,335,1.07462686567164
NORBTEAEXP,7.25,6.75,1.07407407407407
SUZLON,6.55,6.1,1.07377049180328
A2ZINFRA,4.4,4.1,1.07317073170732
BODALCHEM,120,111.85,1.07286544479213
GSS,78.7,73.4,1.07220708446866
KANPRPLA,166.1,155,1.07161290322581
AMBER,3260.85,3046,1.07053512803677
DPSCLTD,15.2,14.2,1.07042253521127
SKIL,3.8,3.55,1.07042253521127
VINEETLAB,77.55,72.45,1.0703933747412
TV18BRDCST,40.3,37.65,1.07038512616202
DIVISLAB,5085.3,4752.1,1.07011636960502
PARAGMILK,132.1,123.5,1.06963562753036
MASPTOP50,29.2,27.3,1.06959706959707
KALPATPOWR,417.1,390,1.06948717948718
KIRLOSBROS,386,361,1.06925207756233
TECHM,1467.8,1372.75,1.06924057548716
MARALOVER,80.15,75,1.06866666666667
BHAGERIA,267.65,250.8,1.06718500797448
GPPL,109,102.15,1.06705824767499
SDBL,41.6,39,1.06666666666667
JAMNAAUTO,95,89.1,1.0662177328844
J&KBANK,38.65,36.25,1.06620689655172
VIPIND,516.7,485,1.06536082474227
BHANDARI,3.3,3.1,1.06451612903226
PDMJEPAPER,40.55,38.1,1.06430446194226
SWSOLAR,405.55,381.05,1.06429602414381
BOSCHLTD,16515.9,15520,1.06416881443299
BDL,400.15,376.2,1.06366294524189
METROPOLIS,2864,2693.15,1.06343872417058
BGRENERGY,62.05,58.4,1.0625
SARLAPOLY,50.4,47.5,1.06105263157895
KRIDHANINF,4.35,4.1,1.0609756097561
GMMPFAUDLR,4631,4365,1.06093928980527
CELEBRITY,9.6,9.05,1.06077348066298
CESC,86.45,81.5,1.06073619631902
NCLIND,228.05,215,1.0606976744186
HINDPETRO,306.4,289,1.06020761245675
PRECWIRE,247.05,233.05,1.0600729457198
NHPC,30.1,28.4,1.05985915492958
PSPPROJECT,504.2,476.1,1.05902121403067
GRAVITA,205.9,194.45,1.0588840318848
SHILPAMED,575.1,544.2,1.05678059536935
IFBIND,1214.75,1150,1.05630434782609
TVSSRICHAK,2236.2,2117.35,1.05613148511111
HMVL,77.5,73.4,1.0558583106267
GABRIEL,151.1,143.15,1.05553615089067
BHEL,63.75,60.4,1.05546357615894
ASHOKA,102,96.65,1.05535437144335
WORTH,90,85.3,1.05509964830012
CHEMPLASTS,630.5,597.6,1.05505354752343
PNB,40.6,38.5,1.05454545454545
HERITGFOOD,481.75,456.85,1.05450366641129
VHL,3161,3000,1.05366666666667
AVTNPL,82.65,78.45,1.05353728489484
BLUESTARCO,923,877,1.05245153933865
GOKEX,198.7,188.8,1.05243644067797
SUBROS,351,333.55,1.05231599460351
JMA,61.6,58.6,1.05119453924915
HITECH,592.35,563.6,1.05101135557133
SHREDIGCEM,79.35,75.5,1.05099337748344
KPRMILL,445.2,424,1.05
JAGSNPHARM,163,155.25,1.04991948470209
KSB,1266.7,1207.3,1.04920069576742
GIPCL,85.6,81.6,1.04901960784314
SUPRAJIT,341.15,325.35,1.04856308590748
RKFORGE,1084.95,1034.8,1.04846347120216
PTL,48.25,46.05,1.04777415852334
ONGC,146,139.35,1.04772156440617
UJJIVANSFB,20.9,19.95,1.04761904761905
AMBICAAGAR,17.6,16.8,1.04761904761905
PSB,17.6,16.8,1.04761904761905
INDIACEM,197,188.15,1.04703693861281
IDFCFIRSTB,47.9,45.75,1.04699453551913
CONFIPET,86.4,82.55,1.04663840096911
KUANTUM,77.5,74.05,1.04659014179608
FINPIPE,214,204.5,1.04645476772616
EQUITASBNK,63.45,60.65,1.04616652926628
THOMASCOOK,68,65,1.04615384615385
INDHOTEL,192.45,184,1.04592391304348
ITDCEM,78.75,75.3,1.04581673306773
MPHASIS,3212,3071.95,1.04558993473201
NIFTYBEES,182.1,174.2,1.04535017221584
ANDHRSUGAR,625.1,598,1.04531772575251
UNIVPHOTO,372,356,1.04494382022472
WABCOINDIA,7352.8,7040,1.04443181818182
AARON,102.35,98,1.04438775510204
ASTRAL,2132.05,2041.5,1.0443546411952
SCHAND,117.45,112.5,1.044
IBREALEST,148.35,142.1,1.04398311048557
TIL,157.1,150.5,1.04385382059801
CGCL,516.6,495,1.04363636363636
MINDAIND,758,726.35,1.04357403455634
BARBEQUE,1151.4,1104,1.0429347826087
JAGRAN,61.3,58.8,1.04251700680272
MPSLTD,690.1,662.3,1.04197493582968
XPROINDIA,515.2,494.5,1.04186046511628
ABSLBANETF,387.74,372.22,1.04169577131804
CHEMFAB,181,173.8,1.04142692750288
EQUITAS,125.7,120.7,1.04142502071251
CHAMBLFERT,341.55,328.05,1.04115226337449
ESABINDIA,2266,2176.7,1.04102540543024
ICICIGOLD,42.26,40.61,1.04063038660428
EMKAY,117.3,112.75,1.04035476718404
IRFC,23.25,22.35,1.04026845637584
HTMEDIA,26,25,1.04
UTIBANKETF,39,37.5,1.04
ALANKIT,17.15,16.5,1.03939393939394
HBLPOWER,49.05,47.2,1.03919491525424
BHAGYAPROP,30.65,29.5,1.03898305084746
UBL,1600,1540.35,1.03872496510533
PAISALO,915,881,1.03859250851305
KOTAKGOLD,41.55,40.03,1.03797152135898
SPENCERS,116.25,112,1.03794642857143
LOKESHMACH,52.05,50.15,1.03788634097707
BANDHANBNK,290.45,279.85,1.03787743433982
ORIENTPPR,30.25,29.15,1.0377358490566
AXISCADES,77,74.2,1.0377358490566
KARURVYSYA,48.3,46.55,1.03759398496241
SEYAIND,54.05,52.1,1.03742802303263
DCAL,201.5,194.3,1.03705609881626
UFLEX,546.6,527.15,1.03689651901736
AAVAS,2670,2575,1.0368932038835
NURECA,1679,1619.6,1.03667572240059
IOC,126.45,122,1.03647540983607
KOTARISUG,31.5,30.4,1.03618421052632
MUKTAARTS,43,41.5,1.03614457831325
GEOJITFSL,79,76.25,1.03606557377049
SFL,2406.7,2323.5,1.03580804820314
ZENTEC,204.05,197,1.03578680203046
QGOLDHALF,2056,1986,1.03524672708963
SWARAJENG,1659.85,1603.35,1.03523871893224
CHENNPETRO,122.05,117.9,1.03519932145886
HBANKETF,386,372.95,1.03499128569513
ICICIBANKN,385.5,372.49,1.03492711213724
ERIS,758.6,733,1.03492496589359
SHRIRAMCIT,2133.5,2062,1.03467507274491
HDFCMFGETF,42.36,40.95,1.03443223443223
ANUP,965,933,1.03429796355841
PVR,1631,1577.05,1.03420944167908
BSLGOLDETF,4351.7,4209,1.03390354003326
GFLLIMITED,76.55,74.05,1.033760972316
TVTODAY,295.65,286,1.03374125874126
TRIL,27.6,26.7,1.03370786516854
PRECAM,95.45,92.35,1.03356794802382
HSIL,235.05,227.45,1.03341393712904
AARTIIND,946.95,916.35,1.03339335406777
BSE,1271.25,1230.25,1.03332655964235
NH,514.55,498.05,1.03312920389519
SETFGOLD,4236.75,4101,1.03310168251646
SJVN,28.1,27.2,1.03308823529412
VEDL,296.4,287,1.03275261324042
IOB,20.8,20.15,1.03225806451613
3MINDIA,25290,24500,1.03224489795918
INEOSSTYRO,1424.05,1380,1.03192028985507
KOTAKBKETF,389.54,377.5,1.0318940397351
TRIVENI,183.05,177.4,1.03184892897407
GOLDBEES,41.18,39.92,1.03156312625251
SETFNIFBK,385,373.3,1.03134208411465
BANKBEES,388.1,376.4,1.03108395324123
ARSHIYA,28.3,27.45,1.03096539162113
AXISBNKETF,387.55,376,1.03071808510638
DPWIRES,215.2,209,1.02966507177033
HNGSNGBEES,320.2,311,1.02958199356913
MMFL,820.95,797.7,1.02914629559985
YESBANK,12.55,12.2,1.02868852459016
MAXIND,74.1,72.05,1.02845246356697
ORIENTELEC,335.25,326.1,1.02805887764489
AXISGOLD,41.06,39.94,1.02804206309464
KOVAI,1653,1607.95,1.02801704033086
BANARISUG,2152.2,2093.95,1.02781823825784
NEULANDLAB,1531.55,1490.15,1.0277824380096
FOSECOIND,1482.25,1442.25,1.02773444271104
AHLUCONT,366.95,357.05,1.02772720907436
TIINDIA,1366,1329.35,1.0275698649716
ABBOTINDIA,19725.1,19201,1.0272954533618
JKCEMENT,3130.8,3048.3,1.02706426532822
JPINFRATEC,1.9,1.85,1.02702702702703
WIPRO,644.25,627.35,1.02693871044871
EIMCOELECO,385,374.95,1.02680357380984
IDBIGOLD,4333,4221.1,1.0265096775722
SUVEN,94.9,92.45,1.02650081124932
SIEMENS,2126.65,2072,1.02637548262548
MTEDUCARE,8,7.8,1.02564102564103
GSFC,128.3,125.1,1.0255795363709
TIMESGTY,42.6,41.55,1.02527075812274
SILLYMONKS,20.3,19.8,1.02525252525253
IPL,317.1,309.3,1.02521823472357
SBIETFPB,199.1,194.27,1.02486230503938
SBICARD,1035.05,1010,1.02480198019802
GRASIM,1675.45,1635.05,1.02470872450384
TATAELXSI,5700,5563.75,1.02448887890362
ORIENTBELL,350,341.65,1.02444021659593
GARFIBRES,3321.5,3242.55,1.02434812107755
CENTRALBK,21.25,20.75,1.02409638554217
JPPOWER,4.25,4.15,1.02409638554217
SUNDARMFIN,2361.05,2305.8,1.02396131494492
GUJAPOLLO,218,212.9,1.0239549084077
TEAMLEASE,4456.8,4355,1.02337543053961
AUTOAXLES,1283.65,1254.45,1.02327713340508
IRCON,46.05,45.05,1.02219755826859
WENDT,4403.2,4310,1.02162412993039
GMDCLTD,71,69.5,1.02158273381295
KAUSHALYA,2.4,2.35,1.02127659574468
DEVYANI,118,115.55,1.02120294244916
FAIRCHEMOR,1817.55,1780,1.02109550561798
RSYSTEMS,215.5,211.05,1.0210850509358
RAMCOCEM,994.8,974.4,1.02093596059113
DWARKESH,69.4,68,1.02058823529412
IIFLWAM,1590.1,1558.4,1.02034137577002
TRENT,989.5,970,1.02010309278351
SAIL,112.8,110.6,1.01989150090416
TIMKEN,1730,1696.3,1.01986676884985
MALUPAPER,33.6,32.95,1.01972685887709
HDFC,2791.2,2739.1,1.01902084626337
DHAMPURSUG,290.4,285,1.01894736842105
GRPLTD,948,930.45,1.01886184104466
RITES,275,270,1.01851851851852
TATASTEEL,1290,1267.2,1.01799242424242
TATACOFFEE,203.8,200.2,1.01798201798202
GOLDIAM,936.35,920,1.01777173913043
SATIN,74.8,73.5,1.01768707482993
ATULAUTO,223,219.15,1.0175678758841
BLUEDART,6450,6338.7,1.01755880543329
UJAAS,2.9,2.85,1.01754385964912
AUBANK,1131.95,1112.5,1.01748314606742
BAJAJHLDNG,4731,4650,1.01741935483871
DENORA,326.5,321,1.01713395638629
PCJEWELLER,26.9,26.45,1.01701323251418
MAFSETF,18.6,18.29,1.01694915254237
SANOFI,7903.4,7775,1.01651446945338
ISFT,127.05,125,1.0164
NECCLTD,18.7,18.4,1.01630434782609
REPRO,550.85,542.05,1.01623466469883
SHREERAMA,13.05,12.85,1.01556420233463
BHARATFORG,748.3,736.9,1.01547021305469
SOMANYCERA,751,740,1.01486486486486
WESTLIFE,559.25,551.1,1.01478860460896
MIRZAINT,58.35,57.5,1.01478260869565
CRISIL,2743.25,2703.45,1.01472192938652
TNPL,130.25,128.4,1.01440809968847
JSWSTEEL,663,653.6,1.01438188494492
APARINDS,650.05,641,1.01411856474259
SUPERHOUSE,166.25,163.95,1.01402866727661
CONSOFINVT,145,143,1.01398601398601
KAJARIACER,1185.15,1169,1.01381522668948
GANECOS,493.1,486.6,1.01335799424579
HDFCNIFETF,190.5,188,1.01329787234043
KENNAMET,1385,1366.9,1.01324164167093
GOACARBON,362.45,357.85,1.01285454799497
BIRLATYRE,23.7,23.4,1.01282051282051
PRINCEPIPE,697,688.25,1.01271340355975
FSL,194.4,192.05,1.01223639677167
ELECTHERM,117.55,116.15,1.01205337925097
STEELCITY,57.15,56.5,1.01150442477876
MAZDOCK,251.6,248.75,1.01145728643216
JINDALSAW,111.7,110.45,1.01131733816206
MON100,108.3,107.1,1.01120448179272
LT,1735.8,1716.6,1.01118490038448
SBCL,276,273,1.01098901098901
UTINIFTETF,1850,1829.95,1.01095658351321
UPL,716.55,709,1.01064880112835
TINPLATE,288.15,285.15,1.01052077853761
MARICO,553,547.25,1.01050708085884
SUNPHARMA,779.35,771.35,1.01037142671939
PEARLPOLY,14.65,14.5,1.01034482758621
IBMFNIFTY,174.9,173.11,1.0103402460863
VINDHYATEL,1101,1090,1.01009174311927
LIQUIDETF,999.99,990,1.01009090909091
JAIBALAJI,51.5,51,1.00980392156863
GRINFRA,1876,1858,1.00968783638321
AXISNIFTY,185.16,183.4,1.00959651035987
LICNETFSEN,637,631,1.0095087163233
HDFCSENETF,640.01,634,1.00947949526814
DATAMATICS,300.7,298,1.00906040268456
PRITIKAUTO,17.3,17.15,1.00874635568513
INDUSINDBK,1123.6,1114.1,1.00852706220267
GOLDSHARE,41.55,41.2,1.00849514563107
BBL,1320,1308.95,1.0084418808969
LFIC,78.8,78.15,1.0083173384517
M&MFIN,176.85,175.45,1.00797948133371
MANAKALUCO,19.35,19.2,1.0078125
20MICRONS,58.05,57.6,1.0078125
INFRABEES,520,516,1.0077519379845
IMPAL,761,755.3,1.00754667019727
JKPAPER,220.3,218.8,1.00685557586837
ESCORTS,1480,1470.2,1.00666575976058
ALICON,765,760,1.00657894736842
MOGSEC,48.96,48.64,1.00657894736842
LTTS,4540,4511.2,1.00638411065792
DBCORP,96.65,96.05,1.00624674648621
QNIFTY,1848,1838,1.00544069640914
DELTACORP,252.9,251.55,1.00536672629696
LINCPEN,221.2,220.05,1.00522608498069
LUXIND,3447.7,3430.05,1.00514569758458
AVANTIFEED,541,538.35,1.00492244822142
INDOCO,440,438,1.00456621004566
ICICIM150,113.52,113.01,1.00451287496682
VASCONEQ,24.7,24.6,1.00406504065041
SANGHIIND,65.5,65.25,1.00383141762452
NELCAST,82.3,82,1.00365853658537
INFY,1661.05,1655,1.00365558912387
GOKUL,27.7,27.6,1.0036231884058
BSLNIFTY,194.8,194.1,1.00360638845956
UTISENSETF,622,620,1.00322580645161
SADBHAV,47.4,47.25,1.0031746031746
ICICIBANKP,193.1,192.5,1.00311688311688
MOM50,174.25,173.71,1.00310862932474
EBBETF0423,1151.06,1147.54,1.00306743120066
KTKBANK,66.3,66.1,1.00302571860817
UJJIVAN,151.9,151.45,1.00297127764939
GODREJIND,564.6,562.95,1.0029309885425
MOM100,31.3,31.21,1.00288369112464
MAN50ETF,181.62,181.1,1.00287134180011
NUCLEUS,576.95,575.3,1.00286806883365
UMANGDAIRY,73,72.8,1.00274725274725
MUTHOOTFIN,1450.9,1447,1.00269523151348
LICNETFGSC,22.7,22.64,1.00265017667845
NETFGILT5Y,48.95,48.83,1.00245750563178
SKFINDIA,3057.3,3050.05,1.00237701021295
WINDMACHIN,27.95,27.9,1.00179211469534
ICICINF100,193,192.66,1.00176476694695
CLEAN,2001,1997.8,1.00160176193813
KOTAKNIFTY,185.54,185.25,1.00156545209177
AXISTECETF,345.5,345,1.00144927536232
SORILINFRA,108,107.85,1.00139082058414
YUKEN,570.7,570,1.00122807017544
