,SYMBOL
0,TRIDENT
1,TATAMTRDVR
2,TATAPOWER
3,IEX
4,MINDTREE
5,FLUOROCHEM
6,TATAMOTORS
7,ANGELBRKG
8,JSL
9,TATAELXSI
10,TRITURBINE
11,PERSISTENT
12,NETWORK18
13,JSLHISAR
14,IBREALEST
15,CENTURYPLY
16,LTTS
17,GRINDWELL
18,ADANIENT
19,SOBHA
20,TCIEXP
21,BRIGADE
22,RADICO
23,HIKAL
24,KEI
25,BSE
26,DELTACORP
27,IRB
28,GODREJPROP
29,SOLARINDS
30,OIL
31,INDIANB
32,MINDACORP
33,NATIONALUM
34,LUXIND
35,MAXHEALTH
36,MPHASIS
37,KPITTECH
38,GUJALKALI
39,LTI
40,BAJAJFINSV
41,DCMSHRIRAM
42,MASTEK
43,HINDCOPPER
44,BALAMINES
45,CANBK
46,TATASTEEL
47,PRINCEPIPE
48,INDHOTEL
49,CARBORUNIV
50,OBEROIRLTY
51,ZENSARTECH
52,EQUITAS
53,FSL
54,MCDOWELL-N
55,POLYCAB
56,GNFC
57,BEML
58,CENTURYTEX
59,SAIL
60,VTL
61,TATACHEM
62,VEDL
63,DEEPAKNTR
64,ABB
65,LINDEINDIA
66,DLF
67,CYIENT
68,SWSOLAR
69,BHEL
70,CHAMBLFERT
71,LEMONTREE
72,KSB
73,BIRLACORPN
74,SONATSOFTW
75,SBIN
76,BSOFT
77,CHALET
78,VIPIND
79,TITAN
80,TTKPRESTIG
81,JKPAPER
82,SCI
83,SKFINDIA
84,MINDAIND
85,SHRIRAMCIT
86,BANKBARODA
87,ONGC
88,SUZLON
89,DMART
90,HATSUN
91,ZEEL
92,ASAHIINDIA
93,HINDALCO
94,UTIAMC
95,SUNTECK
96,COFORGE
97,TCNSBRANDS
98,EIHOTEL
99,WELSPUNIND
100,INTELLECT
101,JAMNAAUTO
102,GRASIM
103,ABFRL
104,UNIONBANK
105,RELAXO
106,TEAMLEASE
107,MAHINDCIE
108,BEL
109,LAXMIMACH
110,TECHM
111,KAJARIACER
112,VMART
113,INGERRAND
114,BLUEDART
115,SCHAEFFLER
116,RVNL
117,POLYPLEX
118,JKLAKSHMI
119,BASF
120,TIINDIA
121,CERA
122,GSFC
123,INOXLEISUR
124,BAJAJHLDNG
125,HEG
126,TATACOFFEE
127,CAMS
128,DALBHARAT
129,HAL
130,SUPRAJIT
131,PAGEIND
132,CGCL
133,POWERINDIA
134,QUESS
135,PEL
136,APOLLOHOSP
137,MMTC
138,IOB
139,BAJFINANCE
140,ASTRAL
141,ICICIBANK
142,ENDURANCE
143,PNCINFRA
144,INDOCO
145,PRESTIGE
146,INDUSINDBK
147,LT
148,AAVAS
149,UBL
150,IOC
151,INDIGO
152,ISEC
153,FEDERALBNK
154,WIPRO
155,NOCIL
156,PVR
157,NAUKRI
158,IFBIND
159,BATAINDIA
160,TIMKEN
161,ROUTE
162,FACT
163,ORIENTELEC
164,VOLTAS
165,SFL
166,GUJGASLTD
167,IDBI
168,BHARTIARTL
169,JKTYRE
170,JKCEMENT
171,UFLEX
172,CUMMINSIND
173,GRAPHITE
174,ASHOKLEY
175,IIFLWAM
176,PHOENIXLTD
177,RAIN
178,NHPC
179,CHOLAFIN
180,BALKRISIND
181,GODFRYPHLP
182,WESTLIFE
183,IDFC
184,DIVISLAB
185,BOSCHLTD
186,CAPLIPOINT
187,BALRAMCHIN
188,HEMIPROP
189,ERIS
190,INDIACEM
191,CENTRALBK
192,VENKEYS
193,MOTILALOFS
194,SIEMENS
195,JINDALSTEL
196,TATACONSUM
197,ULTRACEMCO
198,BLUESTARCO
199,AMBUJACEM
200,JSWSTEEL
201,LAOPALA
202,BHARATFORG
203,GARFIBRES
204,ASHOKA
205,MRPL
206,CROMPTON
207,M&MFIN
208,VINATIORGA
209,JINDALSAW
210,SUNDRMFAST
211,GSPL
212,IDEA
213,BAJAJELEC
214,EQUITASBNK
215,FINCABLES
216,JUBLFOOD
217,HINDPETRO
218,TVSMOTOR
219,SRTRANSFIN
220,TRENT
221,STLTECH
222,CHOLAHLDNG
223,ICIL
224,DBL
225,METROPOLIS
226,SPARC
227,NTPC
228,ESCORTS
229,TORNTPOWER
230,CRISIL
231,MARICO
232,HAVELLS
233,EIDPARRY
234,MAZDOCK
235,PIDILITIND
236,INFY
237,LALPATHLAB
238,SHILPAMED
239,RAJESHEXPO
240,CONCOR
241,FORTIS
242,SUNPHARMA
243,ACC
244,NBCC
245,HCLTECH
246,NH
247,SUPREMEIND
248,CCL
249,SUNTV
250,TV18BRDCST
251,UPL
252,GODREJCP
253,ELGIEQUIP
254,VGUARD
255,AUBANK
256,ADANIPORTS
257,ALKEM
258,M&M
259,COALINDIA
260,RELIANCE
261,POLYMED
262,NLCINDIA
263,KEC
264,GAIL
265,ASIANPAINT
266,RATNAMANI
267,GALAXYSURF
268,GREAVESCOT
269,BDL
270,PNB
271,GODREJIND
272,NAM-INDIA
273,NCC
274,HDFC
275,OFSS
276,WABCOINDIA
277,MAHABANK
278,PGHH
279,ROSSARI
280,PFC
281,SBILIFE
282,RCF
283,EMAMILTD
284,CANFINHOME
285,JBCHEPHARM
286,MAHLOG
287,GMMPFAUDLR
288,THERMAX
289,UCOBANK
290,KALPATPOWR
291,SCHNEIDER
292,KNRCON
293,ABBOTINDIA
294,VBL
295,NILKAMAL
296,ASTERDM
297,MFSL
298,KOTAKBANK
299,IDFCFIRSTB
300,GPPL
301,RAMCOCEM
302,FINEORG
303,SUNDARMFIN
304,ICICIPRULI
305,AJANTPHARM
306,GAEL
307,RECLTD
308,HINDZINC
309,HDFCBANK
310,SJVN
311,NESCO
312,APOLLOTYRE
313,MANAPPURAM
314,EDELWEISS
315,ITC
316,MARUTI
317,SHREECEM
318,SPICEJET
319,NFL
320,RITES
321,PRSMJOHNSN
322,LICHSGFIN
323,ATUL
324,TCS
325,IBULHSGFIN
326,NIACL
327,HONAUT
328,CASTROLIND
329,SBICARD
330,GLAXO
331,3MINDIA
332,MUTHOOTFIN
333,KRBL
334,PIIND
335,NMDC
336,KARURVYSYA
337,AXISBANK
338,TASTYBITE
339,HUDCO
340,SUMICHEM
341,MCX
342,GESHIP
343,LAURUSLABS
344,ICICIGI
345,NESTLEIND
346,SUVENPHAR
347,DCBBANK
348,DABUR
349,BANKINDIA
350,AMBER
351,PHILIPCARB
352,INDIAMART
353,SIS
354,DIXON
355,SYMPHONY
356,ALOKINDS
357,AIAENG
358,HDFCLIFE
359,MIDHANI
360,FINPIPE
361,EICHERMOT
362,BAJAJ-AUTO
363,MRF
364,AVANTIFEED
365,HEIDELBERG
366,SANOFI
367,EXIDEIND
368,VAKRANGEE
369,MOIL
370,JYOTHYLAB
371,SHARDACROP
372,MHRIL
373,WELCORP
374,TATACOMM
375,TORNTPHARM
376,BRITANNIA
377,CIPLA
378,NAVINFLUOR
379,BERGEPAINT
380,L&TFH
381,GODREJAGRO
382,CUB
383,HINDUNILVR
384,ADVENZYMES
385,YESBANK
386,GILLETTE
387,STARCEMENT
388,PETRONET
389,BPCL
390,CSBBANK
391,ABCAPITAL
392,COROMANDEL
393,POWERGRID
394,ENGINERSIN
395,JMFINANCIL
396,WOCKPHARMA
397,BAJAJCON
398,DRREDDY
399,MGL
400,PGHL
401,SUDARSCHEM
402,COCHINSHIP
403,CEATLTD
404,HDFCAMC
405,WHIRLPOOL
406,ITI
407,JUSTDIAL
408,INFIBEAM
409,DHANI
410,CREDITACC
411,COLPAL
412,ZYDUSWELL
413,IGL
414,RBLBANK
415,THYROCARE
416,UJJIVAN
417,IPCALAB
418,GLENMARK
419,FDC
420,PFIZER
421,RALLIS
422,BANDHANBNK
423,CADILAHC
424,ALEMBICLTD
425,KANSAINER
426,JCHAC
427,HEROMOTOCO
428,SYNGENE
429,BIOCON
430,AMARAJABAT
431,BHARATRAS
432,BBTC
433,APLLTD
434,LUPIN
435,BAYERCROP
436,DHANUKA
437,VARROC
438,EPL
439,NATCOPHARM
440,GRANULES
441,AARTIIND
442,KSCL
443,FRETAIL
444,SEQUENT
445,SPANDANA
446,GICRE
447,IOLCP
448,ASTRAZEN
449,REDINGTON
450,AARTIDRUGS
451,AUROPHARMA
452,AEGISCHEM
453,ALKYLAMINE
454,UJJIVANSFB
455,SOLARA
456,IRCON
457,STAR
458,VALIANTORG
459,APLAPOLLO
460,KPRMILL
461,VAIBHAVGBL
462,CESC
463,SRF
464,IRCTC
