,SYMBOL,tp,wp,mp,tmp,smp,yp,Value
251,DCMNVL,273.95,243.9,222.95,206.2,89.4,26.5,12.689692922114663
43,ALMONDZ,126.4,133.35,99.9,64.65,27.3,12.3,12.489569544303556
348,GANESHHOUC,205.9,202.05,171.75,119.35,73.65,24.9,10.486966511393641
994,SHAREINDIA,773.0,795.2,696.6,556.0,379.65,99.65,9.838908087097533
389,GOODLUCK,284.95,307.3,309.65,304.15,92.05,38.65,9.220076675054175
421,HBSL,34.5,35.85,37.9,29.4,16.45,5.15,8.57166245991492
387,GOLDIAM,962.9,979.65,925.15,600.2,396.0,156.65,8.17053038099816
294,ELECON,164.35,157.35,168.35,144.35,92.0,26.85,8.141769619617637
835,PARSVNATH,14.85,14.35,14.75,15.85,7.6,2.45,8.10284735638778
671,LYKALABS,98.55,95.15,76.8,84.9,41.1,17.05,8.098994829100485
702,MARALOVER,82.35,77.5,80.2,84.55,36.85,13.95,7.992614431662778
248,DBREALTY,37.65,40.1,27.8,25.85,19.75,6.85,7.789569654868238
1142,TRIDENT,39.8,39.9,29.4,22.15,13.9,7.55,7.622758409742426
396,GRAVITA,225.5,202.9,197.8,193.45,93.55,42.6,7.544852593619932
699,MANINFRA,128.05,122.55,109.65,65.1,38.8,25.6,7.214639423509612
757,NAHARCAP,319.75,282.55,284.9,366.65,101.65,66.35,7.073122655298827
691,MANAKCOAT,18.15,18.5,14.1,13.35,16.25,3.9,6.922161277480425
833,PANAMAPET,269.1,265.0,268.2,296.0,180.15,55.35,6.880616020697373
74,ARIHANT,58.4,58.7,26.3,27.15,17.7,16.15,6.831520658060734
80,ARVIND,143.6,136.6,94.45,108.2,73.6,33.8,6.820146373625771
452,HITECH,613.8,593.15,584.8,644.0,364.75,130.05,6.804126914635063
978,SEPOWER,10.85,10.8,8.7,9.65,4.3,2.4,6.772589399744572
1098,TATAMTRDVR,251.8,266.95,186.55,141.35,131.45,56.5,6.749657146395401
878,PRAKASHSTL,2.65,2.6,2.05,1.7,1.0,0.6,6.728580362726705
997,SHIVAMILLS,101.35,95.35,87.3,108.95,46.5,23.0,6.630387090812998
22,ADSL,93.35,84.25,75.75,64.8,47.5,21.8,6.622465195502754
245,DATAMATICS,321.2,321.9,300.85,278.75,138.7,70.7,6.608607121808337
223,CONSOFINVT,151.9,154.45,139.8,124.5,59.3,33.8,6.564124860215281
595,KANORICHEM,174.75,181.7,201.7,181.25,123.7,37.45,6.494357487796253
550,JAGSNPHARM,175.65,176.4,155.6,183.7,96.5,40.25,6.488579495730336
868,POKARNA,583.15,553.85,500.55,447.1,246.1,137.65,6.454390196283693
1099,TATAPOWER,222.95,225.3,163.75,131.65,102.9,54.7,6.426964553438883
584,JUBLINDS,560.0,566.4,496.15,409.95,331.95,130.65,6.403652487735316
385,GOKULAGRO,54.45,48.05,43.0,43.6,23.4,13.65,6.388484647748254
440,HGINFRA,752.45,810.25,655.35,591.05,281.85,178.35,6.295780595071628
601,KDDL,571.45,470.1,442.25,367.5,303.15,156.85,6.151024647800236
1177,USHAMART,90.7,89.9,87.45,67.85,51.55,22.3,6.113327444177141
928,RGL,915.45,869.95,798.15,670.05,381.85,234.2,6.108105312146181
256,DELTAMAGNT,67.2,66.7,52.5,57.2,28.7,17.75,6.07341174483181
18,ADANIENT,1445.3,1543.85,1458.7,1429.55,1286.75,352.1,6.031779589362631
861,PITTIENG,170.7,173.95,155.75,201.05,65.75,43.35,6.015019892134357
493,IEX,734.05,732.0,620.35,421.85,395.0,194.4,5.962061542911984
26,AGARIND,321.8,331.2,339.05,369.6,184.3,80.25,5.930709753136659
1097,TATAMOTORS,485.7,508.65,333.3,298.15,301.25,139.0,5.906370895093664
280,DSSL,148.15,147.15,146.05,145.9,104.9,38.15,5.904529600998386
1192,VASWANI,15.45,16.15,11.45,13.85,13.2,4.3,5.899024580729119
1094,TATAELXSI,5974.2,5876.2,5782.8,4251.35,3755.65,1553.0,5.896652609985249
445,HINDCOPPER,128.5,136.5,109.85,146.0,156.35,34.25,5.862993727503726
1167,UMESLTD,4.7,4.5,3.95,4.6,2.95,1.3,5.849702477550579
1217,VSSL,273.2,269.45,242.55,265.95,189.95,73.75,5.844689716275104
331,FLUOROCHEM,1896.3,1804.85,1952.1,1763.75,813.45,497.3,5.835275662125003
1102,TCI,688.15,581.5,423.3,446.25,278.75,227.95,5.827947960357871
841,PDSMFL,1402.25,1381.85,1187.2,1356.85,690.45,386.15,5.827264186741909
55,ANGELBRKG,1229.95,1292.65,1439.25,1273.55,512.2,311.55,5.753913465532612
816,ONWARDTEC,225.45,226.6,226.75,254.95,124.9,60.45,5.718720327586279
845,PERSISTENT,4050.9,3929.55,3643.25,3058.65,2201.3,1145.55,5.678978569657053
526,INOXWIND,125.05,116.55,99.15,124.35,74.75,37.55,5.664376810948905
728,MINDTREE,4733.7,4550.9,4184.6,2830.2,2248.35,1356.7,5.660515142557052
228,COSMOFILMS,1576.9,1458.2,1471.05,1348.35,744.8,450.6,5.652913281519595
1130,TIRUMALCHM,282.1,281.7,299.9,203.8,95.35,76.15,5.646597364440881
1225,WEBELSOLAR,77.6,75.65,64.3,64.55,41.35,22.75,5.643608537559665
1016,SIYSIL,470.3,492.35,374.45,419.4,212.25,137.55,5.63031053674458
326,FILATEX,100.8,101.55,104.5,104.6,87.95,27.5,5.622662322517722
273,DOLLAR,462.2,429.2,375.65,372.3,243.0,140.0,5.608716442380803
152,BHARATGEAR,172.5,171.9,140.7,129.65,83.7,51.4,5.585534322977802
578,JSL,197.5,192.35,168.35,157.65,90.35,58.4,5.581774597915533
57,ANSALAPI,13.1,12.95,8.95,9.5,5.5,4.3,5.521781790327977
277,DPWIRES,236.05,235.25,230.55,263.95,131.8,68.0,5.498580163561355
4,AARON,108.45,100.95,99.3,115.95,52.9,32.7,5.482952981625635
