,SYMBOL
353,MHRIL
354,BASF
355,MMTC
356,NIACL
357,DEEPAKNTR
358,DABUR
359,PIIND
360,RBLBANK
361,GODREJCP
362,HDFCLIFE
363,ALKYLAMINE
364,VENKEYS
365,RECLTD
366,SHARDACROP
367,GUJGASLTD
368,AUROPHARMA
369,BIOCON
370,ADANIPORTS
371,PFC
372,HEIDELBERG
373,LUPIN
374,FORTIS
375,ICICIGI
376,ASIANPAINT
377,CCL
378,JUBLFOOD
379,HAL
380,CEATLTD
381,APLAPOLLO
382,SUMICHEM
383,HATSUN
384,NBCC
385,NATCOPHARM
386,SPICEJET
387,TATACOMM
388,STLTECH
389,INDIGO
390,LICHSGFIN
391,CAPLIPOINT
392,ICICIPRULI
393,NOCIL
394,PNCINFRA
395,GODREJAGRO
396,INTELLECT
397,L&TFH
398,INDIGOPNTS
399,HEROMOTOCO
400,HAVELLS
401,ALOKINDS
402,BRITANNIA
403,BURGERKING
404,AEGISCHEM
405,ALKEM
406,KRBL
407,TASTYBITE
408,CIPLA
409,AXISBANK
410,HIKAL
411,CADILAHC
412,JYOTHYLAB
413,SUPPETRO
414,HATHWAY
415,RALLIS
416,BALRAMCHIN
417,SUNDRMFAST
418,MGL
419,TCS
420,CONCOR
421,MASTEK
422,KPITTECH
423,RCF
424,STARCEMENT
425,IPCALAB
426,KSCL
427,VBL
428,SONATSOFTW
429,AMARAJABAT
430,HDFCAMC
431,HCLTECH
432,FDC
433,MAHLOG
434,BERGEPAINT
435,BEL
436,ALEMBICLTD
437,VAKRANGEE
438,TORNTPHARM
439,COLPAL
440,NAVINFLUOR
441,BAJAJCON
442,GRAPHITE
443,SCHNEIDER
444,STAR
445,FACT
446,LINDEINDIA
447,EMAMILTD
448,NFL
449,PFIZER
450,SPARC
451,IGL
452,GESHIP
453,FRETAIL
454,JUBLINGREA
455,HINDUNILVR
456,SPANDANA
457,EPL
458,PRESTIGE
459,JBCHEPHARM
460,CUMMINSIND
461,SYNGENE
462,NCC
463,EICHERMOT
464,DHANUKA
465,ZYDUSWELL
466,NILKAMAL
467,IDEA
468,INDUSTOWER
469,CENTURYTEX
470,WELSPUNIND
471,ABCAPITAL
472,KANSAINER
473,BHARATRAS
474,INDIAMART
475,ASTERDM
476,PHILIPCARB
477,SUDARSCHEM
478,LXCHEM
479,LAURUSLABS
480,VAIBHAVGBL
481,BAJAJELEC
482,JUSTDIAL
483,PNBHOUSING
484,ICIL
485,BALAMINES
486,SOLARA
487,AFFLE
488,SRF
489,IRCTC
