,SYMBOL
343,ZENSARTECH
344,APARINDS
345,LGBBROSLTD
346,GEECEE
347,MANGCHEFER
348,TVSELECT
349,IFCI
350,KAUSHALYA
351,INDIANB
352,KCP
353,PURVA
354,HAVELLS
355,RKFORGE
356,FORTIS
357,RAJESHEXPO
358,UTIAMC
359,UNIENTER
360,MCDOWELL-N
361,AHLUCONT
362,LOVABLE
363,BANKA
364,COMPINFO
365,SWSOLAR
366,MAHSEAMLES
367,WIPRO
368,GATI
369,JISLJALEQS
370,TINPLATE
371,NH
372,PATELENG
373,SHOPERSTOP
374,DHAMPURSUG
375,TECHM
376,CRISIL
377,PAGEIND
378,BEL
379,TALBROAUTO
380,SHRIRAMEPC
381,HCG
382,CGCL
383,KRIDHANINF
384,WABAG
385,GUJALKALI
386,ONGC
387,CENTUM
388,AKSHARCHEM
389,TBZ
390,ORIENTPPR
391,ISEC
392,AMRUTANJAN
393,SUVEN
394,JMCPROJECT
395,TTL
396,AAVAS
397,GUJGASLTD
398,EQUITASBNK
399,EVEREADY
400,20MICRONS
401,ADFFOODS
402,VMART
403,KIRLFER
404,ACE
405,WINDMACHIN
406,GREENLAM
407,RAYMOND
408,TITAN
409,MMP
410,GNFC
411,DALBHARAT
412,AMDIND
413,JKCEMENT
414,BAJAJELEC
415,EMAMIPAP
416,GANGESSECU
417,ROSSARI
418,UGARSUGAR
419,BHARTIARTL
420,SAKAR
421,WELSPUNIND
422,RADAAN
423,KITEX
424,ARSSINFRA
425,KAYA
426,REPRO
427,SAFARI
428,ORIENTELEC
429,IOB
430,BHAGERIA
431,LT
432,MADHAV
433,NACLIND
434,KINGFA
435,MAYURUNIQ
436,ABFRL
437,REVATHI
438,HISARMETAL
439,BANKBARODA
440,HAL
441,GROBTEA
442,UPL
443,ORICONENT
444,RAJSREESUG
445,TIMKEN
446,NETFIT
447,GEOJITFSL
448,PNCINFRA
449,HSIL
450,SIGIND
451,CHALET
452,BHEL
453,GINNIFILA
454,RELAXO
455,ADANIPORTS
456,INDHOTEL
457,ICICITECH
458,BLUEDART
459,VIPIND
460,DENORA
461,SASKEN
462,GODREJPROP
463,JPPOWER
464,SBIETFIT
465,ALKALI
466,ULTRACEMCO
467,ESCORTS
468,KOTAKPSUBK
