,SYMBOL,tp,wp,mp,tmp,smp,yp,Value
669,LFIC,171.95,119.35,79.6,77.95,78.75,60.9,1.4407205697528278
535,INDTERRAIN,62.15,46.65,43.55,37.1,33.85,34.05,1.332261521972133
722,MANUGRAPH,17.6,13.9,12.2,14.6,11.65,10.0,1.2661870503597124
1171,TRIDENT,47.45,39.05,40.55,20.45,16.8,7.9,1.2151088348271448
1072,SPTL,12.1,10.0,5.5,3.95,4.0,2.4,1.21
576,JBMA,918.05,771.75,597.75,450.55,428.3,270.75,1.1895691609977324
269,DHUNINV,727.6,623.55,614.9,603.3,379.75,246.55,1.16686713174565
1019,SHALPAINTS,111.05,97.5,91.65,93.85,113.6,70.7,1.1389743589743588
828,NRBBEARING,152.75,134.25,137.75,123.9,117.0,83.7,1.13780260707635
301,ELECON,193.25,170.65,152.9,160.6,104.85,35.85,1.1324348080867273
841,ONWARDTEC,244.7,216.45,219.35,232.9,149.2,64.85,1.1305151305151304
312,ENERGYDEV,15.3,13.55,10.85,8.85,10.45,6.75,1.1291512915129152
857,PALREDTEC,149.95,133.8,124.3,107.45,140.7,36.95,1.1207025411061284
1243,VIVIDHA,0.95,0.85,0.8,0.75,1.05,0.4,1.1176470588235294
1044,SIRCA,490.6,442.45,397.9,309.0,363.55,245.95,1.10882585602893
1107,SUULD,327.2,295.1,219.0,530.65,351.4,103.5,1.1087766858691968
692,LYKALABS,122.5,110.75,98.1,72.95,69.85,20.75,1.1060948081264108
1070,SPICEJET,78.5,71.25,73.25,68.95,81.0,71.5,1.1017543859649124
771,MTNL,19.95,18.15,18.15,18.3,19.9,9.55,1.0991735537190084
321,ESCORTS,1802.75,1640.5,1463.3,1296.3,1137.9,1403.85,1.098902773544651
152,BHANDARI,3.9,3.55,3.5,2.9,2.6,1.2,1.0985915492957747
853,OSWALAGRO,22.9,20.85,16.5,14.85,13.85,9.35,1.0983213429256593
410,GREAVESCOT,145.15,133.3,132.55,132.45,130.4,83.9,1.0888972243060764
904,PRECAM,107.15,98.55,101.1,84.55,55.05,46.15,1.0872653475393201
180,BSOFT,456.75,420.55,414.65,412.8,321.2,197.6,1.0860777553204137
1183,TVTODAY,372.5,344.1,296.9,285.3,357.85,203.1,1.082534147050276
688,LUMAXIND,1461.8,1356.6,1355.85,1434.15,1643.95,1321.2,1.077546808196963
1219,VARROC,296.6,276.4,302.25,288.4,404.2,385.6,1.0730824891461652
930,RAJESHEXPO,713.9,668.85,635.5,594.45,518.5,450.4,1.0673544142931897
67,APOLLOHOSP,5419.5,5080.95,4028.4,4840.75,3183.6,2347.9,1.066631240220825
337,FINCABLES,586.35,550.95,456.8,454.95,453.55,308.8,1.0642526545058535
607,KABRAEXTRU,266.2,250.25,244.6,246.15,200.4,78.75,1.0637362637362637
1150,THERMAX,1730.85,1628.1,1352.25,1348.9,1462.4,893.4,1.0631103740556478
1211,UTISENSETF,674.72,637.48,635.59,586.39,529.32,469.4,1.0584175189809877
764,MOTOGENFIN,23.8,22.5,24.45,26.4,20.45,19.1,1.0577777777777777
813,NH,592.5,561.95,508.4,474.0,430.75,386.45,1.054364267283566
1156,TIMETECHNO,80.85,76.85,71.95,71.45,83.65,45.3,1.052049446974626
506,IDEA,10.6,10.1,10.25,6.25,8.55,9.8,1.0495049504950495
