,SYMBOL,tp,wp,mp,tmp,smp,yp,Value
1008,SETFNN50,452.77,453.53,457.8,410.74,383.77,311.53,283.31295887064726
410,GROBTEA,1109.5,1224.0,1176.05,1026.95,836.2,670.35,283.1343893486569
738,MFSL,949.9,964.65,981.0,1036.4,902.75,633.25,283.1203031301801
638,KOLTEPATIL,306.2,326.3,313.95,221.45,235.7,196.15,283.0865972487987
474,IBMFNIFTY,186.36,192.02,183.53,156.85,151.47,128.0,283.0761118895153
1167,TRIGYN,113.9,128.95,124.55,123.65,83.95,65.85,283.0628696963523
766,MUKTAARTS,43.2,48.0,43.2,36.25,35.15,27.25,283.04587155963304
798,NETFCONSUM,79.61,78.24,79.64,71.84,65.31,56.66,283.04521735658693
717,MANXT50,436.14,436.58,442.72,393.89,368.78,300.31,282.9610304926876
599,JUNIORBEES,457.67,458.82,463.27,413.03,386.52,315.69,282.89486374948376
493,ICICINXT50,44.52,44.55,45.23,40.23,37.88,30.68,282.8419147020683
908,PROZONINTU,26.95,27.1,28.3,26.5,19.4,17.95,282.74373749377423
72,ARIES,140.55,152.25,151.15,143.45,110.15,85.6,282.72971135536204
688,LYPSAGEMS,4.75,4.95,5.1,4.1,4.05,3.0,282.69979203802734
643,KOTAKNV20,97.48,96.79,102.04,92.08,81.45,66.04,282.63581327649786
1139,TEXINFRA,57.7,61.25,59.2,58.55,70.65,37.25,282.60823998563694
368,GICHSGFIN,157.6,164.95,155.4,139.1,128.9,106.95,282.6013117519873
661,LAURUSLABS,482.05,462.2,617.0,679.8,488.55,290.4,282.50677902802045
7,AARVI,58.1,57.6,61.75,53.05,52.7,39.0,282.38155083220875
631,KIRLOSENG,191.05,200.85,224.05,209.55,207.9,112.45,282.29829323023864
458,HINDPETRO,323.7,342.5,323.4,247.2,276.3,215.4,282.275495341562
1076,STCINDIA,98.6,100.7,109.65,101.75,87.95,62.1,282.0493392301152
23,ADVANIHOTR,76.45,79.6,80.95,72.5,58.45,49.2,282.0406415018746
173,BROOKS,107.5,115.4,132.2,114.35,96.1,60.4,282.0259010283335
1047,SMLISUZU,712.9,831.4,719.95,575.65,445.25,432.55,281.9942773288708
634,KKCL,1090.4,1196.9,1018.0,816.7,890.7,750.8,281.903438707643
584,JKTYRE,137.7,142.85,166.65,148.7,123.7,80.55,281.8775747203956
492,ICICINV20,95.48,95.16,99.93,90.51,80.28,64.96,281.86726338573544
132,BASF,2834.75,3007.5,3576.65,3543.0,2443.55,1587.25,281.6742253941909
414,GSFC,115.7,133.0,127.0,103.3,118.55,66.75,281.65127385392617
1114,TARMAT,61.6,62.9,66.15,68.35,53.05,40.1,281.5931252193538
321,EVERESTIND,411.25,419.55,460.15,427.45,370.65,259.3,281.5474675209998
1222,VESUVIUS,1225.35,1158.75,1181.0,1196.35,1046.65,967.95,281.4123194568181
804,NETFNV20,98.21,98.17,102.84,93.29,82.95,66.95,281.33833488752913
924,RAIN,202.9,217.4,243.1,206.65,173.95,116.85,281.3144259008756
544,IOC,129.35,133.3,133.8,103.5,104.3,86.45,281.29912474494085
373,GKWLIMITED,651.05,647.85,649.7,682.5,528.9,467.0,281.2981885751186
46,ALPHAGEO,337.7,360.35,431.5,342.15,235.75,187.45,281.25069389503466
142,BEPL,172.65,182.85,190.55,172.65,161.05,106.75,281.0936469048474
415,GSPL,309.2,316.35,325.15,374.25,271.8,205.7,281.0303558788458
307,ENDURANCE,1751.15,1916.45,1719.95,1592.9,1398.0,1162.8,280.8957846284004
966,RUCHIRA,79.15,84.0,85.9,80.85,67.1,49.6,280.8788119133455
762,MRPL,46.55,49.45,51.8,42.85,51.7,28.6,280.80932331817064
234,CROMPTON,451.3,459.4,465.65,446.95,388.45,307.85,280.7515780400328
803,NETFNIF100,186.2,187.78,192.47,171.79,157.96,128.05,280.7444708479878
1048,SMSLIFE,833.0,852.85,837.4,746.45,607.8,579.1,280.6981497395151
886,PNCINFRA,303.5,337.45,356.55,290.6,249.45,172.85,280.6791706880425
1039,SIS,495.6,469.95,486.5,430.2,415.0,386.0,280.59743923636154
520,INDIAMART,7625.4,7511.65,8681.7,7109.95,7674.85,4958.1,280.5319709797937
1234,VIPULLTD,25.15,27.65,28.75,28.85,32.2,14.75,280.5193519371127
590,JPPOWER,4.35,4.65,5.3,3.65,3.6,2.5,280.516311625076
213,CIGNITITEC,613.7,654.0,597.35,522.7,419.3,423.7,280.44928248009234
996,SCHAND,116.85,132.05,127.75,113.15,97.0,69.35,280.33069591293696
1091,SUNDRMFAST,799.0,825.15,904.2,756.05,727.25,499.55,280.32331173985676
626,KICL,1980.45,1996.4,2103.85,2060.05,1663.0,1336.9,280.2115319069713
672,LICNFNHGP,181.89,181.88,182.3,162.0,168.15,130.9,280.12279422874866
349,GALAXYSURF,2994.2,3037.4,3351.75,2987.1,3073.0,1924.75,280.0929144942577
1104,SUVENPHAR,508.3,519.1,525.2,554.2,520.8,347.7,280.0464447527449
1180,UBL,1628.0,1714.15,1672.15,1452.2,1279.45,1086.3,280.011141019742
722,MARUTI,8117.15,7453.45,7655.65,6850.9,6814.65,6987.75,279.8356766292525
1046,SMARTLINK,111.85,116.35,119.7,105.4,95.1,73.0,279.82256937517775
577,JINDRILL,134.5,142.65,155.3,126.55,107.7,81.55,279.43679609888596
1049,SMSPHARMA,132.15,137.2,147.4,169.1,153.2,83.9,279.3886549135181
