,SYMBOL
0,ESCORTS
1,FINPIPE
2,DIXON
3,ASAHIINDIA
4,IDEA
5,INDIGO
6,WELCORP
7,VARROC
8,ZEEL
9,CHALET
10,MARUTI
11,IRCON
12,BIOCON
13,TVSMOTOR
14,SUPRAJIT
15,RAJESHEXPO
16,FINCABLES
17,APOLLOHOSP
18,GLAXO
19,RBLBANK
20,IDFC
21,SPICEJET
22,METROPOLIS
23,BLUESTARCO
24,ASTRAZEN
25,INFIBEAM
26,APLAPOLLO
27,SFL
28,CRISIL
29,KEC
30,FRETAIL
31,IRB
32,FINEORG
33,SYNGENE
34,BANDHANBNK
35,PHOENIXLTD
36,JAMNAAUTO
37,KOTAKBANK
38,SIS
39,THYROCARE
40,PVR
41,DCBBANK
42,VAIBHAVGBL
43,POWERGRID
44,TIINDIA
45,SUNTECK
46,NH
47,VBL
48,YESBANK
49,PGHH
50,WHIRLPOOL
51,MCDOWELL-N
52,BATAINDIA
53,SANOFI
54,PRESTIGE
55,TCNSBRANDS
56,APLLTD
57,NESTLEIND
58,TRENT
59,HDFCLIFE
60,THERMAX
