,SYMBOL,tp,wp,mp,tmp,smp,yp,Value
441,HDFCMFGETF,43.61,43.66,42.25,42.02,43.2,4499.95,30.450178497951363
397,GOLDSHARE,42.6,42.7,41.35,41.1,43.0,4541.3,30.32104264242716
335,FINPIPE,219.8,223.9,221.85,165.35,156.65,621.6,29.850589093033037
1207,UTISXN50,50.81,51.26,51.7,44.74,42.75,333.7,29.83849407563365
1204,UTINEXT50,45.69,45.61,46.02,42.67,38.69,311.85,29.739209716678005
443,HDFCSENETF,642.07,644.99,662.91,604.87,534.2,4693.97,29.589639852860774
442,HDFCNIFETF,189.9,191.63,196.09,177.39,160.51,1360.98,29.46686457397328
1203,UTIBANKETF,38.22,39.34,39.72,35.3,34.39,290.53,28.992577845333916
270,DIXON,5388.45,5382.65,5721.3,4043.3,3944.85,10709.3,27.890598862167597
598,JUMPNET,7.75,7.45,7.95,8.25,6.6,21.65,27.13961738053128
317,ESCORTS,1802.85,1521.3,1486.4,1194.1,1158.65,1402.55,26.454552210006646
641,KOTAKGOLD,42.94,43.05,41.34,41.14,423.25,440.75,25.113264626765577
501,IDEA,9.95,9.85,10.0,5.95,8.55,10.4,24.66427313843942
664,LFIC,156.35,126.85,79.55,78.15,80.2,57.7,24.633538348179492
1236,VISHAL,89.9,98.45,101.45,111.45,45.7,121.7,24.475114687020913
548,IRCON,46.6,48.65,46.65,41.75,51.2,84.95,24.213944522978416
622,KEYFINSERV,90.9,102.0,78.95,77.65,65.8,101.2,24.203649692032762
63,APLAPOLLO,910.45,901.8,883.2,1606.1,1253.05,3247.45,24.068157986015635
533,INFIBEAM,42.75,43.8,47.7,42.45,41.25,84.75,23.895444206799635
819,NORBTEAEXP,7.25,7.1,7.05,7.3,6.0,9.35,23.74836494503325
979,SANCO,8.9,9.3,8.75,8.8,8.5,14.1,23.721376606423437
530,INDTERRAIN,60.3,50.15,44.75,38.05,35.5,32.35,23.275654438719396
747,MITTAL,10.25,10.1,10.9,9.5,10.05,15.05,23.23579267668736
1209,VAIBHAVGBL,576.8,548.1,718.0,737.8,842.65,2141.0,23.19443951982849
343,FRETAIL,48.5,49.8,55.15,44.65,45.95,79.25,23.121886184953972
542,INVENTURE,2.5,2.65,2.5,2.9,32.8,21.3,22.951695732524968
336,FLFL,52.8,53.95,64.25,48.5,53.65,90.45,22.53134104961697
138,BCP,3.9,3.95,3.95,3.65,3.5,4.75,22.450203452101732
157,BIOCON,366.95,346.6,344.4,357.35,382.5,420.25,22.441240847814782
1214,VARROC,314.75,284.85,297.55,274.3,419.35,357.95,22.32476499689333
93,ASTRAZEN,3098.75,3070.65,3082.45,3081.4,3773.85,4451.6,22.317119384235642
746,MIRZAINT,85.2,84.9,62.35,54.95,51.9,48.85,22.219579592184633
162,BLISSGVS,100.95,103.3,108.7,107.55,108.75,162.55,22.18368425794294
423,GULFOILLUB,599.6,597.6,587.8,572.0,705.4,784.9,22.086355673404768
716,MANUGRAPH,16.8,11.5,12.65,15.4,12.55,9.35,22.069186170917355
735,MCLEODRUSS,29.25,28.85,28.15,20.25,27.4,26.25,21.94636826602537
937,RBLBANK,203.35,211.6,190.2,162.75,207.7,212.65,21.88142275251365
848,OSWALAGRO,24.0,20.3,17.0,14.85,9.5,9.65,21.782227864278685
722,MARUTI,8117.15,7453.45,7655.65,6850.9,6814.65,6987.75,21.756836204530625
87,ASIANTILES,135.3,143.65,150.1,158.7,187.55,292.7,21.68003443543471
896,PPAP,247.1,247.95,251.05,244.55,204.3,266.75,21.64464029262188
972,SAGCEM,272.0,279.35,286.3,294.45,888.65,726.65,21.643400089413735
578,JINDWORLD,168.15,140.7,112.95,63.5,53.35,49.15,21.62577578034923
523,INDIGO,2251.15,2147.45,2016.55,1658.5,1692.5,1669.55,21.599772120979317
529,INDSWFTLAB,73.85,74.6,61.5,61.1,83.3,68.45,21.59484151449673
126,BANDHANBNK,305.45,306.85,315.8,278.15,299.65,353.9,21.583188807487318
375,GLAXO,1639.7,1598.55,1465.6,1562.75,1462.15,1525.7,21.551486625450124
1162,TOTAL,52.65,53.85,52.25,50.35,43.05,54.45,21.527676080749
119,BALAXI,555.0,560.7,566.4,533.95,616.6,695.1,21.41020987923402
62,APEX,290.6,293.15,287.1,252.85,251.25,286.1,21.4072094873511
412,GRSE,248.4,272.8,216.7,185.15,185.5,195.95,21.295212799746864
1188,UJJIVANSFB,19.5,20.85,22.85,19.7,29.8,40.4,21.280752820576613
175,BSLGOLDETF,4539.5,4466.2,4308.3,4316.85,4447.9,4600.0,21.193136686251197
1024,SHRADHA,50.95,54.9,54.55,47.0,45.7,60.0,21.123509362375724
617,KEERTI,18.55,20.35,19.5,18.0,22.45,26.85,21.00372819637076
524,INDLMETER,13.6,12.45,13.1,12.4,14.8,13.1,21.002160341453
723,MASFIN,729.85,761.1,789.1,739.0,878.9,1046.0,20.951178296275643
402,GRANULES,305.35,317.1,319.75,325.1,323.0,398.6,20.941568120800866
1005,SETFGOLD,4374.05,4375.8,4215.35,4205.6,4320.45,4501.85,20.918664482336823
64,APLLTD,760.0,769.3,794.1,738.65,956.45,993.2,20.915205758445182
188,CAREERP,144.45,151.5,150.8,143.75,132.9,166.8,20.91237906188061
500,IDBIGOLD,4517.6,4507.0,4374.0,4360.0,4409.15,4632.2,20.902938059829616
1269,YESBANK,12.85,13.25,13.6,11.15,13.35,14.55,20.890093419998987
1065,SPICEJET,77.4,73.2,74.35,67.0,76.25,70.65,20.880107641450653
918,QGOLDHALF,2117.95,2122.9,2049.75,2035.8,2094.0,2183.05,20.866563615930996
395,GOLDBEES,42.61,42.7,41.2,40.97,42.17,43.88,20.862897670379002
770,MUTHOOTCAP,387.8,390.9,401.15,389.75,379.75,440.25,20.86024589873324
1050,SNOWMAN,40.8,42.3,42.9,42.7,52.7,58.75,20.859684036685962
485,ICICIGOLD,43.67,43.77,42.09,42.02,43.09,44.71,20.848785609574303
639,KOTAKBANK,2024.45,2054.1,2035.35,1703.55,1757.65,1897.85,20.835855120247942
108,AXISGOLD,42.49,42.59,41.08,40.99,42.08,43.66,20.819421057324195
764,MTEDUCARE,7.95,8.15,8.85,7.65,7.45,9.4,20.81185416711206
878,PILANIINVS,1891.45,1964.6,1955.75,1816.7,1686.5,2032.35,20.805521044332444
1270,ZEEL,313.7,314.05,309.2,170.45,190.7,187.2,20.80398624221643
