,SYMBOL
353,ABFRL
354,LICHSGFIN
355,BANKINDIA
356,IDFC
357,BPCL
358,ZENSARTECH
359,SBICARD
360,KPRMILL
361,BOSCHLTD
362,HONAUT
363,BRIGADE
364,ACC
365,BATAINDIA
366,BDL
367,AARTIDRUGS
368,BLUEDART
369,RELAXO
370,CADILAHC
371,ASTERDM
372,MAHINDCIE
373,UBL
374,WELSPUNIND
375,BAJAJELEC
376,MGL
377,IPCALAB
378,HINDCOPPER
379,CONCOR
380,AMBUJACEM
381,LUPIN
382,ENDURANCE
383,IDFCFIRSTB
384,INDIGO
385,CESC
386,VENKEYS
387,UJJIVAN
388,GUJGASLTD
389,OBEROIRLTY
390,PRSMJOHNSN
391,ADVENZYMES
392,NLCINDIA
393,ZEEL
394,GUJALKALI
395,AMARAJABAT
396,FEDERALBNK
397,BANKBARODA
398,CHOLAFIN
399,DALBHARAT
400,JSL
401,RELIANCE
402,MHRIL
403,FDC
404,NOCIL
405,SHREECEM
406,ALKEM
407,DCBBANK
408,GSFC
409,UPL
410,LAXMIMACH
411,IOLCP
412,NCC
413,BAJAJCON
414,SOBHA
415,LAOPALA
416,BEL
417,SPARC
418,M&MFIN
419,TATAELXSI
420,NBCC
421,MRPL
422,METROPOLIS
423,NFL
424,TV18BRDCST
425,MANAPPURAM
426,WOCKPHARMA
427,DELTACORP
428,GODREJPROP
429,INTELLECT
430,LEMONTREE
431,CENTURYPLY
432,SHRIRAMCIT
433,IBULHSGFIN
434,IDBI
435,DEEPAKNTR
436,MUTHOOTFIN
437,HINDPETRO
438,AUROPHARMA
439,GODFRYPHLP
440,JUSTDIAL
441,UNIONBANK
442,PRESTIGE
443,GPPL
444,PHOENIXLTD
445,CHALET
446,MINDAIND
447,MAZDOCK
448,MASTEK
449,ALEMBICLTD
450,KARURVYSYA
451,GNFC
452,MINDACORP
453,VALIANTORG
454,TEAMLEASE
455,OIL
456,GRAPHITE
457,ASHOKLEY
458,MCX
459,GLENMARK
460,IBREALEST
461,INDIANB
462,DBL
463,SPANDANA
464,TRITURBINE
