,SYMBOL,tp,wp,mp,tmp,smp,yp,Value
256,DCMNVL,285.0,297.05,225.2,207.8,115.25,28.25,12.313471754542888
1023,SHAREINDIA,843.7,901.5,756.2,524.85,499.35,105.7,10.033619364230567
358,GANESHHOUC,215.1,215.75,202.05,114.2,66.55,30.7,9.068089885020331
1,21STCENMGM,61.5,59.25,49.35,30.5,15.0,9.7,8.624381477014051
1072,SPTL,12.1,10.0,5.5,3.95,4.0,2.4,8.451666666666666
1171,TRIDENT,47.45,39.05,40.55,20.45,16.8,7.9,8.391598244682145
692,LYKALABS,122.5,110.75,98.1,72.95,69.85,20.75,8.25843505596793
45,ALMONDZ,105.5,123.95,147.7,73.5,35.95,16.0,8.15918537140552
436,HBSL,33.5,37.55,37.5,39.1,18.15,5.4,7.989180845292696
301,ELECON,193.25,170.65,152.9,160.6,104.85,35.85,7.786848819669396
277,DNAMEDIA,2.3,2.55,2.3,1.75,1.85,0.4,7.651960784313724
402,GOODLUCK,268.8,301.55,322.5,263.45,100.6,45.8,7.593878467227405
400,GOLDIAM,845.95,904.8,955.8,686.2,434.35,156.05,7.241047004312653
364,GENESYS,262.9,259.4,253.8,129.45,105.7,52.75,7.0332339352690605
23,ADSL,109.95,118.5,83.05,59.5,71.4,25.1,6.632227453213841
398,GOKULAGRO,58.9,62.45,47.55,38.9,27.6,13.55,6.528714101612151
968,RSWM,411.5,461.5,350.05,317.5,241.75,93.0,6.491935171453564
669,LFIC,171.95,119.35,79.6,77.95,78.75,60.9,6.424377565734377
724,MARALOVER,76.4,80.8,74.7,74.6,39.8,17.15,6.423112747538761
987,SANGAMIND,250.75,273.2,239.4,135.5,97.15,56.5,6.40328905815981
857,PALREDTEC,149.95,133.8,124.3,107.45,140.7,36.95,6.385244871253736
652,KPITTECH,431.1,423.0,329.75,315.1,227.15,106.9,6.359243871599794
861,PARSVNATH,15.8,17.3,14.15,12.65,9.6,3.65,6.358669694827123
887,PITTIENG,197.55,208.75,167.35,149.15,90.15,46.95,6.334475150553123
894,POKARNA,600.2,635.7,539.4,468.0,337.1,141.4,6.3015697812428435
19,ADANIENT,1675.75,1749.55,1543.0,1437.8,1322.8,398.4,6.250051224337811
779,NAHARCAP,299.65,329.9,273.15,244.55,123.0,71.25,6.2109358736381886
27,AGARIND,359.7,395.45,326.35,293.65,227.3,85.85,6.201653606799868
576,JBMA,918.05,771.75,597.75,450.55,428.3,270.75,6.116178294278004
841,ONWARDTEC,244.7,216.45,219.35,232.9,149.2,64.85,6.0194069094955385
4,AAKASH,210.9,214.2,196.35,237.3,155.75,53.3,6.015544235773792
620,KDDL,618.95,596.9,484.9,359.8,285.2,173.8,5.874666943700503
1036,SHREYAS,249.45,283.6,345.5,251.65,117.05,59.2,5.815263459091941
1107,SUULD,327.2,295.1,219.0,530.65,351.4,103.5,5.764193269814667
249,DATAMATICS,300.75,327.5,316.15,278.3,146.95,77.5,5.750254717098333
1125,TATAELXSI,6029.8,6619.3,6032.3,4745.9,3561.45,1588.25,5.707033396937878
1026,SHIVAMILLS,98.2,108.2,102.2,79.05,57.0,25.8,5.674641165364573
409,GRAVITA,193.9,210.65,202.05,198.5,103.95,51.2,5.667257040164558
287,DVL,243.2,258.55,270.95,271.45,159.5,64.2,5.6263750125679
613,KANORICHEM,159.1,163.4,181.5,136.75,141.7,42.2,5.62041041265967
341,FLUOROCHEM,2019.95,2091.15,1844.4,1716.75,848.05,574.4,5.57775779794331
713,MANAKCOAT,19.75,20.45,19.8,12.15,14.95,5.5,5.554154009532983
607,KABRAEXTRU,266.2,250.25,244.6,246.15,200.4,78.75,5.532361164773266
467,HITECH,585.55,625.85,615.75,531.5,414.65,160.75,5.529174447412047
228,CONSOFINVT,137.05,145.35,154.2,116.0,59.65,37.4,5.496115763652597
583,JINDWORLD,166.25,159.9,139.75,61.35,52.95,51.0,5.489140570927965
510,IEX,769.45,812.7,764.6,430.7,356.45,217.7,5.487576595950015
1130,TATAPOWER,227.65,241.65,222.0,125.9,106.1,64.9,5.475219580694914
396,GOKEX,247.4,243.8,196.25,195.2,133.9,77.55,5.465603015530853
1129,TATAMTRDVR,268.8,282.25,250.8,134.7,147.05,78.15,5.463656892257342
152,BHANDARI,3.9,3.55,3.5,2.9,2.6,1.2,5.462877263581489
870,PERSISTENT,4102.35,4255.85,3871.9,3215.2,2515.0,1193.35,5.4611260335512615
651,KOTHARIPET,53.6,57.4,49.9,48.85,41.55,15.65,5.43286633379638
866,PDSMFL,1423.3,1469.0,1334.15,1211.35,773.25,419.65,5.4273478604697765
875,PGEL,493.8,521.75,470.25,323.2,412.35,144.55,5.412629017487899
751,MINDTREE,4754.05,4931.45,4534.3,3500.45,2207.35,1417.3,5.3667911684124885
280,DPABHUSHAN,274.15,272.85,222.25,206.05,140.45,88.4,5.339529676421646
1206,USHAMART,85.35,89.45,86.95,66.65,50.8,25.1,5.336161363889775
