,Unnamed: 0,SYMBOL
288,803,THERMAX
289,806,UCOBANK
290,808,KALPATPOWR
291,811,SCHNEIDER
292,813,KNRCON
293,816,ABBOTINDIA
294,817,VBL
295,819,NILKAMAL
296,822,ASTERDM
297,823,MFSL
298,824,KOTAKBANK
299,828,IDFCFIRSTB
300,830,GPPL
301,831,RAMCOCEM
302,833,FINEORG
303,840,SUNDARMFIN
304,842,ICICIPRULI
305,844,AJANTPHARM
306,846,GAEL
307,848,RECLTD
308,849,HINDZINC
309,853,HDFCBANK
310,860,SJVN
311,862,NESCO
312,863,APOLLOTYRE
313,864,MANAPPURAM
314,866,EDELWEISS
315,871,ITC
316,873,MARUTI
317,874,SHREECEM
318,877,SPICEJET
319,878,NFL
320,880,RITES
321,883,PRSMJOHNSN
322,890,LICHSGFIN
323,891,ATUL
324,892,TCS
325,896,IBULHSGFIN
326,899,NIACL
327,901,HONAUT
328,902,CASTROLIND
329,905,SBICARD
330,907,GLAXO
331,908,3MINDIA
332,909,MUTHOOTFIN
333,911,KRBL
334,914,PIIND
335,920,NMDC
336,921,KARURVYSYA
337,923,AXISBANK
338,924,TASTYBITE
339,926,HUDCO
340,927,SUMICHEM
341,929,MCX
342,935,GESHIP
343,939,LAURUSLABS
344,941,ICICIGI
345,947,NESTLEIND
346,948,SUVENPHAR
347,949,DCBBANK
348,952,DABUR
349,956,BANKINDIA
350,958,AMBER
351,959,PHILIPCARB
352,962,INDIAMART
353,965,SIS
354,967,DIXON
355,969,SYMPHONY
356,977,ALOKINDS
357,978,AIAENG
358,983,HDFCLIFE
359,984,MIDHANI
360,993,FINPIPE
361,999,EICHERMOT
362,1002,BAJAJ-AUTO
363,1003,MRF
364,1004,AVANTIFEED
365,1005,HEIDELBERG
366,1007,SANOFI
367,1010,EXIDEIND
368,1014,VAKRANGEE
369,1015,MOIL
370,1017,JYOTHYLAB
371,1020,SHARDACROP
372,1021,MHRIL
373,1022,WELCORP
374,1023,TATACOMM
375,1024,TORNTPHARM
376,1028,BRITANNIA
377,1029,CIPLA
378,1030,NAVINFLUOR
379,1034,BERGEPAINT
380,1038,L&TFH
381,1040,GODREJAGRO
382,1041,CUB
383,1043,HINDUNILVR
384,1044,ADVENZYMES
385,1046,YESBANK
386,1047,GILLETTE
387,1050,STARCEMENT
388,1051,PETRONET
389,1056,BPCL
390,1059,CSBBANK
391,1063,ABCAPITAL
392,1071,COROMANDEL
393,1072,POWERGRID
394,1079,ENGINERSIN
395,1081,JMFINANCIL
396,1085,WOCKPHARMA
397,1096,BAJAJCON
398,1098,DRREDDY
399,1105,MGL
400,1106,PGHL
401,1108,SUDARSCHEM
402,1109,COCHINSHIP
403,1111,CEATLTD
404,1112,HDFCAMC
405,1113,WHIRLPOOL
406,1114,ITI
407,1117,JUSTDIAL
408,1120,INFIBEAM
409,1121,DHANI
410,1122,CREDITACC
411,1123,COLPAL
412,1124,ZYDUSWELL
413,1125,IGL
414,1127,RBLBANK
415,1129,THYROCARE
416,1132,UJJIVAN
417,1134,IPCALAB
418,1135,GLENMARK
419,1138,FDC
420,1139,PFIZER
421,1140,RALLIS
422,1144,BANDHANBNK
423,1145,CADILAHC
424,1146,ALEMBICLTD
425,1148,KANSAINER
426,1149,JCHAC
427,1151,HEROMOTOCO
428,1156,SYNGENE
429,1164,BIOCON
430,1165,AMARAJABAT
431,1168,BHARATRAS
432,1170,BBTC
433,1171,APLLTD
434,1173,LUPIN
435,1174,BAYERCROP
436,1175,DHANUKA
437,1176,VARROC
438,1180,EPL
439,1182,NATCOPHARM
440,1186,GRANULES
441,1187,AARTIIND
442,1195,KSCL
443,1198,FRETAIL
444,1200,SEQUENT
445,1203,SPANDANA
446,1204,GICRE
447,1205,IOLCP
448,1206,ASTRAZEN
449,1207,REDINGTON
450,1210,AARTIDRUGS
451,1214,AUROPHARMA
452,1216,AEGISCHEM
453,1220,ALKYLAMINE
454,1222,UJJIVANSFB
455,1223,SOLARA
456,1224,IRCON
457,1228,STAR
458,1229,VALIANTORG
459,1239,APLAPOLLO
460,1240,KPRMILL
461,1245,VAIBHAVGBL
462,1247,CESC
463,1248,SRF
464,1250,IRCTC
