,SYMBOL
0,TRIDENT
1,KPITTECH
2,ADANIENT
3,TATAMTRDVR
4,FLUOROCHEM
5,TATAELXSI
6,TATAPOWER
7,IEX
8,CENTURYPLY
9,PERSISTENT
10,LTTS
11,MINDTREE
12,PRINCEPIPE
13,GRINDWELL
14,BSE
15,LUXIND
16,APOLLOHOSP
17,TATAMOTORS
18,MAXHEALTH
19,SFL
20,SUPRAJIT
21,SOLARINDS
22,TCIEXP
23,SOBHA
24,IBREALEST
25,KEI
26,LINDEINDIA
27,HIKAL
28,SCI
29,HINDCOPPER
30,SKFINDIA
31,ASAHIINDIA
32,POLYCAB
33,POWERINDIA
34,BSOFT
35,BALAMINES
36,CARBORUNIV
37,MINDAIND
38,RADICO
39,FINCABLES
40,JSLHISAR
41,JSL
42,TIINDIA
43,MINDACORP
44,CANBK
45,DEEPAKNTR
46,BEML
47,MPHASIS
48,BRIGADE
49,THERMAX
50,VEDL
