,SYMBOL,tp,wp,mp,tmp,smp,yp,Value
890,PSB,18.2,18.45,17.55,19.0,18.95,10.7,5.6427383814054295
934,ROSSARI,1336.75,1436.9,1438.4,1384.15,1213.05,780.75,5.639497830134256
847,PFC,135.15,137.2,139.9,130.8,108.85,95.7,5.638204975652006
995,SHARIABEES,439.9,439.4,448.23,415.0,368.2,314.36,5.636635893204316
741,MOTOGENFIN,23.7,24.7,24.05,24.5,20.2,15.3,5.634595028838792
611,KICL,1987.85,2050.8,2080.05,2167.35,1627.65,1267.15,5.632216077179448
970,SBILIFE,1163.35,1172.05,1209.05,1136.85,969.4,801.25,5.6300799467943365
917,RCF,77.5,78.55,80.7,82.2,79.55,43.9,5.629407964718274
347,GANECOS,497.45,500.05,497.35,558.55,570.3,266.65,5.623425510829079
658,LINCOLN,347.2,349.55,393.25,347.05,295.05,221.15,5.623333037602482
864,PNBGILTS,65.65,65.7,66.6,72.6,52.85,44.05,5.621791437253167
753,MURUDCERA,25.4,25.5,25.55,31.55,19.9,16.45,5.615733763133699
688,MALUPAPER,34.0,34.45,35.05,37.35,26.65,23.1,5.614947130196407
246,DBCORP,99.5,102.05,96.8,92.65,82.55,74.85,5.611494391970529
299,EMAMILTD,549.3,520.65,569.95,561.85,485.45,370.95,5.60877920701584
475,ICICILOVOL,141.25,141.69,144.32,132.31,119.34,102.32,5.6072571662500765
181,CANFINHOME,636.75,656.45,671.15,566.25,524.3,471.95,5.606904079033718
558,JBCHEPHARM,1675.7,1685.15,1886.2,1801.55,1455.2,1020.75,5.606097251164278
542,ITDCEM,80.35,82.25,78.15,84.35,71.2,52.9,5.605044057158929
684,MAHLOG,637.0,668.95,731.35,703.4,536.65,378.45,5.599006731441712
541,ITDC,373.5,391.9,421.7,390.25,334.05,221.7,5.598633937725536
372,GMMPFAUDLR,4745.55,4869.95,4402.3,4711.1,4062.9,3463.45,5.597939115755104
677,MADRASFERT,28.3,29.2,30.5,30.9,27.9,16.0,5.5959914573915155
1120,THERMAX,1341.95,1323.4,1342.25,1386.5,1519.25,775.35,5.595726585290032
1241,WSTCSTPAPR,249.9,265.1,265.9,260.65,208.55,160.9,5.592659493038447
894,PTL,49.0,49.25,46.95,52.0,37.95,37.15,5.5910447372592795
1158,UCOBANK,14.35,14.75,13.65,13.3,11.35,11.75,5.588704551996728
817,ORBTEXP,78.85,83.45,76.0,85.35,58.65,58.95,5.588210414090722
592,KALPATPOWR,409.75,437.5,404.85,471.5,354.0,254.6,5.584582821247541
1057,SUBROS,360.55,380.0,332.95,338.15,302.6,279.4,5.579904658778201
149,BHAGYAPROP,31.1,31.35,29.65,30.95,26.8,22.75,5.573256651807675
974,SCHNEIDER,110.4,108.35,114.95,132.55,93.2,70.3,5.567192860821175
28,AHLEAST,183.4,186.4,186.35,188.05,149.5,131.8,5.561605815701952
621,KNRCON,284.65,282.5,289.9,277.6,199.9,253.9,5.559969834557743
497,IFGLEXPOR,302.2,295.5,317.7,417.65,379.65,146.5,5.55625258633465
1050,STARPAPER,142.4,143.9,152.8,161.7,125.1,88.2,5.554958273802923
10,ABBOTINDIA,19956.95,20205.2,22031.25,18029.65,15422.75,15897.8,5.54977911822262
1193,VBL,921.45,824.3,910.2,792.75,993.4,694.3,5.547299785187876
1085,TAJGVK,144.95,147.85,144.8,130.35,109.55,128.25,5.54678211841416
794,NILKAMAL,2375.0,2482.8,2753.2,2966.25,2037.35,1349.95,5.544942516023564
503,IMPAL,759.45,771.1,754.85,800.8,653.25,527.15,5.542593067164421
358,GET&D,129.0,129.3,127.4,136.95,122.6,83.9,5.541935280651954
93,ASTERDM,184.05,187.35,211.85,163.9,152.35,135.55,5.53997686718043
722,MFSL,989.65,975.9,1012.75,1108.5,931.45,621.15,5.539801088058067
624,KOTAKBANK,2076.5,2210.95,1993.55,1749.95,1788.25,1718.05,5.537232365948009
