,SYMBOL
343,SANOFI
344,BBTC
345,SUNTV
346,GRINDWELL
347,UNITEDTEA
348,GICHSGFIN
349,INOXWIND
350,NECCLTD
351,SETFNN50
352,SHARIABEES
353,HINDZINC
354,IMPAL
355,M&M
356,OCCL
357,ACCELYA
358,NETFNV20
359,MUTHOOTCAP
360,PANAMAPET
361,TEXINFRA
362,SURANAT&P
363,GUFICBIO
364,EPL
365,HINDALCO
366,ITC
367,SCHAEFFLER
368,KSCL
369,COLPAL
370,TNPL
371,SHALBY
372,PAGEIND
373,ICICINV20
374,IRCON
375,MOTHERSUMI
376,HDFCSENETF
377,KNRCON
378,PDSMFL
379,ABSLNN50ET
380,TALBROAUTO
381,BHARATRAS
382,HCG
383,DOLLAR
384,GILLETTE
385,3MINDIA
386,MOIL
387,PIONDIST
388,PAISALO
389,SWSOLAR
390,STLTECH
391,JAMNAAUTO
392,BHAGYANGR
393,KKCL
394,JASH
395,SANGHIIND
396,DBCORP
397,JMCPROJECT
398,ICICILOVOL
399,NMDC
400,SCHNEIDER
401,DCMSHRIRAM
402,PHILIPCARB
403,KHAICHEM
404,ITDC
405,VIDHIING
406,CARBORUNIV
407,INDUSINDBK
408,MALUPAPER
409,MAHEPC
410,MPSLTD
411,PODDARHOUS
412,UTINEXT50
413,PIDILITIND
414,HDFCNIFETF
415,WINDMACHIN
416,SUNDRMFAST
417,APCOTEXIND
418,BRNL
419,ICICINF100
420,SRTRANSFIN
421,FLUOROCHEM
422,ELGIEQUIP
423,GLAXO
424,ZENTEC
425,AMRUTANJAN
426,MANAKCOAT
427,FORTIS
428,INDOSTAR
429,TNPETRO
430,RAIN
431,DSSL
432,AXISNIFTY
433,SWANENERGY
434,MAESGETF
435,KELLTONTEC
436,BALRAMCHIN
437,ASTRAL
438,AJANTPHARM
439,BALAMINES
440,HDFC
441,RITES
442,SIEMENS
443,SONATSOFTW
444,KOTAKNIFTY
445,JUNIORBEES
446,TVSMOTOR
447,NIFTYBEES
448,RUPA
449,BLISSGVS
450,MINDTREE
451,CPSEETF
452,MRF
453,HDFCLIFE
454,PERSISTENT
455,VADILALIND
456,SETFNIF50
457,MCLEODRUSS
458,ICICISENSX
459,ICICINIFTY
460,HONDAPOWER
461,VSSL
462,ICICIALPLV
463,BSLNIFTY
464,NATIONALUM
465,APEX
466,NETFNIF100
467,PILITA
468,ICICINXT50
469,LINDEINDIA
470,NETFDIVOPP
471,MTEDUCARE
472,IVZINNIFTY
473,ASIANHOTNR
474,CCL
475,GANGESSECU
476,KIRLOSIND
477,IIFLWAM
478,MANXT50
479,QNIFTY
480,SMSLIFE
481,PNBGILTS
482,TIMKEN
483,SOUTHBANK
484,ICEMAKE
485,SHARDACROP
486,FMGOETZE
487,TATAMOTORS
488,YESBANK
489,UTINIFTETF
490,PSPPROJECT
491,TRENT
492,KOKUYOCMLN
493,SHREERAMA
494,ASHOKA
495,OMAXE
496,ICIL
497,APTECHT
498,ASTEC
499,ICICI500
500,DMART
501,IDFNIFTYET
502,FRETAIL
503,BANKBEES
504,LAURUSLABS
