,SYMBOL
628,PFOCUS
332,HIKAL
183,DABUR
208,DRREDDY
852,TRIL
869,UNIENTER
445,KANORICHEM
861,TVTODAY
555,MTEDUCARE
145,CCL
530,MCDOWELL-N
914,WELSPUNIND
401,IVP
731,SELAN
385,INOXLEISUR
309,GUFICBIO
789,SUNTV
123,BLISSGVS
596,NRBBEARING
154,CEREBRAINT
699,RML
306,GSPL
509,MAITHANALL
863,UCALFUEL
774,STARPAPER
36,AMRUTANJAN
899,VLSFINANCE
601,OFSS
840,TINPLATE
299,GREAVESCOT
346,HONAUT
41,APLLTD
293,GPIL
630,PGHH
782,SUNDARAM
147,CELEBRITY
452,KEC
104,BEDMUTHA
232,ESSARSHPNG
205,DONEAR
830,TEXRAIL
719,SANDESH
64,ASTRAMICRO
437,JUNIORBEES
159,CHOLAFIN
26,ALICON
912,WELENT
7,ABBOTINDIA
399,ITI
337,HINDCOPPER
458,KIRLOSIND
100,BATAINDIA
817,TATAMETALI
854,TRIVENI
371,INDIANCARD
786,SUNFLAG
533,MEGASOFT
28,ALKYLAMINE
576,NCLIND
366,INDBANK
341,HINDZINC
475,KRBL
769,SREEL
837,TIIL
114,BHARATRAS
106,BEML
82,BAJAJHIND
583,NEULANDLAB
568,NATHBIOGEN
300,GREENLAM
190,DCMSHRIRAM
886,VENUSREM
700,ROSSELLIND
425,JKPAPER
130,BPCL
627,PFIZER
331,HFCL
367,INDHOTEL
829,TEXMOPIPES
924,XPROINDIA
195,DEN
570,NAUKRI
456,KIRIINDUS
824,TCIDEVELOP
166,COLPAL
15,ADSL
842,TITAN
140,CAPLIPOINT
484,LGBBROSLTD
508,MAHSEAMLES
673,RAMCOCEM
705,RSYSTEMS
327,HERCULES
271,GILLETTE
496,LYKALABS
163,CIPLA
925,YESBANK
595,NOIDATOLL
635,PILITA
584,NEXTMEDIA
488,LIQUIDBEES
703,RSSOFTWARE
444,KANANIIND
172,COUNCODOS
365,IMPAL
88,BALMLAWRIE
490,LOVABLE
477,KSL
680,RATNAMANI
329,HEROMOTOCO
474,KPRMILL
887,VESUVIUS
747,SHYAMCENT
213,EDELWEISS
46,ARCHIES
514,MANAKSTEEL
312,GULFOILLUB
455,KILITCH
83,BAJAJHLDNG
285,GODREJCP
29,ALLCARGO
784,SUNDRMBRAK
412,JBCHEPHARM
541,MMTC
510,MALUPAPER
559,MUNJALSHOW
153,CERA
414,JBMA
201,DICIND
179,CYBERMEDIA
192,DEEPAKFERT
931,ZYDUSWELL
836,TIDEWATER
308,GTL
310,GUJALKALI
671,RAMANEWS
462,KNRCON
161,CINELINE
34,AMBIKCO
42,APOLLOHOSP
590,NILKAMAL
226,EMMBI
353,ICIL
557,MUKTAARTS
224,EMAMILTD
200,DHUNINV
61,ASIANTILES
813,TATACOFFEE
404,JAGRAN
608,ONWARDTEC
653,PRESTIGE
360,IFBIND
629,PGEL
649,PRAKASH
567,NATCOPHARM
757,SMSPHARMA
903,VRLLOG
527,MAWANASUG
801,SWARAJENG
103,BBTC
792,SUPRAJIT
245,FILATEX
439,JYOTHYLAB
250,FMNL
600,OBEROIRLTY
436,JUBLFOOD
417,JINDALSAW
6,ABB
448,KAUSHALYA
21,AJANTPHARM
468,KOTAKGOLD
350,IBREALEST
152,CENTURYTEX
253,FSL
760,SOLARINDS
291,GOLDSHARE
633,PIDILITIND
410,JAYBARMARU
330,HESTERBIO
762,SOTL
2,A2ZINFRA
519,MANINDS
216,EIHAHOTELS
134,BSLGOLDETF
640,PNBGILTS
808,TALBROAUTO
392,IOLCP
572,NAVKARCORP
143,CARERATING
30,ALLSEC
393,IPCALAB
89,BALPHARMA
101,BAYERCROP
119,BIOCON
495,LUPIN
695,REVATHI
828,TEXINFRA
750,SIMPLEXINF
663,QGOLDHALF
73,AUTOIND
289,GOLDBEES
78,AXISGOLD
421,JISLJALEQS
131,BRIGADE
324,HDFCMFGETF
702,RPPINFRA
164,CLNINDIA
191,DECCANCE
108,BERGEPAINT
660,PURVA
294,GPPL
53,ASAL
342,HIRECT
286,GODREJIND
575,NCC
411,JAYSREETEA
682,RBL
38,APARINDS
605,ONELIFECAP
513,MANAKSIA
359,IFBAGRO
612,ORIENTBELL
880,VARDHACRLC
84,BAJFINANCE
227,ENERGYDEV
916,WHEELS
696,RICOAUTO
430,JOCIL
832,TGBHOTELS
850,TRIDENT
356,IDBIGOLD
529,MBLINFRA
59,ASIANHOTNR
229,ENIL
885,VENKEYS
274,GKWLIMITED
167,COMPUSOFT
170,CORDSCABLE
780,SUMMITSEC
678,RANEENGINE
37,ANDHRSUGAR
641,PNCINFRA
637,PIONEEREMB
272,GINNIFILA
838,TIMETECHNO
571,NAVINFLUOR
340,HINDUNILVR
188,DBSTOCKBRO
372,INDIANHUME
351,IBULHSGFIN
375,INDORAMA
536,MINDACORP
805,TAINWALCHM
908,WABAG
315,HATHWAY
531,MCLEODRUSS
577,NDL
16,ADVANIHOTR
264,GENESYS
133,BSL
217,EIHOTEL
773,STAR
296,GRAPHITE
526,MASTEK
369,INDIAGLYCO
230,ESABINDIA
111,BGRENERGY
788,SUNTECK
487,LINDEINDIA
523,MARICO
709,RUPA
732,SEPOWER
142,CAREERP
816,TATAINVEST
92,BANARISUG
319,HCC
157,CHAMBLFERT
184,DALMIASUG
807,TAKE
704,RSWM
19,AHLUCONT
795,SURYALAXMI
80,BAJAJELEC
328,HERITGFOOD
459,KITEX
