,SYMBOL
0,GNFC
1,KPITTECH
2,TATAELXSI
3,LINDEINDIA
4,TV18BRDCST
5,ADANIENT
6,TATAPOWER
7,JKPAPER
8,POLYPLEX
9,BALRAMCHIN
10,INTELLECT
11,POWERINDIA
12,PERSISTENT
13,SUPPETRO
14,INGERRAND
15,CENTURYPLY
16,MINDACORP
17,HINDALCO
18,GUJALKALI
19,NATIONALUM
20,SHARDACROP
21,VEDL
22,GAEL
23,ADANIGREEN
24,NETWORK18
25,KEI
26,JINDALSTEL
27,TRITURBINE
28,DCMSHRIRAM
29,JSLHISAR
30,BDL
31,SOLARINDS
32,DELTACORP
33,VIPIND
34,GRINDWELL
35,GREAVESCOT
36,THERMAX
37,MINDTREE
38,TRENT
39,LEMONTREE
40,MINDAIND
41,CHOLAFIN
42,CHALET
43,INDHOTEL
44,IRB
45,MASTEK
46,IIFL
47,TATASTEEL
48,ECLERX
49,SFL
50,CGCL
51,ONGC
52,GSFC
53,JSL
54,BRIGADE
55,OIL
56,JSWSTEEL
57,TANLA
58,BALAMINES
59,NH
60,INOXLEISUR
61,CUMMINSIND
62,TCNSBRANDS
63,TATACHEM
64,POLYCAB
65,BANKBARODA
66,ABFRL
67,EIHOTEL
68,KSB
69,LAXMIMACH
70,CHAMBLFERT
71,TATAMTRDVR
72,DEEPAKNTR
73,MPHASIS
74,CANBK
75,HIKAL
76,CREDITACC
77,TIMKEN
78,PRINCEPIPE
79,TIINDIA
80,CENTURYTEX
81,PVR
82,UPL
83,UTIAMC
84,IDFC
85,CONCOR
86,BSOFT
87,FINEORG
88,GRAPHITE
89,CRISIL
90,TATAMOTORS
91,IIFLWAM
92,LTTS
93,ATUL
94,SUNDRMFAST
95,TITAN
96,APOLLOHOSP
97,SUVENPHAR
98,BAJAJFINSV
99,MAXHEALTH
100,UFLEX
101,RATNAMANI
102,FORTIS
103,LAURUSLABS
104,SKFINDIA
105,SUNPHARMA
106,ELGIEQUIP
107,TCIEXP
108,CYIENT
109,SBIN
110,BLUEDART
111,INDIANB
112,AMBER
113,RCF
114,HINDCOPPER
115,VMART
116,FEDERALBNK
117,BASF
118,NMDC
119,FACT
120,LAOPALA
121,COALINDIA
122,PRESTIGE
123,OBEROIRLTY
124,SONATSOFTW
125,TATACOFFEE
126,SPARC
127,RELIANCE
128,ITC
129,MOTILALOFS
130,JAMNAAUTO
131,PAGEIND
132,BEML
133,INFY
134,AUBANK
135,ZEEL
136,NAVINFLUOR
137,HAL
138,POLYMED
139,BAJAJHLDNG
140,PHOENIXLTD
141,VINATIORGA
142,SAIL
143,TECHM
144,GRASIM
145,MHRIL
146,BEL
147,CCL
148,ADANIPORTS
149,INDIACEM
150,GESHIP
151,MMTC
152,ESCORTS
153,LTI
154,ABB
155,RADICO
156,MCDOWELL-N
157,SUMICHEM
158,RAJESHEXPO
159,IDBI
160,SIS
161,PIDILITIND
162,NTPC
163,VOLTAS
164,CARBORUNIV
165,BATAINDIA
166,SUPRAJIT
167,BAJFINANCE
168,CIPLA
169,RAIN
170,CERA
171,NLCINDIA
172,BHARATRAS
173,EIDPARRY
174,MOIL
175,TORNTPOWER
176,IOB
177,EQUITAS
178,BHARTIARTL
179,SIEMENS
180,ASAHIINDIA
181,BLUESTARCO
182,WELCORP
183,GALAXYSURF
184,PGHH
185,RVNL
186,VENKEYS
187,ALOKINDS
188,SCHNEIDER
189,VBL
190,ALKEM
191,SHRIRAMCIT
192,ORIENTELEC
193,SYMPHONY
194,CANFINHOME
195,KPRMILL
196,JBCHEPHARM
197,COFORGE
198,WIPRO
199,SCI
200,TEAMLEASE
201,DLF
202,ZENSARTECH
203,IOC
204,TVSMOTOR
205,POWERGRID
206,GAIL
207,LT
208,TCS
209,WABCOINDIA
210,NFL
211,INDIGO
212,DIVISLAB
213,NOCIL
214,L&TFH
