,SYMBOL
0,EICHERMOT
1,IOC
2,INDUSINDBK
3,COALINDIA
4,HEROMOTOCO
5,NTPC
6,BPCL
7,BRITANNIA
8,ONGC
9,HDFCBANK
10,MARUTI
11,ITC
12,BAJAJ-AUTO
13,POWERGRID
14,UPL
15,M&M
16,TATAMOTORS
17,AXISBANK
18,BHARTIARTL
19,TCS
20,SHREECEM
21,HCLTECH
22,SUNPHARMA
23,CIPLA
24,HDFC
25,GRASIM
26,LT
27,SBIN
28,TATASTEEL
29,HINDUNILVR
30,HDFCLIFE
31,ULTRACEMCO
32,SBILIFE
33,HINDALCO
34,INFY
35,KOTAKBANK
36,ADANIPORTS
37,DRREDDY
38,WIPRO
39,NESTLEIND
40,JSWSTEEL
41,ICICIBANK
42,RELIANCE
43,ASIANPAINT
44,TITAN
45,TECHM
46,BAJAJFINSV
47,DIVISLAB
48,BAJFINANCE
