,SYMBOL
0,TITAN
1,BHARTIARTL
2,DIVISLAB
3,SBIN
4,MARUTI
5,RELIANCE
6,HINDUNILVR
7,INFY
8,ONGC
9,HINDALCO
10,ICICIBANK
11,SUNPHARMA
12,TATASTEEL
13,WIPRO
14,ULTRACEMCO
15,TCS
16,AXISBANK
17,LT
18,TECHM
19,BPCL
20,NESTLEIND
21,JSWSTEEL
22,BRITANNIA
23,ADANIPORTS
24,TATAMOTORS
25,BAJAJ-AUTO
26,NTPC
27,CIPLA
28,HDFCBANK
29,DRREDDY
30,GRASIM
31,ASIANPAINT
32,ITC
33,HCLTECH
34,BAJAJFINSV
35,KOTAKBANK
36,HEROMOTOCO
37,HDFC
38,INDUSINDBK
39,UPL
40,SHREECEM
41,EICHERMOT
42,COALINDIA
43,IOC
44,BAJFINANCE
45,POWERGRID
46,M&M
