,SYMBOL
0,TATAMOTORS
1,TATASTEEL
2,EICHERMOT
3,ICICIBANK
4,BHARTIARTL
5,SBIN
6,HDFC
7,JSWSTEEL
8,RELIANCE
9,SBILIFE
10,HINDALCO
11,CIPLA
12,SUNPHARMA
13,DIVISLAB
14,BAJAJFINSV
15,AXISBANK
16,MARUTI
17,INDUSINDBK
18,BAJAJ-AUTO
19,SHREECEM
20,TECHM
21,NESTLEIND
22,DRREDDY
23,COALINDIA
24,BAJFINANCE
25,BPCL
26,HDFCLIFE
27,HDFCBANK
28,TCS
29,BRITANNIA
30,WIPRO
31,KOTAKBANK
32,GRASIM
33,NTPC
34,ASIANPAINT
35,ONGC
36,M&M
37,HINDUNILVR
38,UPL
39,POWERGRID
40,TITAN
41,ULTRACEMCO
42,ITC
43,INFY
44,HEROMOTOCO
45,ADANIPORTS
46,LT
47,IOC
48,HCLTECH
