,SYMBOL,tp,wp,mp,tmp,smp,yp,Value
110,BALKRISIND,990.55,2116.5,2059.1,776.25,2533.65,1690.8,1.2760708534621577
239,DHANUKA,405.55,761.7,720.95,319.2,816.9,714.3,1.2705200501253133
262,EICHERMOT,22515.25,2555.2,2357.9,17765.2,2790.2,2340.0,1.2673794834845653
1080,WATERBASE,134.6,93.65,92.4,106.35,113.85,106.4,1.2656323460272685
750,PFIZER,4224.7,4485.75,4344.75,3351.05,5581.1,5492.35,1.2607093299115202
485,IPCALAB,1136.25,1027.65,1000.1,903.0,2411.35,2155.7,1.2583056478405317
1090,WHIRLPOOL,2373.5,1661.6,1580.95,1887.45,2284.95,2149.5,1.2575167554107394
634,MASFIN,867.45,618.8,573.45,690.05,780.0,764.95,1.257082820085501
623,MANAPPURAM,177.4,122.6,116.75,141.2,169.15,141.8,1.256373937677054
996,TIINDIA,481.6,1669.8,1530.5,384.1,1396.85,1098.85,1.2538401457953658
645,MFSL,534.45,801.2,780.9,426.8,1014.3,848.4,1.2522258669165887
680,NAUKRI,2530.05,4850.15,4474.5,2021.15,6431.4,4777.0,1.2517873487865818
466,INDOCO,191.55,398.1,385.45,153.15,449.25,320.25,1.2507345739471107
778,PRAKASHSTL,0.25,6.8,5.45,0.2,2.05,0.75,1.25
521,JPINFRATEC,1.5,3.25,3.2,1.2,1.9,1.5,1.25
337,GMMPFAUDLR,1871.55,4824.95,4358.85,1497.35,4418.7,4090.2,1.2499081711022808
628,MANINFRA,25.35,113.2,102.8,20.3,109.9,35.9,1.248768472906404
926,SRF,3436.1,2747.6,2469.2,2751.95,11279.1,6150.5,1.2486055342575266
233,DEEPAKNTR,373.1,2361.8,2222.85,298.85,2406.55,1559.85,1.2484524008700018
941,SUNDRMBRAK,313.1,370.2,352.95,251.3,398.65,317.65,1.2459212097095105
657,MONTECARLO,298.5,546.25,500.1,239.6,358.95,221.85,1.2458263772954925
602,LUMAXTECH,102.4,178.05,171.2,82.25,140.05,146.7,1.244984802431611
499,JAMNAAUTO,46.6,107.6,103.7,37.45,89.35,66.45,1.2443257676902537
919,SPARC,156.2,291.85,266.8,125.65,295.85,165.5,1.243135694389176
425,ICICIBANK,538.9,754.3,708.0,433.7,700.85,559.1,1.2425639843209593
141,BHARTIARTL,455.8,762.1,712.0,367.05,688.3,530.2,1.2417926712981882
693,NELCAST,51.9,71.95,66.45,41.8,87.3,63.1,1.2416267942583732
8,AAVAS,1981.1,2531.75,2443.25,1596.1,2560.0,2244.7,1.2412129565816679
702,NIACL,135.45,121.45,124.75,109.35,163.2,148.6,1.2386831275720165
338,GMRINFRA,21.0,40.5,38.5,17.0,38.35,23.05,1.2352941176470589
648,MIDHANI,156.4,201.75,170.3,126.65,187.8,177.9,1.2348993288590604
170,CANTABIL,281.65,998.1,799.85,228.25,617.0,370.2,1.2339539978094194
9,ABBOTINDIA,13075.5,17999.0,17322.4,10596.55,20517.8,14839.9,1.2339393481840788
38,ALKYLAMINE,1085.0,3309.45,2903.5,879.9,3825.55,5739.35,1.2330946698488465
859,SBIN,333.75,516.1,492.75,270.8,453.0,329.5,1.2324593796159526
175,CARERATING,638.95,543.05,511.5,518.5,667.05,477.5,1.2323047251687562
45,AMBER,1117.15,3611.75,3617.25,908.15,3263.7,3178.95,1.2301381930297859
453,IGL,428.15,383.3,390.55,349.7,533.1,504.2,1.2243351444094939
422,IBULHSGFIN,313.2,172.4,156.9,255.9,231.65,165.1,1.223915592028136
263,EIDPARRY,201.55,480.05,426.75,164.75,420.7,314.1,1.2233687405159333
398,HGINFRA,259.3,631.7,587.6,212.2,647.1,265.7,1.2219604147031105
546,KECL,10.8,27.7,24.95,8.85,16.85,13.05,1.2203389830508475
385,HDFC,2412.55,2458.25,2292.1,1977.05,2754.3,2415.9,1.2202776864520373
827,RKFORGE,380.9,187.75,184.5,312.2,1082.55,510.4,1.2200512491992312
49,AMRUTANJAN,440.3,881.5,830.6,360.9,835.2,620.85,1.2200055417013025
966,TATAELXSI,825.95,8685.2,7213.4,677.25,5594.05,2999.9,1.2195644149132523
91,AUBANK,803.1,1389.0,1178.85,659.5,1164.25,1041.3,1.2177407126611068
815,RELAXO,615.75,1169.75,1150.05,506.35,1141.05,891.0,1.2160560876863828
641,MCX,1168.05,1467.85,1412.8,960.9,1658.65,1460.95,1.2155791445519826
528,JUBLFOOD,1652.3,2791.85,2563.45,1359.4,4040.9,2830.15,1.2154627041341768
168,CANBK,221.35,248.35,224.4,182.4,173.0,128.05,1.2135416666666665
290,FDC,211.75,281.95,260.75,174.65,349.4,316.8,1.2124248496993988
10,ABCAPITAL,102.7,113.55,108.55,84.85,112.75,117.3,1.2103712433706542
299,FMGOETZE,658.6,278.2,265.25,544.3,283.6,295.35,1.2099944883336398
283,EVEREADY,54.75,334.15,342.2,45.3,394.4,270.4,1.2086092715231789
828,RML,333.5,373.95,361.65,276.0,393.3,334.6,1.2083333333333333
607,MADHAV,30.5,54.75,51.6,25.25,55.7,45.3,1.2079207920792079
501,JAYBARMARU,235.15,164.15,153.05,194.85,208.8,200.65,1.2068257634077497
863,SEAMECLTD,466.0,1365.7,1100.95,386.35,1179.7,408.6,1.2061602174194384
632,MARKSANS,16.7,58.9,48.8,13.85,69.0,58.35,1.2057761732851986
108,BALAMINES,399.3,3403.9,3081.25,331.85,4517.4,1848.65,1.2032544824468887
482,IOB,11.3,19.35,17.95,9.4,22.75,16.15,1.202127659574468
240,DHUNINV,237.3,729.7,632.6,197.5,621.85,273.1,1.2015189873417722
