,SYMBOL,tp,wp,mp,tmp,smp,yp,Value
816,SWANENERGY,154.15,268.85,179.85,61.05,132.6,128.55,2.5249795249795253
469,KMSUGAR,29.4,38.65,32.5,12.9,27.25,11.85,2.27906976744186
107,BEARDSELL,398.95,18.35,17.65,215.0,14.25,10.1,1.8555813953488371
794,STARPAPER,175.4,170.1,158.05,97.15,150.6,109.8,1.8054554812146166
653,PNBGILTS,45.7,64.05,62.8,25.55,69.75,50.05,1.7886497064579256
795,STCINDIA,208.85,107.75,101.75,124.55,113.6,75.15,1.6768366118024889
406,ITI,44.95,104.55,102.65,27.15,125.75,103.85,1.6556169429097607
191,DATAMATICS,128.5,316.1,276.75,77.7,348.15,111.35,1.6537966537966537
413,JAYAGROGN,509.2,251.05,226.15,308.35,252.25,132.1,1.6513701962056104
823,TANLA,56.3,1611.7,1465.95,34.15,951.45,878.7,1.6486090775988287
96,BANG,32.95,43.15,33.7,20.6,36.55,27.1,1.5995145631067962
863,TOKYOPLAST,95.95,114.1,107.4,61.05,102.3,70.7,1.5716625716625718
530,MASTEK,172.4,3185.05,3062.45,111.35,3315.8,1380.6,1.5482712168837003
714,RSSOFTWARE,112.25,37.3,35.45,73.3,35.6,25.2,1.5313778990450204
437,JSL,37.65,203.45,187.65,24.65,185.45,75.85,1.5273833671399595
66,ASTEC,618.55,1810.35,1667.45,411.65,1291.35,1030.35,1.5026114417587757
725,SAKSOFT,297.6,944.2,931.35,198.9,1047.1,480.15,1.4962292609351433
761,SHREYANIND,97.8,135.85,115.15,65.4,129.35,81.35,1.4954128440366972
34,ALLSEC,370.85,549.95,558.45,249.45,483.05,314.9,1.4866706754860695
312,GUFICBIO,53.2,253.4,235.85,35.95,194.25,126.05,1.4798331015299027
550,MOIL,360.05,188.35,173.55,246.45,171.5,152.65,1.4609454250355043
611,NUCLEUS,256.1,456.15,442.1,175.55,590.5,515.55,1.4588436342922244
742,SESHAPAPER,688.95,182.95,184.6,474.9,182.7,153.25,1.4507264687302592
577,NATIONALUM,65.3,126.85,116.75,45.75,121.7,56.6,1.4273224043715846
414,JAYBARMARU,277.8,164.15,160.4,195.25,208.8,200.65,1.4227912932138285
859,TIRUMALCHM,764.4,295.55,243.65,537.8,276.65,87.05,1.4213462253625884
93,BANARBEADS,57.8,92.65,92.85,40.7,78.6,46.95,1.42014742014742
176,CORDSCABLE,72.8,66.55,53.05,51.5,57.2,38.9,1.4135922330097086
159,CEREBRAINT,23.0,75.5,72.4,16.3,54.1,50.35,1.411042944785276
634,PDMJEPAPER,18.8,41.35,40.8,13.4,42.35,21.8,1.4029850746268657
672,PUNJABCHEM,245.7,1467.4,1351.1,176.15,1511.5,850.85,1.3948339483394834
268,GENUSPAPER,5.5,18.65,15.6,3.95,12.05,7.3,1.3924050632911391
941,WINDMACHIN,48.7,45.45,38.45,35.05,32.1,27.85,1.3894436519258204
52,ARIES,159.8,159.2,135.0,115.3,151.45,79.95,1.3859496964440592
442,JUBLINDS,276.1,509.6,510.4,203.3,523.25,206.05,1.3580914904082637
682,RAMANEWS,34.6,20.5,19.5,25.5,20.15,14.3,1.3568627450980393
209,DLINKINDIA,117.8,147.15,144.35,87.05,146.9,98.6,1.353245261344055
727,SALONA,42.25,289.05,247.95,31.25,200.25,86.25,1.352
428,JKPAPER,85.2,331.45,300.9,63.15,250.35,128.75,1.3491686460807601
325,HCL-INSYS,57.6,20.3,20.1,42.9,14.15,8.0,1.3426573426573427
374,INDBANK,12.65,26.9,23.3,9.45,24.5,13.55,1.3386243386243388
195,DCM,107.7,88.45,85.9,81.05,53.3,24.4,1.3288093769278224
728,SALSTEEL,3.65,11.35,11.8,2.75,9.95,4.6,1.3272727272727272
215,DWARKESH,320.65,138.05,125.6,242.0,76.45,33.0,1.325
319,HATHWAY,34.5,20.4,18.9,26.15,26.5,21.8,1.3193116634799236
389,INFIBEAM,1173.9,20.15,21.0,891.25,51.45,40.75,1.317138849929874
902,VARDMNPOLY,64.6,25.65,26.65,49.2,22.9,15.4,1.3130081300813006
205,DHUNINV,169.1,729.7,643.0,130.85,640.7,273.1,1.292319449751624
153,CENTEXT,7.15,11.65,11.85,5.55,9.3,4.8,1.2882882882882885
894,USHAMART,15.0,140.65,112.2,11.65,91.6,36.75,1.2875536480686696
586,NDGL,384.3,1486.85,1350.95,299.1,1412.15,728.0,1.284854563691073
309,GSFC,97.9,176.95,146.8,76.2,133.9,90.4,1.2847769028871392
797,SUBROS,163.2,345.35,341.9,127.15,357.4,291.35,1.2835233975619347
516,MALUPAPER,25.4,36.8,33.95,19.8,36.3,24.9,1.2828282828282827
755,SHILPAMED,690.9,455.05,416.45,540.05,618.85,403.75,1.2793259883344135
635,PEARLPOLY,23.95,20.4,18.35,18.75,15.95,16.65,1.2773333333333332
718,RUCHIRA,102.75,118.35,94.5,80.45,86.2,57.75,1.2771908017402112
38,AMBIKCO,1034.35,2437.75,2536.55,811.1,1989.9,852.0,1.2752434964862531
936,WELSPUNIND,66.85,96.3,102.3,52.5,160.0,76.9,1.2733333333333332
796,STERTOOLS,933.15,153.4,149.2,733.1,203.85,178.8,1.2728822807256854
166,CINELINE,81.1,117.8,98.65,63.8,127.9,30.45,1.2711598746081505
252,FMNL,35.55,8.55,8.5,28.0,10.5,13.9,1.269642857142857
225,ELECTHERM,197.55,127.25,114.35,155.9,134.6,100.45,1.267158434894163
630,PANAMAPET,88.5,304.45,257.5,69.85,268.95,148.85,1.2670007158196135
576,NATHBIOGEN,148.5,245.7,221.1,117.4,322.05,323.0,1.2649063032367973
222,EKC,33.3,224.55,224.75,26.45,123.25,110.7,1.2589792060491494
189,DALMIASUG,136.25,527.25,491.0,108.3,451.9,225.35,1.2580794090489382
