,SYMBOL,tp,wp,mp,tmp,smp,yp,Value
316,GROBTEA,1393.75,1061.6,1007.3,350.0,978.75,784.5,3.982142857142857
573,NAGREEKCAP,61.35,11.65,11.35,16.5,7.65,5.9,3.7181818181818183
951,ZENTEC,151.1,211.4,198.65,49.6,205.2,74.2,3.0463709677419355
48,APEX,841.65,311.0,280.25,309.25,291.3,209.45,2.7215844785772028
340,HEG,2336.35,1375.05,1274.35,933.2,2248.0,2044.3,2.5035897985426487
254,FCL,76.2,192.2,161.75,31.0,126.35,68.8,2.458064516129032
471,KIOCL,374.6,233.05,229.1,158.55,243.8,143.9,2.3626616209397664
783,SORILINFRA,317.25,82.55,79.1,134.35,107.8,117.05,2.3613695571269075
559,MOREPENLAB,37.35,46.05,40.0,15.95,56.65,43.4,2.3416927899686524
396,INDSWFTLAB,76.6,73.15,66.95,33.2,64.3,76.35,2.3072289156626504
114,BEPL,187.95,140.2,132.05,81.6,185.5,157.7,2.3033088235294117
676,PURVA,167.15,115.75,112.95,72.8,135.35,65.5,2.2960164835164836
12,ACE,144.3,231.05,215.3,66.2,258.15,148.05,2.1797583081571
292,GMBREW,943.85,723.8,632.65,434.3,612.05,397.1,2.1732673267326734
27,ALANKIT,69.65,15.2,14.0,32.3,17.8,13.95,2.1563467492260067
730,SALONA,206.2,289.05,246.4,95.75,198.9,86.25,2.1535248041775454
232,EKC,69.9,224.55,214.05,32.95,112.05,110.7,2.1213960546282244
684,RAIN,370.35,194.85,183.25,175.95,240.9,160.7,2.1048593350383635
524,MALUPAPER,45.1,36.8,35.1,21.65,34.95,24.9,2.0831408775981526
481,KOLTEPATIL,365.95,291.45,287.15,179.65,325.6,219.75,2.0370164208182575
940,WINDMACHIN,110.6,45.45,37.75,56.05,29.8,27.85,1.9732381801962533
663,PPAP,698.4,213.95,221.3,356.75,243.5,187.15,1.9576734407848633
144,BSL,119.0,114.4,112.85,61.2,63.15,33.3,1.9444444444444444
310,GRAPHITE,710.2,569.3,491.0,371.7,604.55,639.85,1.9106806564433685
782,SONATSOFTW,278.45,799.95,757.1,147.4,874.8,580.15,1.8890773405698777
664,PRAKASH,195.8,82.3,70.6,103.65,66.95,74.6,1.8890496864447661
388,INDIAGLYCO,461.1,1057.55,891.35,244.2,808.8,423.5,1.8882063882063884
378,IFBIND,1362.2,994.45,880.35,721.85,1189.65,1025.8,1.88709565699245
61,ASHAPURMIN,94.3,165.2,102.4,50.1,122.75,107.05,1.8822355289421158
297,GOACARBON,875.2,519.45,374.7,465.55,363.2,299.05,1.8799269681022448
92,BALAMINES,637.35,3403.9,3081.25,339.25,4517.4,1848.65,1.8787030213706706
704,RELIGARE,70.05,133.8,112.8,37.35,177.55,89.55,1.8755020080321283
801,SUMMITSEC,1311.0,712.95,606.2,703.95,774.95,496.2,1.8623481781376516
69,ASPINWALL,508.9,189.6,185.45,277.15,179.5,165.1,1.836189788922966
444,JPINFRATEC,23.8,3.25,3.2,13.0,1.9,1.5,1.830769230769231
944,WSTCSTPAPR,318.35,358.1,306.7,174.15,265.15,187.7,1.8280218202698824
554,MMFL,1174.1,908.25,808.4,646.8,797.1,450.35,1.815244279529994
791,SREEL,295.5,183.45,184.2,164.85,184.95,139.75,1.7925386715195633
