,SYMBOL,tp,wp,mp,tmp,smp,yp,Value
591,JINDWORLD,284.8,292.05,308.45,293.65,92.05,45.1,12.277190417269201
751,MGEL,208.8,220.75,218.8,139.35,50.7,46.0,12.056021516195106
1197,UGARSUGAR,79.75,79.2,67.9,33.3,29.0,17.15,11.976506466867818
785,NAHARCAP,567.1,600.15,599.2,420.2,271.35,89.55,11.663650188812987
786,NAHARPOLY,570.05,567.2,515.9,320.4,243.5,105.2,11.648963154336975
910,PRAKASHSTL,5.05,6.8,5.45,8.85,2.05,0.75,11.436621999816914
803,NDTV,239.5,210.0,197.05,118.9,86.25,56.05,11.419983632319244
641,KHAICHEM,120.45,137.0,127.9,76.15,58.7,21.95,10.942125641740219
804,NECCLTD,34.65,33.2,19.9,22.55,18.45,7.85,10.613527614140901
893,PITTIENG,320.85,330.2,256.2,265.55,153.55,63.8,10.550817026722303
1076,SPECIALITY,165.9,162.6,154.55,100.3,73.95,37.85,10.37427096297672
393,GMDCLTD,191.8,218.15,163.4,109.85,74.95,53.05,9.973531933046317
405,GOKEX,392.25,378.65,361.2,394.05,194.8,82.0,9.914452862198866
1026,SGL,32.8,32.65,29.95,34.1,12.65,8.5,9.51333851611762
1046,SHYAMCENT,22.65,29.95,19.25,17.1,14.4,5.35,9.06400674066866
758,MIRZAINT,156.65,194.5,163.8,151.45,59.25,43.85,9.012370213725783
1072,SOUTHWEST,191.85,200.0,195.25,153.95,104.55,48.75,8.95841204256012
1044,SHREYAS,347.55,371.7,325.2,267.55,368.7,74.85,8.888687579598429
464,HILTON,33.8,35.6,27.85,27.05,13.3,11.6,8.867767106182225
367,GANESHHOUC,260.35,270.2,196.45,204.8,165.95,73.4,8.675908125485213
298,DWARKESH,123.5,138.05,123.55,95.85,70.7,33.0,8.671912061590579
21,ACCURACY,233.8,237.05,255.1,217.55,132.75,59.9,8.64186584293287
112,AVADHSUGAR,738.1,745.9,747.75,623.2,423.95,200.65,8.580560363665
982,RUSHIL,526.6,558.8,457.5,352.55,253.3,195.75,8.356227396642176
1132,TATAELXSI,9035.5,8685.2,7213.4,6312.0,5594.05,2999.9,8.351544052600563
577,JAGSNPHARM,278.35,328.65,245.8,176.4,156.35,92.75,8.338700998566184
397,GNFC,819.65,883.05,707.75,489.25,434.25,307.15,8.317702472076393
664,KOTHARIPET,90.8,97.1,96.8,92.3,51.8,24.6,8.300836272714458
1033,SHAREINDIA,1136.95,1301.85,1056.65,1151.6,654.05,313.65,8.299830684777474
188,BSL,115.6,114.4,112.85,121.5,63.15,33.3,8.28833209570763
669,KRISHANA,271.1,316.75,210.2,173.35,195.05,87.2,8.208337171329493
1187,TV18BRDCST,72.8,75.55,66.45,48.2,37.95,27.55,8.130316090619202
290,DPABHUSHAN,381.7,373.3,395.3,390.15,214.55,114.45,8.080592721231348
590,JINDRILL,242.6,242.85,222.75,160.0,138.65,89.65,8.060142645414208
1208,UNIVPHOTO,594.85,522.05,555.3,675.85,356.3,182.15,8.026059065118805
618,KABRAEXTRU,499.6,489.05,479.5,516.25,248.8,167.6,8.020184792101954
828,NIITLTD,562.35,652.1,475.95,479.85,372.3,171.6,8.003401461376331
1210,USHAMART,121.45,140.65,107.7,95.55,85.75,36.75,7.983311093563307
631,KDDL,969.25,1000.45,840.7,995.45,431.1,372.65,7.944686879073394
1014,SEAMECLTD,1359.1,1365.7,1100.95,1102.7,1179.7,408.6,7.940475292909531
275,DHAMPURSUG,540.2,549.1,533.05,366.25,293.45,205.9,7.936616280868407
194,CALSOFT,35.15,36.25,37.3,44.95,31.3,8.65,7.880581409413691
855,ONWARDTEC,362.5,397.55,356.2,338.1,227.55,110.45,7.876774217916425
861,ORIENTHOT,64.15,67.1,60.45,55.15,38.5,22.15,7.742830968020543
335,EVERESTIND,726.65,655.4,641.45,592.85,432.55,281.8,7.725749015056152
292,DPWIRES,334.2,333.1,343.55,306.0,225.55,105.6,7.714727439169801
153,BEDMUTHA,68.4,75.8,69.2,78.3,34.1,23.4,7.693319220650102
1183,TRIVENI,311.2,341.3,329.0,255.05,185.05,108.4,7.630413716527784
1039,SHOPERSTOP,455.15,458.3,387.05,338.05,263.4,191.3,7.622699008577259
900,POKARNA,723.3,716.95,665.7,739.0,493.6,235.4,7.6121363748502455
1001,SARDAEN,1121.8,1146.65,1039.35,849.2,711.25,436.35,7.526759812342368
856,ORBTEXP,132.05,130.15,117.15,103.85,78.05,56.1,7.4590280367746224
314,EKC,240.0,224.55,214.05,257.5,112.05,110.7,7.431999084159381
665,KPITTECH,574.55,615.3,576.75,683.85,341.75,192.9,7.429813263536001
681,LEMONTREE,68.25,66.7,54.5,50.0,45.4,30.05,7.415050565811851
295,DSSL,218.95,233.0,232.45,208.7,148.65,73.55,7.380545570357327
420,GREENPANEL,535.25,584.2,538.3,451.75,309.65,209.85,7.374576874162717
551,INGERRAND,1619.35,1606.65,1467.85,1331.4,981.7,679.3,7.360780469137068
260,DANGEE,300.0,308.65,266.85,210.2,191.0,133.8,7.3362470960472415
905,POWERINDIA,3582.1,3462.35,3409.0,2663.25,2438.8,1501.8,7.284375035619043
368,GANGESSECU,134.4,133.6,133.75,94.75,89.75,57.1,7.280575854232987
912,PRECOT,321.4,340.0,329.45,374.9,234.25,103.0,7.270581502559885
360,GAEL,267.65,261.4,260.75,170.45,173.25,127.6,7.263074929982723
398,GOACARBON,546.3,519.45,374.7,385.9,363.2,299.05,7.256222157627783
4,A2ZINFRA,9.7,12.05,10.45,12.35,4.2,4.0,7.253157828922188
968,ROHLTD,132.75,131.95,112.55,90.65,97.7,59.45,7.241682459273573
58,AMBIKCO,2428.45,2437.75,2546.7,2197.9,1821.7,852.0,7.238009391120454
911,PRECAM,134.55,145.5,144.25,170.35,95.05,42.9,7.199276727144787
114,AVTNPL,113.95,122.05,122.0,87.05,81.95,43.65,7.17768833060366
199,CANTABIL,913.5,998.1,799.85,796.2,617.0,370.2,7.152789031117939
596,JKPAPER,308.45,331.45,306.9,212.35,229.3,128.75,7.129122325356031
1240,VIPIND,728.5,725.65,628.15,586.2,506.6,320.25,7.119235747847181
623,KAMATHOTEL,70.0,76.7,62.5,51.55,52.95,29.25,7.105715903748793
50,ALLCARGO,345.15,359.35,312.1,364.6,269.05,123.3,7.095150748591641
1169,TIRUMALCHM,267.6,295.55,224.15,260.15,304.75,87.05,7.080103434415864
381,GHCL,561.8,551.0,527.25,442.2,445.45,228.6,7.074359611935898
903,POLYPLEX,2268.45,2697.8,2073.7,1827.1,1727.3,880.4,7.066229049314366
1078,SPIC,69.5,76.6,57.3,57.3,53.15,29.0,7.037311342986328
858,ORIENTBELL,501.8,571.05,524.75,360.75,356.95,209.3,7.02930269857029
66,ANSALAPI,14.4,16.15,14.7,12.6,9.0,6.05,6.9942551357211
552,INOXLEISUR,522.85,504.9,408.3,378.7,393.25,266.0,6.991912269930106
820,NETWORK18,87.6,97.2,77.75,89.6,51.95,38.6,6.961268060158439
1137,TATAPOWER,239.6,278.1,230.45,244.4,158.75,93.6,6.950745978740567
52,ALMONDZ,94.2,111.3,105.4,124.5,100.45,26.9,6.93636455852966
431,GUJALKALI,896.85,912.9,746.3,715.55,672.75,414.5,6.934320287682729
826,NIBL,30.05,26.4,21.1,25.65,18.75,18.9,6.926581909498722
980,RUCHIRA,115.85,118.35,95.8,81.9,88.65,57.75,6.915581514188171
650,KITEX,243.45,251.45,237.55,261.3,166.35,96.5,6.9109876620706014
635,KEI,1200.2,1275.75,1004.25,1169.15,927.1,495.0,6.881679370081654
219,CHALET,308.8,310.0,273.45,241.05,239.9,141.35,6.878316180951733
1153,TEXMOPIPES,75.95,86.9,78.3,91.55,53.5,27.3,6.87525908515473
181,BORORENEW,563.5,655.3,600.55,648.35,308.5,237.1,6.870561929952196
1030,SHANKARA,769.35,768.1,741.25,545.45,591.7,363.55,6.866474791403192
23,ACRYSIL,837.7,848.95,726.3,844.45,794.4,312.65,6.865995569604394
945,RAYMOND,729.85,875.85,702.6,680.25,459.0,315.9,6.845473852584533
443,HCC,16.1,18.35,14.95,15.65,9.65,7.4,6.827130724777682
1168,TINPLATE,383.75,426.05,363.55,320.75,287.2,164.55,6.820988505352297
531,INDHOTEL,231.95,253.85,210.8,210.7,181.4,95.95,6.810985773415005
336,EXCELINDUS,1493.95,1532.55,1672.4,952.2,1022.65,799.4,6.766756494240459
878,PERSISTENT,4631.45,4710.9,4428.45,4445.55,3716.3,1906.7,6.746084617706819
261,DATAMATICS,308.05,316.1,274.65,357.4,302.7,111.35,6.742238400091431
1066,SOLARINDS,2731.1,3000.05,2405.75,2245.8,2118.3,1248.5,6.738475832839105
1042,SHREEPUSHK,293.3,283.75,263.1,243.2,222.7,142.0,6.736956298058569
1162,TIIL,970.35,1157.75,1038.45,900.55,811.3,361.3,6.731825622101937
192,BUTTERFLY,1378.05,1405.2,1382.1,1310.9,943.15,616.8,6.724279891029168
914,PRESSMN,42.6,45.15,44.1,33.55,27.7,21.25,6.721866655575092
708,MAGADSUGAR,319.95,362.3,335.5,319.1,295.55,114.75,6.710216167087804
484,HSIL,309.15,328.25,318.6,232.8,232.05,144.8,6.70738533484886
866,OSWALAGRO,25.6,33.0,30.25,36.45,17.15,8.9,6.693486393728747
311,EIHAHOTELS,466.85,480.8,408.5,364.9,401.35,221.95,6.659817998061804
760,MMP,195.6,197.8,199.35,186.65,149.9,84.1,6.648689757097273
208,CENTENKA,567.9,616.95,560.05,503.6,445.5,246.3,6.642665493648775
755,MINDACORP,201.95,227.4,200.7,192.6,127.05,95.95,6.63713081835281
637,KENNAMET,2076.7,2082.85,2071.0,1911.5,1349.45,1045.8,6.610899681664527
242,COSMOFILMS,1698.3,2066.5,1723.75,1717.85,1493.45,634.65,6.608808266504806
1186,TTL,101.9,105.6,106.75,128.3,66.05,43.35,6.6071661337718925
798,NBVENTURES,145.75,148.1,123.9,116.9,122.1,72.65,6.607164144633002
65,ANIKINDS,30.25,30.85,33.2,35.0,17.7,14.2,6.595302584247014
271,DELTACORP,319.85,328.45,283.05,295.95,263.3,146.4,6.584127441918859
790,NATIONALUM,122.7,126.85,117.0,113.55,93.4,56.6,6.578132404147718
213,CENTURYPLY,680.65,663.5,653.75,648.5,472.65,338.9,6.565052444138993
1227,VEDL,413.4,430.3,373.35,336.2,287.65,226.1,6.563180030287063
25,ADANIGREEN,1930.85,2321.85,1833.65,1697.95,1146.6,1043.95,6.55531471325132
1083,SRHHYPOLTD,458.4,455.5,502.8,343.1,329.8,240.05,6.553650228616544
259,DALMIASUG,503.0,527.25,502.0,441.8,412.45,225.35,6.5461480776133545
1279,ZEEMEDIA,15.8,20.15,15.55,17.0,13.9,5.9,6.54426479100057
27,ADANIPOWER,152.25,220.95,122.9,117.15,97.1,87.15,6.5424569602699005
606,JSLHISAR,357.75,389.85,344.5,384.45,288.6,148.65,6.53293724278754
728,MANINFRA,101.85,113.2,102.8,116.05,109.9,35.9,6.531931632042097
605,JSL,188.05,203.45,179.85,205.0,162.0,75.85,6.52725415160377
1016,SELAN,196.0,200.5,148.3,152.55,152.0,118.7,6.524721322121894
1124,TALBROAUTO,458.8,521.15,438.4,616.5,288.1,203.5,6.518142780635223
1032,SHARDACROP,519.3,705.25,553.7,363.05,330.6,284.25,6.502281945426034
228,CLEDUCATE,129.9,120.45,124.3,121.45,73.6,84.25,6.499869455593677
340,FCL,160.8,192.2,161.75,152.3,126.35,68.8,6.496430775143917
