,SYMBOL,tp,wp,mp,tmp,smp,yp,Value
19,ADANIPOWER,50.95,220.95,122.9,23.8,97.1,87.15,2.1407563025210083
571,LINDEINDIA,679.6,3938.8,3192.4,409.15,2604.45,1870.3,1.661004521569107
335,GOKUL,14.9,34.15,35.9,9.5,28.05,17.2,1.568421052631579
447,INDORAMA,31.1,77.45,65.55,20.8,49.6,36.6,1.4951923076923077
126,BEML,905.2,1857.15,1533.85,609.5,1433.5,1163.6,1.4851517637407712
1007,VINDHYATEL,1893.9,1153.2,1102.55,1293.95,1103.65,786.9,1.4636577920321496
638,MTEDUCARE,62.95,9.95,8.9,43.15,8.45,6.55,1.458864426419467
227,DHAMPURSUG,159.45,549.1,533.05,109.6,293.45,205.9,1.4548357664233575
108,BALRAMCHIN,102.0,511.05,485.5,71.05,366.5,250.45,1.4356087262491204
282,FILATEX,62.35,130.4,121.4,43.55,103.5,73.55,1.4316877152698049
982,UNIVCABLES,279.9,157.8,138.6,196.5,165.0,131.45,1.4244274809160304
874,SPLIL,65.2,66.05,56.85,45.85,46.85,33.05,1.4220283533260634
561,LASA,30.15,54.65,43.0,21.25,77.1,63.2,1.4188235294117646
23,ADVANIHOTR,64.15,90.0,88.45,45.35,82.45,49.65,1.4145534729878722
717,PFC,107.35,121.85,112.45,76.1,142.1,105.55,1.4106438896189224
443,INDIANHUME,335.8,193.15,189.6,238.1,200.85,167.2,1.4103317933641328
444,INDIGO,1165.05,2000.15,1899.8,826.1,2021.7,1554.3,1.4103014162934269
882,STCINDIA,146.4,107.75,100.2,104.4,102.1,75.15,1.4022988505747127
37,ALKYLAMINE,803.25,3309.45,2903.5,574.05,3825.55,5739.35,1.3992683564149466
751,PTC,92.85,96.7,82.95,66.7,115.85,83.55,1.392053973013493
464,IOLCP,166.4,505.6,406.7,120.35,593.8,594.2,1.382633984212713
711,PCJEWELLER,86.2,24.1,20.7,62.35,26.65,22.15,1.3825180433039295
225,DEN,70.3,42.6,39.6,50.9,48.0,46.75,1.381139489194499
353,GTPL,90.35,213.45,181.6,65.5,254.25,132.05,1.379389312977099
1006,VINATIORGA,1653.4,1986.95,1864.45,1199.75,1938.05,1588.0,1.3781204417586999
115,BANKINDIA,104.1,52.45,48.45,76.9,55.5,64.6,1.3537061118335498
683,NRBBEARING,207.55,128.8,115.0,154.25,140.65,99.75,1.3455429497568883
584,MAHABANK,14.9,18.8,17.9,11.1,20.05,22.7,1.3423423423423424
515,KAJARIACER,493.1,1039.3,1027.85,367.4,1197.0,881.4,1.3421339139902015
823,SEQUENT,67.75,148.0,127.7,50.5,219.75,253.45,1.3415841584158417
252,EIHOTEL,197.95,167.2,128.4,147.95,129.35,83.8,1.3379520108144645
731,PNBGILTS,35.35,64.05,62.7,26.45,67.65,50.05,1.33648393194707
755,PVR,1604.55,1880.35,1723.2,1201.75,1599.35,1077.05,1.3351778656126483
831,SHAKTIPUMP,415.65,536.05,501.2,312.15,701.55,485.9,1.3315713599231138
183,CGCL,127.35,622.8,621.3,95.8,515.25,393.85,1.3293319415448852
710,PATINTLOG,48.8,16.05,14.6,36.8,21.9,17.7,1.3260869565217392
805,SALASAR,298.0,236.4,226.95,225.25,281.4,447.0,1.322974472807991
295,GAEL,240.35,261.4,260.75,182.15,173.25,127.6,1.319516881690914
241,DREDGECORP,440.8,344.5,330.8,334.1,356.0,345.55,1.3193654594432804
279,FEDERALBNK,93.25,100.2,98.35,70.7,84.3,72.1,1.318953323903819
