,SYMBOL,tp,wp,mp,tmp,smp,yp,Value
149,BORORENEW,300.45,655.3,600.55,72.95,308.5,237.1,4.118574366004112
654,MBLINFRA,23.15,26.75,28.05,8.05,18.8,16.75,2.8757763975155277
211,CYBERTECH,164.95,182.5,174.05,60.5,160.25,121.8,2.7264462809917354
1035,TREJHARA,41.3,74.9,68.05,15.7,62.4,31.95,2.6305732484076434
347,GOLDENTOBC,53.2,113.3,99.75,20.3,149.6,39.55,2.6206896551724137
358,GREENPANEL,125.95,584.2,538.3,48.7,309.65,209.85,2.586242299794661
378,HBLPOWER,41.1,65.45,64.35,16.2,48.65,30.95,2.537037037037037
633,MANAKSTEEL,24.45,49.0,43.5,10.2,31.85,22.6,2.3970588235294117
529,JPASSOCIAT,7.4,10.9,8.95,3.1,8.8,6.85,2.3870967741935485
1073,VAKRANGEE,69.15,35.45,31.5,29.0,40.5,53.2,2.38448275862069
1106,WEBELSOLAR,45.9,110.7,101.45,19.4,65.6,44.2,2.365979381443299
984,TANLA,673.9,1611.7,1463.6,291.15,872.35,878.7,2.3146144599003953
559,KEYFINSERV,83.9,109.7,109.25,37.0,78.6,56.7,2.2675675675675677
317,GAYAPROJ,39.2,24.25,22.2,17.55,50.2,27.45,2.2336182336182335
248,DSSL,65.65,233.0,232.45,29.5,148.65,73.55,2.2254237288135594
865,SAIL,74.1,110.9,97.2,33.75,113.65,89.0,2.1955555555555555
934,SORILINFRA,136.45,82.55,79.1,64.6,107.8,117.05,2.112229102167183
286,FCL,66.5,192.2,161.75,31.75,126.35,68.8,2.094488188976378
16,ACE,135.95,231.05,215.3,67.05,258.15,148.05,2.0275913497390006
128,BEPL,146.05,140.2,132.05,72.55,185.5,157.7,2.0130944176430052
452,IFGLEXPOR,300.45,292.85,265.7,150.6,317.35,340.3,1.995019920318725
753,ORIENTBELL,198.35,571.05,524.75,99.8,356.95,209.3,1.9874749498997997
642,MARATHON,101.6,131.2,101.6,51.15,102.65,50.4,1.986314760508309
944,SPICEJET,94.95,59.05,60.25,48.25,75.15,61.45,1.9678756476683938
815,PURVA,84.2,115.75,112.95,42.85,135.35,65.5,1.9649941656942824
