,SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN
695,HLEGLAS,EQ,2307.35,2380.0,2280.0,2292.6,2280.0,2287.05,4578,10608943.75,20-APR-2021,810,INE461D01010
696,HLVLTD,EQ,5.3,5.55,5.25,5.3,5.35,5.3,137006,740886.6,20-APR-2021,317,INE102A01024
698,HMVL,EQ,57.5,59.0,57.5,57.75,57.6,57.25,13469,784626.0,20-APR-2021,182,INE871K01015
699,HNDFDS,EQ,1916.0,2005.4,1909.1,2005.4,2005.4,1909.95,7117,14146897.55,20-APR-2021,783,INE254N01018
700,HNGSNGBEES,EQ,372.9,374.0,363.02,372.45,367.85,364.07,2733,1016976.05,20-APR-2021,150,INF204KB19I1
701,HOMEFIRST,EQ,464.25,482.95,464.25,475.05,473.35,463.2,165120,78663822.6,20-APR-2021,9703,INE481N01025
702,HONAUT,EQ,43837.0,44500.0,43058.0,44345.6,44472.0,43557.85,4046,178516926.15,20-APR-2021,2467,INE671A01010
703,HONDAPOWER,EQ,945.0,950.0,927.9,931.2,931.0,934.25,5977,5591877.3,20-APR-2021,870,INE634A01018
704,HOTELRUGBY,EQ,1.0,1.0,1.0,1.0,1.0,0.95,1101,1101.0,20-APR-2021,3,INE275F01019
707,HSCL,EQ,42.05,42.45,41.25,41.8,41.85,41.55,4237089,177509780.8,20-APR-2021,13944,INE019C01026
708,HSIL,EQ,149.0,150.3,143.05,144.8,145.9,146.5,160714,23642900.45,20-APR-2021,3082,INE415A01038
709,HTMEDIA,EQ,20.15,21.2,20.1,20.2,20.1,20.15,65453,1339795.3,20-APR-2021,758,INE501G01024
711,HUDCO,EQ,40.6,42.25,40.5,40.95,40.8,39.95,2914015,120894120.6,20-APR-2021,8574,INE031A01017
721,HUHTAMAKI,EQ,270.0,271.6,268.25,268.6,268.5,270.15,26335,7105941.95,20-APR-2021,899,INE275B01026
722,IBMFNIFTY,EQ,158.4,158.4,142.4,147.07,148.0,142.4,796,116287.91,20-APR-2021,70,INF666M01FS5
723,IBREALEST,EQ,75.5,77.5,74.8,76.05,76.25,73.95,5173126,393919966.0,20-APR-2021,20967,INE069I01010
727,IBULHSGFIN,EQ,163.8,168.0,163.0,165.1,164.6,160.85,14995164,2483133548.5,20-APR-2021,77063,INE148I01020
731,ICEMAKE,EQ,67.85,67.85,62.3,63.2,64.1,63.3,7260,465126.0,20-APR-2021,159,INE520Y01019
732,ICICI500,EQ,203.99,203.99,197.0,198.48,198.3,198.66,1848,368049.19,20-APR-2021,112,INF109KC1CZ3
733,ICICIALPLV,EQ,147.48,147.48,142.1,143.88,144.45,144.98,5250,758403.82,20-APR-2021,152,INF109KC1N59
734,ICICIB22,EQ,36.2,36.2,33.85,34.07,34.1,34.16,343870,11756516.6,20-APR-2021,2114,INF109KB15Y7
735,ICICIBANK,EQ,565.2,572.65,552.6,559.1,558.4,559.75,24425842,13749461212.45,20-APR-2021,265471,INE090A01021
736,ICICIBANKN,EQ,316.0,316.0,307.97,310.02,309.73,310.76,3282,1025453.17,20-APR-2021,243,INF109KC1E27
737,ICICIBANKP,EQ,173.7,173.7,162.79,163.97,163.5,163.57,45532,7547340.51,20-APR-2021,252,INF109KC1E35
738,ICICIGI,EQ,1390.0,1418.0,1366.1,1399.0,1407.0,1360.7,928686,1283816587.95,20-APR-2021,41540,INE765G01017
739,ICICIGOLD,EQ,42.5,42.65,41.71,41.99,42.1,42.52,247983,10426503.57,20-APR-2021,1481,INF109KC1NT3
740,ICICILIQ,EQ,999.5,1000.0,999.5,999.99,1000.0,1000.0,2015,2014821.91,20-APR-2021,31,INF109KC1KT9
741,ICICILOVOL,EQ,114.09,121.0,114.09,117.5,117.57,117.99,76433,9006220.32,20-APR-2021,582,INF109KB10T8
742,ICICIM150,EQ,89.97,90.46,88.25,88.97,88.65,88.54,239157,21248851.43,20-APR-2021,257,INF109KC1G82
743,ICICIMCAP,EQ,86.0,86.0,83.5,83.82,84.3,83.64,3859,325154.43,20-APR-2021,152,INF109KB1XT3
744,ICICINF100,EQ,156.42,158.4,155.5,156.28,156.35,156.01,6171,970665.9,20-APR-2021,141,INF109KA1962
745,ICICINIFTY,EQ,169.3,169.3,151.62,152.31,152.3,153.12,237506,36236903.21,20-APR-2021,3146,INF109K012R6
746,ICICINV20,EQ,78.0,79.0,76.66,76.97,77.2,77.63,9301,721253.8,20-APR-2021,787,INF109KB1WY5
747,ICICINXT50,EQ,35.4,35.4,34.41,34.7,34.66,34.49,28499,995160.41,20-APR-2021,334,INF109KC1NS5
748,ICICIPRULI,EQ,465.5,514.9,465.5,477.95,476.8,452.05,23054764,11322691088.1,20-APR-2021,275442,INE726G01019
749,ICICISENSX,EQ,529.7,529.95,513.5,515.94,516.0,517.84,1217,632934.82,20-APR-2021,114,INF346A01034
750,ICICITECH,EQ,269.0,269.9,259.55,260.08,259.85,264.04,24335,6396436.6,20-APR-2021,333,INF109KC1N67
751,ICIL,EQ,122.0,125.1,121.1,121.55,121.75,121.75,85467,10494387.85,20-APR-2021,2558,INE483B01026
752,ICRA,EQ,3269.9,3301.95,3222.2,3237.1,3251.0,3224.8,5929,19266099.3,20-APR-2021,1339,INE725G01011
753,IDBI,EQ,34.45,34.75,33.65,34.0,34.0,33.85,6857963,234610908.85,20-APR-2021,15947,INE008A01015
754,IDBIGOLD,EQ,4282.0,4339.0,4282.0,4299.95,4301.0,4347.9,116,499568.5,20-APR-2021,34,INF397L01554
755,IDEA,EQ,8.5,8.65,8.3,8.45,8.45,8.45,92343831,783905885.05,20-APR-2021,89266,INE669E01016
756,IDFC,EQ,45.1,46.3,45.0,45.7,45.95,44.75,8108688,369455629.1,20-APR-2021,13761,INE043D01016
757,IDFCFIRSTB,EQ,51.9,52.4,50.2,50.65,50.65,50.7,35191058,1806028165.3,20-APR-2021,64601,INE092T01019
763,IDFNIFTYET,EQ,153.91,153.91,148.01,149.95,149.95,149.43,829,125125.33,20-APR-2021,20,INF194KA1U07
764,IEX,EQ,357.0,361.95,349.1,352.8,352.0,352.35,2200793,784252341.25,20-APR-2021,37722,INE022Q01020
765,IFBAGRO,EQ,389.0,411.55,389.0,394.8,395.0,394.1,8040,3200268.95,20-APR-2021,451,INE076C01018
766,IFBIND,EQ,1075.0,1089.95,1014.0,1025.8,1030.0,1052.85,38112,39674159.6,20-APR-2021,3577,INE559A01017
767,IFCI,EQ,10.55,11.2,10.4,10.45,10.45,10.75,2262055,24317251.5,20-APR-2021,4428,INE039A01010
770,IFGLEXPOR,EQ,351.2,355.2,334.05,340.3,340.55,342.25,28084,9721897.1,20-APR-2021,1275,INE133Y01011
771,IGARASHI,EQ,320.0,331.0,318.0,325.2,324.5,318.8,81975,26655451.55,20-APR-2021,2380,INE188B01013
772,IGL,EQ,502.0,514.0,500.0,504.2,504.0,498.1,1663453,843957366.7,20-APR-2021,24196,INE203G01027
773,IGPL,EQ,460.0,467.5,436.35,446.45,444.6,449.55,65105,29402122.5,20-APR-2021,3026,INE204A01010
775,IIFL,EQ,260.0,265.05,247.95,251.85,253.0,261.0,228938,59015547.15,20-APR-2021,6704,INE530B01024
781,IIFLSEC,EQ,47.2,48.8,47.0,47.4,47.25,46.95,387530,18567277.5,20-APR-2021,2825,INE489L01022
782,IIFLWAM,EQ,1128.2,1148.75,1091.0,1104.35,1104.9,1122.25,14345,16117072.8,20-APR-2021,1903,INE466L01020
783,IITL,EQ,51.9,56.0,51.9,54.95,55.55,52.95,4341,236341.6,20-APR-2021,128,INE886A01014
787,IMFA,EQ,466.0,486.3,466.0,472.2,475.0,469.25,21691,10345335.9,20-APR-2021,1021,INE919H01018
788,IMPAL,EQ,634.85,678.0,632.0,652.35,651.0,634.3,5520,3638351.05,20-APR-2021,408,INE547E01014
789,INDBANK,EQ,13.5,14.05,13.4,13.55,13.55,13.45,178196,2447142.0,20-APR-2021,569,INE841B01017
790,INDHOTEL,EQ,97.0,102.25,94.75,95.95,95.0,94.7,9428938,923807755.7,20-APR-2021,33663,INE053A01029
791,INDIACEM,EQ,167.0,169.25,162.6,164.95,165.0,162.05,2225585,369590481.05,20-APR-2021,21737,INE383A01012
792,INDIAGLYCO,EQ,430.0,439.2,422.0,423.5,423.0,426.25,202170,87523124.5,20-APR-2021,19159,INE560A01015
793,INDIAMART,EQ,7875.0,7888.5,7715.7,7764.4,7767.95,7746.8,104167,810026704.95,20-APR-2021,18578,INE933S01016
794,INDIANB,EQ,100.6,102.6,99.35,100.7,100.85,98.6,1679943,169502295.2,20-APR-2021,13300,INE562A01011
795,INDIANCARD,EQ,126.35,129.95,124.0,124.4,124.2,126.9,4345,549522.9,20-APR-2021,94,INE061A01014
796,INDIANHUME,EQ,168.0,170.95,166.75,167.2,167.05,167.65,29182,4912203.85,20-APR-2021,1184,INE323C01030
797,INDIGO,EQ,1520.9,1585.85,1503.0,1554.3,1547.0,1527.9,1964923,3037464919.9,20-APR-2021,66200,INE646L01027
798,INDIGOPNTS,EQ,2306.95,2339.0,2286.65,2307.55,2307.0,2302.05,25891,59691865.35,20-APR-2021,5139,INE09VQ01012
800,INDLMETER,EQ,14.45,14.5,12.8,13.8,13.7,13.4,20445,281209.5,20-APR-2021,113,INE065B01013
801,INDNIPPON,EQ,359.9,363.5,348.2,352.25,354.85,354.55,16410,5824640.95,20-APR-2021,878,INE092B01025
802,INDOCO,EQ,328.0,337.0,313.35,320.25,320.05,318.85,773235,253936341.75,20-APR-2021,16440,INE873D01024
803,INDORAMA,EQ,37.95,38.0,36.05,36.6,36.05,36.85,24255,892465.25,20-APR-2021,356,INE156A01020
805,INDOSTAR,EQ,306.95,309.4,300.5,303.25,304.0,305.4,7000,2140304.25,20-APR-2021,614,INE896L01010
806,INDOTECH,EQ,83.65,95.0,83.65,89.85,88.05,84.5,25271,2288964.8,20-APR-2021,792,INE332H01014
809,INDRAMEDCO,EQ,54.95,58.8,54.95,56.75,56.75,54.65,887592,50343496.85,20-APR-2021,5636,INE681B01017
810,INDSWFTLAB,EQ,70.05,76.75,69.8,76.35,76.75,69.8,332393,25161325.1,20-APR-2021,2057,INE915B01019
812,INDUSINDBK,EQ,845.0,864.8,840.05,845.0,842.25,832.0,8240669,7042999776.85,20-APR-2021,133728,INE095A01012
813,INDUSTOWER,EQ,258.05,265.35,250.55,255.95,255.05,253.05,5429078,1404771771.9,20-APR-2021,46841,INE121J01017
814,INEOSSTYRO,EQ,1088.0,1128.0,1057.0,1085.9,1088.0,1055.8,190771,209556329.55,20-APR-2021,10294,INE189B01011
815,INFIBEAM,EQ,40.5,41.45,40.25,40.75,41.0,40.25,881316,36053223.5,20-APR-2021,2856,INE483S01020
816,INFOBEAN,EQ,168.9,170.1,165.2,166.95,168.4,164.5,45623,7673377.6,20-APR-2021,668,INE344S01016
818,INFRABEES,EQ,417.45,417.45,405.2,409.45,407.0,409.23,619,254082.5,20-APR-2021,105,INF732E01268
819,INFY,EQ,1379.0,1379.0,1342.4,1351.35,1349.0,1362.55,8560766,11618460456.4,20-APR-2021,174560,INE009A01021
820,INGERRAND,EQ,688.45,697.85,675.6,679.3,681.0,688.35,18428,12554389.25,20-APR-2021,2613,INE177A01018
823,INOXLEISUR,EQ,254.0,275.0,253.0,266.0,263.0,252.45,985307,257359208.8,20-APR-2021,16763,INE312H01016
824,INOXWIND,EQ,71.4,80.1,67.8,71.1,70.9,66.75,2463789,189788068.05,20-APR-2021,17795,INE066P01011
825,INSECTICID,EQ,468.0,473.3,466.4,470.8,472.0,465.55,35750,16814726.3,20-APR-2021,856,INE070I01018
826,INSPIRISYS,EQ,50.95,54.9,50.95,54.8,54.9,49.95,103307,5616881.35,20-APR-2021,794,INE020G01017
827,INTELLECT,EQ,697.0,741.0,686.15,714.05,717.95,685.2,795133,573958240.05,20-APR-2021,33541,INE306R01017
828,INTENTECH,EQ,36.95,39.7,36.5,37.5,37.2,36.0,221914,8524346.9,20-APR-2021,1725,INE781A01025
