,SYMBOL,31-12-2016,31-03-2017,30-06-2017,30-09-2017,31-12-2017,,,,,
1,TECHM,452,417,386,482,613,,-0.077433628,-0.158273381,0.077720207,0.334024896
2,NTPC,143,137,137,151,142,,-0.041958042,-0.04379562,0.058394161,-0.006622517
3,ADANIPORTS,293,327,395,430,429,,0.116040956,0.311926606,0.346835443,0.31627907
4,TATASTEEL,441,428,540,670,705,,-0.029478458,0.231308411,0.424074074,0.394029851
5,POWERGRID,155,156,167,159,145,,0.006451613,0.076923077,0.023952096,-0.062893082
6,BPCL,454,479,471,541,492,,0.055066079,0.035490605,0.184713376,0.070240296
7,HCLTECH,405,407,446,427,493,,0.004938272,0.100737101,0.049327354,0.206088993
8,HINDALCO,189,199,219,267,256,,0.052910053,0.150753769,0.356164384,0.25093633
9,ICICIBANK,244,253,302,300,353,,0.036885246,0.229249012,0.185430464,0.363333333
10,ITC,258,278,285,265,271,,0.07751938,0.097122302,0.024561404,0.049056604
,,,,,,,,0.020094147,0.103144188,0.173117296,0.191447377
,,,,,,,,,,,
,Nifty,8561,9304,10077,10335,11027,,0.086788927,0.162940671,0.176044458,0.238606676
