,SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN
1722,TATAMTRDVR,EQ,38.0,38.0,36.85,37.5,37.8,37.9,4023015,149915397.55,31-JUL-2020,13710,IN9155A01020
1723,TATAPOWER,EQ,48.05,49.0,47.5,48.7,48.8,48.0,19705075,949349624.8,31-JUL-2020,26713,INE245A01021
1725,TATASTEEL,EQ,365.6,370.4,360.4,366.3,368.1,366.6,9024955,3298435294.6,31-JUL-2020,76352,INE081A01012
1726,TATASTLBSL,EQ,21.5,22.1,21.35,21.85,22.1,21.8,1726601,37580392.15,31-JUL-2020,12969,INE824B01021
1727,TATASTLLP,EQ,258.3,260.0,253.0,256.5,257.8,256.25,24302,6218490.5,31-JUL-2020,754,INE674A01014
1728,TBZ,EQ,33.95,33.95,32.05,33.2,32.8,33.1,131844,4326569.25,31-JUL-2020,1364,INE760L01018
1733,TCI,EQ,171.9,176.45,165.95,173.3,172.0,168.35,33997,5793451.6,31-JUL-2020,1098,INE688A01022
1734,TCIDEVELOP,EQ,272.05,280.95,272.05,273.05,273.05,273.3,179,49132.1,31-JUL-2020,27,INE662L01016
1735,TCIEXP,EQ,715.0,721.75,701.2,703.55,703.95,714.45,10432,7398041.6,31-JUL-2020,2020,INE586V01016
1737,TCNSBRANDS,EQ,327.5,334.75,326.0,330.1,326.5,329.65,5930,1952409.2,31-JUL-2020,592,INE778U01029
1738,TCPLPACK,EQ,270.05,284.95,262.0,276.65,284.95,278.75,35367,9749694.9,31-JUL-2020,224,INE822C01015
1739,TCS,EQ,2303.15,2334.8,2257.45,2281.4,2290.45,2279.5,4723290,10844452626.95,31-JUL-2020,183229,INE467B01029
1740,TDPOWERSYS,EQ,99.1,101.7,98.2,99.65,100.0,100.8,24570,2448816.55,31-JUL-2020,973,INE419M01019
1741,TEAMLEASE,EQ,1786.0,1863.0,1782.05,1849.8,1850.0,1786.0,214312,394589475.0,31-JUL-2020,11173,INE985S01024
1743,TECHM,EQ,678.45,685.45,673.5,681.65,681.95,674.75,3114816,2117960428.7,31-JUL-2020,65788,INE669C01036
1744,TECHNOE,EQ,175.05,179.9,175.05,178.5,179.0,179.7,3299,586429.7,31-JUL-2020,102,INE285K01026
1748,TERASOFT,EQ,23.8,25.0,23.8,24.25,24.15,24.9,14438,351251.8,31-JUL-2020,120,INE482B01010
1749,TEXINFRA,EQ,33.15,35.9,33.1,35.4,35.55,34.55,161549,5505025.0,31-JUL-2020,1257,INE435C01024
1750,TEXMOPIPES,EQ,12.7,12.8,12.0,12.2,12.15,12.6,54156,663243.05,31-JUL-2020,212,INE141K01013
1751,TEXRAIL,EQ,25.25,26.5,24.6,26.15,26.1,24.9,739652,18942655.4,31-JUL-2020,3567,INE621L01012
1752,TFCILTD,EQ,34.2,35.25,34.05,35.05,35.0,34.35,77893,2716416.05,31-JUL-2020,465,INE305A01015
1755,THANGAMAYL,EQ,324.7,332.0,317.0,320.1,319.9,322.45,44903,14555680.45,31-JUL-2020,2646,INE085J01014
1756,THEINVEST,EQ,97.2,97.25,91.0,93.2,94.0,92.7,4940,465334.9,31-JUL-2020,127,INE924D01017
1758,THEMISMED,EQ,392.35,404.0,378.1,387.45,390.0,386.35,4773,1869955.3,31-JUL-2020,301,INE083B01016
1759,THERMAX,EQ,746.9,748.0,741.6,744.9,745.0,741.45,15594,11611716.8,31-JUL-2020,2713,INE152A01029
1760,THOMASCOOK,EQ,28.75,29.8,28.65,29.4,29.3,28.75,379030,11132306.4,31-JUL-2020,4090,INE332A01027
1761,THYROCARE,EQ,688.15,716.35,677.05,701.6,701.95,682.85,414425,290363462.8,31-JUL-2020,16651,INE594H01019
1762,TI,EQ,17.55,18.0,17.15,17.35,17.55,17.7,22148,386401.35,31-JUL-2020,154,INE133E01013
1763,TIDEWATER,EQ,4180.8,4239.9,4180.75,4229.0,4239.9,4190.3,1847,7780999.05,31-JUL-2020,391,INE484C01022
1764,TIIL,EQ,229.75,240.0,220.0,221.65,220.45,222.05,4582,1023690.3,31-JUL-2020,327,INE545H01011
1765,TIINDIA,EQ,507.55,513.0,499.95,508.9,512.9,507.4,134071,67910946.35,31-JUL-2020,3789,INE974X01010
1766,TIJARIA,EQ,5.45,5.6,5.15,5.5,5.6,5.4,14468,78062.1,31-JUL-2020,51,INE440L01017
1767,TIL,EQ,135.15,138.0,131.9,132.35,132.95,135.15,3456,462002.6,31-JUL-2020,235,INE806C01018
1768,TIMESGTY,EQ,21.65,21.75,20.25,20.75,20.5,22.2,4836,101965.75,31-JUL-2020,34,INE289C01025
1769,TIMETECHNO,EQ,37.95,38.2,36.15,36.6,36.75,37.85,459682,17061915.2,31-JUL-2020,1889,INE508G01029
1770,TIMKEN,EQ,969.35,974.75,955.0,969.95,969.0,969.35,16950,16421811.7,31-JUL-2020,846,INE325A01013
1771,TINPLATE,EQ,133.5,134.25,130.0,130.4,130.5,133.25,338626,44577918.15,31-JUL-2020,5667,INE422C01014
1772,TIPSINDLTD,EQ,149.55,149.55,143.05,145.35,145.5,145.2,23732,3438925.7,31-JUL-2020,617,INE716B01011
1773,TIRUMALCHM,EQ,54.0,54.75,52.45,52.9,53.2,53.9,125586,6674403.4,31-JUL-2020,1314,INE338A01024
1776,TITAN,EQ,1045.5,1051.1,1032.7,1043.25,1048.5,1041.85,1786574,1863622366.1,31-JUL-2020,56465,INE280A01028
1778,TNPETRO,EQ,35.5,35.95,33.2,34.2,34.2,35.4,326400,11373573.6,31-JUL-2020,2088,INE148A01019
1779,TNPL,EQ,112.1,113.95,111.25,112.8,112.5,111.4,226587,25445798.75,31-JUL-2020,2362,INE107A01015
1781,TOKYOPLAST,EQ,57.65,59.65,57.6,58.2,58.05,58.2,2082,121708.2,31-JUL-2020,40,INE932C01012
1782,TORNTPHARM,EQ,2500.15,2755.4,2500.0,2663.6,2661.4,2437.6,6618558,17694391158.15,31-JUL-2020,315639,INE685A01028
1783,TORNTPOWER,EQ,321.5,328.5,320.65,325.45,326.6,320.1,1305227,424619011.3,31-JUL-2020,15721,INE813H01021
1786,TPLPLASTEH,EQ,122.0,135.0,111.4,116.75,117.95,127.6,121319,15412118.35,31-JUL-2020,3343,INE413G01014
1787,TREEHOUSE,EQ,6.15,6.15,6.15,6.15,6.15,5.9,40661,250065.15,31-JUL-2020,45,INE040M01013
1788,TREJHARA,EQ,9.25,9.25,8.8,8.8,8.8,9.0,11549,103920.0,31-JUL-2020,26,INE00CA01015
1789,TRENT,EQ,554.25,577.65,550.15,558.1,558.15,550.45,597677,337771186.3,31-JUL-2020,22731,INE849A01020
1790,TRF,EQ,77.1,78.45,75.8,77.15,77.0,77.45,14376,1107282.25,31-JUL-2020,385,INE391D01019
1791,TRIDENT,EQ,6.45,6.75,6.35,6.7,6.7,6.45,7880688,51364751.9,31-JUL-2020,20507,INE064C01022
1792,TRIGYN,EQ,32.35,32.65,30.75,31.05,30.8,32.15,25344,794851.15,31-JUL-2020,313,INE948A01012
1793,TRIL,EQ,10.7,10.7,10.0,10.2,10.2,10.4,99405,1009008.15,31-JUL-2020,370,INE763I01026
1794,TRITURBINE,EQ,63.9,63.9,62.05,62.45,62.65,62.55,23404,1462888.45,31-JUL-2020,689,INE152M01016
1795,TRIVENI,EQ,54.5,55.2,54.05,54.2,54.25,54.8,128669,6993816.05,31-JUL-2020,926,INE256C01024
1796,TTKHLTCARE,EQ,410.3,424.75,405.75,419.3,422.0,408.65,3848,1598115.25,31-JUL-2020,270,INE910C01018
1797,TTKPRESTIG,EQ,5350.6,5974.9,5320.0,5783.35,5885.0,5341.75,38479,221107879.95,31-JUL-2020,6574,INE690A01010
1798,TTL,EQ,29.45,31.9,29.45,30.25,30.05,29.35,34318,1057264.05,31-JUL-2020,381,INE592B01016
1799,TTML,EQ,3.4,3.45,3.3,3.35,3.35,3.35,984530,3322741.65,31-JUL-2020,834,INE517B01013
1800,TV18BRDCST,EQ,34.5,34.5,33.0,33.35,33.5,33.9,4842674,162066666.45,31-JUL-2020,8337,INE886H01027
1802,TVSMOTOR,EQ,404.65,405.95,385.0,387.5,389.0,402.15,2415056,954421707.55,31-JUL-2020,29876,INE494B01023
1803,TVSSRICHAK,EQ,1497.85,1499.95,1420.0,1427.6,1428.0,1506.35,25362,36858304.75,31-JUL-2020,3178,INE421C01016
