,SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN
0,20MICRONS,EQ,64.0,68.65,62.7,66.5,66.2,64.2,505882,33566511.75,30-JUL-2021,5094,INE144J01027
1,21STCENMGM,EQ,22.55,22.55,22.55,22.55,22.55,22.15,584,13169.2,30-JUL-2021,15,INE253B01015
3,3MINDIA,EQ,24900.0,24995.0,24511.0,24660.9,24600.0,24842.0,1458,36190630.0,30-JUL-2021,967,INE470A01017
6,5PAISA,EQ,512.05,518.3,505.0,507.65,508.25,511.3,41534,21232427.3,30-JUL-2021,1301,INE618L01018
7,63MOONS,EQ,104.25,104.45,99.25,100.8,100.5,101.45,136068,13850347.45,30-JUL-2021,1732,INE111B01023
13,A2ZINFRA,EQ,5.3,5.35,5.2,5.25,5.2,5.3,278895,1473158.95,30-JUL-2021,408,INE619I01012
15,AAKASH,EQ,259.0,264.0,257.0,261.6,263.0,258.75,67666,17627455.15,30-JUL-2021,697,INE087Z01016
16,AARON,EQ,128.4,128.9,120.85,121.2,120.85,127.2,16935,2083484.05,30-JUL-2021,343,INE721Z01010
17,AARTIDRUGS,EQ,669.8,670.2,662.75,667.4,667.25,664.9,285665,190593052.55,30-JUL-2021,11258,INE767A01016
18,AARTIIND,EQ,894.7,941.95,892.95,934.8,938.0,894.4,1905761,1761410073.0,30-JUL-2021,68587,INE769A01020
19,AARTISURF,EQ,1505.0,1516.8,1483.0,1486.65,1498.0,1501.85,12413,18579622.25,30-JUL-2021,2407,INE09EO01013
20,AARVEEDEN,EQ,27.0,27.4,25.2,27.2,27.15,26.15,125660,3375732.2,30-JUL-2021,888,INE273D01019
21,AARVI,EQ,69.0,71.8,69.0,69.95,70.0,70.55,25662,1811679.5,30-JUL-2021,398,INE754X01016
22,AAVAS,EQ,2608.95,2686.3,2510.0,2521.7,2525.0,2575.35,56441,145230563.15,30-JUL-2021,10183,INE216P01012
23,ABAN,EQ,47.55,47.9,45.8,46.05,46.0,47.15,150673,7011022.8,30-JUL-2021,2098,INE421A01028
24,ABB,EQ,1694.9,1725.0,1682.75,1699.15,1694.25,1686.5,85831,146972366.8,30-JUL-2021,14795,INE117A01022
25,ABBOTINDIA,EQ,18190.0,19244.7,18049.95,19012.75,18870.05,18193.95,24423,458711929.15,30-JUL-2021,7845,INE358A01014
26,ABCAPITAL,EQ,117.0,117.9,115.5,115.8,116.0,116.5,2165183,252470997.65,30-JUL-2021,17599,INE674K01013
27,ABFRL,EQ,228.0,234.5,219.15,224.25,227.0,227.2,14124521,3204305132.95,30-JUL-2021,97240,INE647O01011
29,ABSLBANETF,EQ,344.61,345.19,343.23,343.84,343.84,345.19,26,8941.71,30-JUL-2021,9,INF209KB1O58
31,ABSLNN50ET,EQ,396.95,401.0,396.95,401.0,401.0,399.45,69,27641.9,30-JUL-2021,10,INF209KB1B87
33,ACC,EQ,2365.0,2415.0,2360.0,2394.1,2395.5,2364.0,465284,1112427496.9,30-JUL-2021,21995,INE012A01025
34,ACCELYA,EQ,1369.0,1396.75,1356.15,1368.95,1379.0,1361.9,39046,53751696.5,30-JUL-2021,3865,INE793A01012
35,ACCURACY,EQ,92.5,92.55,90.0,92.15,92.0,91.3,36213,3314377.25,30-JUL-2021,298,INE648Z01015
36,ACE,EQ,258.15,268.5,253.0,258.05,259.95,258.2,1178609,307061670.4,30-JUL-2021,20354,INE731H01025
37,ACRYSIL,EQ,629.7,638.8,614.35,619.65,627.0,627.55,66547,41732184.8,30-JUL-2021,2792,INE482D01024
38,ADANIENT,EQ,1409.5,1449.5,1400.25,1420.25,1426.05,1400.25,4403219,6289562831.35,30-JUL-2021,68464,INE423A01024
40,ADANIPORTS,EQ,661.25,687.8,659.5,674.5,675.0,659.65,13440904,9115199647.95,30-JUL-2021,214286,INE742F01042
43,ADFFOODS,EQ,935.95,935.95,879.25,905.4,904.0,951.45,107242,97399479.95,30-JUL-2021,8265,INE982B01019
45,ADORWELD,EQ,735.0,754.0,718.0,722.0,724.2,737.4,18320,13529223.65,30-JUL-2021,2591,INE045A01017
47,ADSL,EQ,71.75,72.85,68.1,70.5,70.8,70.35,500170,35517773.5,30-JUL-2021,5689,INE102I01027
48,ADVANIHOTR,EQ,72.7,73.4,71.45,72.5,72.5,72.2,11252,816557.05,30-JUL-2021,268,INE199C01026
49,ADVENZYMES,EQ,401.0,407.7,396.5,399.25,397.0,399.5,158360,63747245.55,30-JUL-2021,6353,INE837H01020
50,AEGISCHEM,EQ,322.8,326.5,317.15,319.65,319.85,320.55,571391,183837006.6,30-JUL-2021,14114,INE208C01025
52,AGARIND,EQ,341.0,355.55,340.95,349.6,347.0,342.9,32327,11353145.05,30-JUL-2021,854,INE204E01012
54,AGRITECH,EQ,45.95,47.35,44.55,47.35,47.35,45.1,42295,1971440.35,30-JUL-2021,488,INE449G01018
55,AGROPHOS,EQ,15.3,16.2,15.3,15.85,15.55,15.5,96492,1537289.7,30-JUL-2021,424,INE740V01019
56,AHLADA,EQ,207.55,217.0,207.55,215.8,216.0,206.85,146905,31642604.55,30-JUL-2021,1415,INE00PV01013
57,AHLEAST,EQ,194.0,197.8,192.5,194.65,193.15,193.95,7756,1513236.0,30-JUL-2021,761,INE926K01017
58,AHLUCONT,EQ,395.3,405.55,390.1,391.3,391.1,391.2,43656,17455293.5,30-JUL-2021,1837,INE758C01029
59,AHLWEST,EQ,274.6,294.95,274.6,289.5,287.1,285.3,16497,4758628.15,30-JUL-2021,567,INE915K01010
60,AIAENG,EQ,2020.0,2022.95,1990.25,2000.7,2001.0,1998.7,8276,16526138.3,30-JUL-2021,1559,INE212H01026
64,AJANTPHARM,EQ,2385.0,2389.9,2251.1,2292.1,2302.0,2394.7,184136,426456511.6,30-JUL-2021,20367,INE031B01049
66,AJOONI,EQ,61.2,61.2,58.1,60.55,60.5,58.45,206779,12411554.0,30-JUL-2021,1025,INE820Y01013
67,AKASH,EQ,199.8,199.8,192.75,193.8,194.9,194.8,38696,7547241.5,30-JUL-2021,564,INE737W01013
68,AKG,EQ,26.0,26.3,25.25,25.8,25.7,25.25,1585,40737.6,30-JUL-2021,44,INE00Y801016
69,AKSHARCHEM,EQ,439.0,448.0,437.95,444.3,443.0,439.5,15246,6774563.8,30-JUL-2021,1495,INE542B01011
71,AKZOINDIA,EQ,2266.2,2287.75,2242.2,2271.75,2263.5,2254.9,6079,13804073.7,30-JUL-2021,1097,INE133A01011
72,ALANKIT,EQ,19.05,19.4,18.5,18.95,18.8,18.9,1123323,21363607.35,30-JUL-2021,3111,INE914E01040
73,ALBERTDAVD,EQ,554.75,557.05,543.05,546.75,548.75,550.25,31515,17320367.4,30-JUL-2021,2655,INE155C01010
74,ALEMBICLTD,EQ,123.2,123.45,120.2,120.65,121.1,122.7,577161,70158818.25,30-JUL-2021,8803,INE426A01027
75,ALICON,EQ,810.0,813.0,790.15,795.4,798.5,811.55,9319,7449344.35,30-JUL-2021,1160,INE062D01024
76,ALKALI,EQ,89.95,92.5,87.2,88.25,89.5,89.65,46080,4115854.75,30-JUL-2021,1559,INE773I01017
77,ALKEM,EQ,3334.6,3465.0,3325.35,3453.6,3461.9,3331.65,259161,888163887.1,30-JUL-2021,23602,INE540L01014
78,ALKYLAMINE,EQ,4290.3,4488.45,4178.0,4386.45,4385.0,4290.3,133905,584611705.1,30-JUL-2021,20503,INE150B01039
79,ALLCARGO,EQ,190.05,199.9,189.15,197.6,198.0,189.5,5148430,1006111455.9,30-JUL-2021,33106,INE418H01029
80,ALLSEC,EQ,430.5,439.85,430.0,433.25,437.95,431.7,10657,4644022.6,30-JUL-2021,1170,INE835G01018
81,ALMONDZ,EQ,66.0,68.5,65.0,65.4,65.95,65.55,10139,673528.15,30-JUL-2021,162,INE326B01027
82,ALOKINDS,EQ,24.9,25.1,24.55,24.6,24.6,24.85,4400956,108930834.0,30-JUL-2021,10058,INE270A01029
83,ALPA,EQ,49.7,49.7,48.2,48.75,48.75,48.9,27534,1344384.35,30-JUL-2021,380,INE385I01010
84,ALPHAGEO,EQ,309.95,315.0,306.95,307.35,309.9,306.2,33697,10437898.95,30-JUL-2021,1418,INE137C01018
86,AMARAJABAT,EQ,695.2,722.2,695.15,719.85,721.75,694.85,1504366,1072666978.1,30-JUL-2021,43436,INE885A01032
87,AMBER,EQ,2986.2,3015.0,2960.0,2991.7,2990.1,2980.2,36843,109804595.0,30-JUL-2021,9076,INE371P01015
88,AMBICAAGAR,EQ,18.1,18.4,17.55,17.95,17.9,18.1,40212,725126.75,30-JUL-2021,277,INE792B01012
89,AMBIKCO,EQ,1556.05,1616.0,1530.15,1571.05,1573.7,1524.0,124640,197034590.4,30-JUL-2021,12866,INE540G01014
90,AMBUJACEM,EQ,411.8,415.35,406.0,411.15,412.0,408.75,2700828,1110735163.8,30-JUL-2021,35152,INE079A01024
91,AMDIND,EQ,31.1,32.25,30.2,31.5,31.55,30.75,80900,2548123.9,30-JUL-2021,628,INE005I01014
92,AMJLAND,EQ,34.7,36.6,34.05,36.15,36.5,34.15,399148,14329545.7,30-JUL-2021,2049,INE606A01024
93,AMRUTANJAN,EQ,666.0,695.3,666.0,682.9,680.35,665.25,38472,26249271.3,30-JUL-2021,3703,INE098F01031
96,ANDHRAPAP,EQ,262.5,270.9,257.05,259.25,257.9,262.35,91069,24060194.85,30-JUL-2021,3246,INE435A01028
97,ANDHRSUGAR,EQ,572.15,579.55,560.0,561.9,563.0,572.25,80782,45856665.9,30-JUL-2021,4613,INE715B01013
98,ANGELBRKG,EQ,1185.0,1212.0,1175.0,1187.25,1188.0,1191.15,205897,245817652.05,30-JUL-2021,11708,INE732I01013
99,ANIKINDS,EQ,23.55,23.75,21.8,22.25,22.05,22.65,39418,887028.7,30-JUL-2021,241,INE087B01017
101,ANMOL,EQ,167.95,168.65,163.45,168.15,168.65,164.7,27127,4511427.45,30-JUL-2021,252,INE02AR01019
102,ANSALAPI,EQ,9.2,9.3,8.8,8.95,8.85,9.2,135552,1216176.05,30-JUL-2021,264,INE436A01026
103,ANSALHSG,EQ,8.4,8.5,8.2,8.35,8.3,8.45,92771,777521.45,30-JUL-2021,340,INE880B01015
104,ANUP,EQ,1039.0,1076.0,1021.6,1027.75,1033.0,1039.6,92839,97005965.2,30-JUL-2021,8864,INE294Z01018
105,ANURAS,EQ,730.05,741.65,718.25,726.4,729.0,728.6,206654,150569710.45,30-JUL-2021,10018,INE930P01018
106,APARINDS,EQ,670.0,674.7,646.5,649.2,650.0,668.85,183161,120242003.75,30-JUL-2021,10940,INE372A01015
107,APCL,EQ,490.75,494.3,483.0,484.85,485.55,490.75,35811,17416465.7,30-JUL-2021,1955,INE071F01012
108,APCOTEXIND,EQ,342.6,343.45,326.0,339.6,337.9,341.8,160193,53867051.9,30-JUL-2021,5192,INE116A01032
109,APEX,EQ,383.0,392.25,371.35,377.35,377.5,383.9,143684,55078388.4,30-JUL-2021,5701,INE346W01013
110,APLAPOLLO,EQ,1789.0,1799.5,1733.5,1746.1,1747.0,1791.95,166442,294237100.35,30-JUL-2021,17028,INE702C01027
111,APLLTD,EQ,780.0,798.6,773.8,787.3,787.0,778.1,965849,760932871.1,30-JUL-2021,20443,INE901L01018
112,APOLLO,EQ,115.3,118.85,114.25,115.8,115.85,114.25,205586,24027536.95,30-JUL-2021,5273,INE713T01010
113,APOLLOHOSP,EQ,4031.0,4086.45,4007.5,4035.0,4032.6,4038.75,627367,2538490416.0,30-JUL-2021,31521,INE437A01024
114,APOLLOPIPE,EQ,1179.0,1208.0,1163.0,1192.7,1193.0,1161.3,96952,116016306.3,30-JUL-2021,6873,INE126J01016
115,APOLLOTYRE,EQ,216.9,225.5,216.05,223.45,223.5,216.3,5767529,1280434036.85,30-JUL-2021,42726,INE438A01022
116,APOLSINHOT,EQ,742.05,765.05,725.6,730.65,730.0,741.3,3604,2690866.5,30-JUL-2021,287,INE451F01024
117,APTECHT,EQ,278.0,292.5,277.0,288.05,289.0,278.65,1214985,349110957.1,30-JUL-2021,22521,INE266F01018
